round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,gru_1_model,gru_2_model,gru_layers,lr,optimizer
50,0.0010491905268281698,0.0,0.002228553965687752,0.005,64,50,30,30,1,0.1,Adam
50,0.5771965980529785,0.0,0.22650537967681886,0.005,64,50,30,30,1,0.01,Adam
50,0.0029837109614163637,0.0,0.004134846599772573,0.005,64,50,30,30,1,0.001,Adam
50,0.5771965980529785,0.0,0.2265053880214691,0.005,64,50,30,30,2,0.1,Adam
50,0.000829561788123101,0.0,0.002350189839489758,0.005,64,50,30,30,2,0.01,Adam
50,0.0008543295552954078,0.0,0.003289459850639105,0.005,64,50,30,30,2,0.001,Adam
50,0.001405848073773086,0.0,0.0024777738843113186,0.005,64,50,30,50,1,0.1,Adam
50,0.0025084952358156443,0.0,0.0026253346307203176,0.005,64,50,30,50,1,0.01,Adam
50,0.004591674543917179,0.0,0.0054503467306494715,0.005,64,50,30,50,1,0.001,Adam
50,0.5771965980529785,0.0,0.2265053915977478,0.005,64,50,30,50,2,0.1,Adam
50,0.002091668313369155,0.0,0.0024106944631785156,0.005,64,50,30,50,2,0.01,Adam
50,0.000989496591500938,0.0,0.003682570643723011,0.005,64,50,30,50,2,0.001,Adam
50,0.5771965980529785,0.0,0.22650538206100465,0.005,64,50,30,70,1,0.1,Adam
50,0.0009302723919972777,0.0,0.0026640149019658567,0.005,64,50,30,70,1,0.01,Adam
50,0.5771965980529785,0.0,0.22650537610054017,0.005,64,50,30,70,1,0.001,Adam
50,0.5771965980529785,0.0,0.22650538325309755,0.005,64,50,30,70,2,0.1,Adam
50,0.0017652201931923628,0.0,0.002733128909021616,0.005,64,50,30,70,2,0.01,Adam
50,0.0008148475317284465,0.0,0.0028763025067746638,0.005,64,50,30,70,2,0.001,Adam
50,0.0014545753365382552,0.0,0.0029557429160922766,0.005,64,50,50,30,1,0.1,Adam
50,0.5771965980529785,0.0,0.22650538206100465,0.005,64,50,50,30,1,0.01,Adam
50,0.0021891254000365734,0.0,0.003525671027600765,0.005,64,50,50,30,1,0.001,Adam
50,0.5771965980529785,0.0,0.226505389213562,0.005,64,50,50,30,2,0.1,Adam
50,0.0035254054237157106,0.0,0.002815045025199652,0.005,64,50,50,30,2,0.01,Adam
50,0.0007946392288431525,0.0,0.003000253215432167,0.005,64,50,50,30,2,0.001,Adam
50,0.5771965980529785,0.0,0.22650537610054017,0.005,64,50,50,50,1,0.1,Adam
50,0.0008725054794922471,0.0,0.0027067937515676023,0.005,64,50,50,50,1,0.01,Adam
50,0.0021844187285751104,0.0,0.003796692732721567,0.005,64,50,50,50,1,0.001,Adam
50,0.5771965980529785,0.0,0.2265053880214691,0.005,64,50,50,50,2,0.1,Adam
50,0.001836171722970903,0.0,0.0023996041156351565,0.005,64,50,50,50,2,0.01,Adam
50,0.0011965904850512743,0.0,0.0033236676827073097,0.005,64,50,50,50,2,0.001,Adam
50,0.5771965980529785,0.0,0.22650538325309755,0.005,64,50,50,70,1,0.1,Adam
50,0.0029643885791301727,0.0,0.0025695044454187156,0.005,64,50,50,70,1,0.01,Adam
50,0.5771965980529785,0.0,0.22650537490844727,0.005,64,50,50,70,1,0.001,Adam
50,0.5771965980529785,0.0,0.22650537610054017,0.005,64,50,50,70,2,0.1,Adam
50,0.0009377488750033081,0.0,0.00226901747751981,0.005,64,50,50,70,2,0.01,Adam
50,0.5771965980529785,0.0,0.22650537729263306,0.005,64,50,50,70,2,0.001,Adam
50,0.5771965980529785,0.0,0.22650538086891175,0.005,64,50,70,30,1,0.1,Adam
50,0.0008636124548502266,0.0,0.002469233553856611,0.005,64,50,70,30,1,0.01,Adam
50,0.5771965980529785,0.0,0.22650537610054017,0.005,64,50,70,30,1,0.001,Adam
50,0.5771965980529785,0.0,0.22650538384914398,0.005,64,50,70,30,2,0.1,Adam
50,0.0013359998119994998,0.0,0.002251334749162197,0.005,64,50,70,30,2,0.01,Adam
50,0.5771965980529785,0.0,0.2265053790807724,0.005,64,50,70,30,2,0.001,Adam
50,0.5771965980529785,0.0,0.2265053856372833,0.005,64,50,70,50,1,0.1,Adam
50,0.001971740275621414,0.0,0.0025761110894382,0.005,64,50,70,50,1,0.01,Adam
50,0.0018024693708866835,0.0,0.004124079830944538,0.005,64,50,70,50,1,0.001,Adam
50,0.5771965980529785,0.0,0.22650538444519042,0.005,64,50,70,50,2,0.1,Adam
50,0.0009852987714111805,0.0,0.0024201348051428795,0.005,64,50,70,50,2,0.01,Adam
50,0.000803467002697289,0.0,0.002654292341321707,0.005,64,50,70,50,2,0.001,Adam
50,0.001076654763892293,0.0,0.0032517857709899543,0.005,64,50,70,70,1,0.1,Adam
50,0.0008399105863645673,0.0,0.002768035661429167,0.005,64,50,70,70,1,0.01,Adam
50,0.5771965980529785,0.0,0.2265053856372833,0.005,64,50,70,70,1,0.001,Adam
50,0.5771965980529785,0.0,0.22650538206100465,0.005,64,50,70,70,2,0.1,Adam
50,0.5771965980529785,0.0,0.22650538206100465,0.005,64,50,70,70,2,0.01,Adam
50,0.5771965980529785,0.0,0.2265053868293762,0.005,64,50,70,70,2,0.001,Adam
80,0.0008778690244071186,0.0,0.002176987575367093,0.005,64,80,30,30,1,0.1,Adam
80,0.00111002242192626,0.0,0.002324356809258461,0.005,64,80,30,30,1,0.01,Adam
80,0.0008919639512896538,0.0,0.0032216409593820573,0.005,64,80,30,30,1,0.001,Adam
80,0.5771965980529785,0.0,0.22650537848472596,0.005,64,80,30,30,2,0.1,Adam
80,0.5771965980529785,0.0,0.22650538086891175,0.005,64,80,30,30,2,0.01,Adam
80,0.0007954356260597706,0.0,0.0027112777857109904,0.005,64,80,30,30,2,0.001,Adam
80,0.0009914226830005646,0.0,0.0022241594875231385,0.005,64,80,30,50,1,0.1,Adam
80,0.001371612073853612,0.0,0.002379154749214649,0.005,64,80,30,50,1,0.01,Adam
80,0.0015262854285538197,0.0,0.0038898824527859688,0.005,64,80,30,50,1,0.001,Adam
80,0.5771965980529785,0.0,0.2265053778886795,0.005,64,80,30,50,2,0.1,Adam
80,0.0015750571619719267,0.0,0.0022381836827844383,0.005,64,80,30,50,2,0.01,Adam
80,0.0008492695051245391,0.0,0.00258154253475368,0.005,64,80,30,50,2,0.001,Adam
80,0.0008838310604915023,0.0,0.003406873308122158,0.005,64,80,30,70,1,0.1,Adam
80,0.0014085007132962346,0.0,0.0025362466555088757,0.005,64,80,30,70,1,0.01,Adam
80,0.5771965980529785,0.0,0.22650538325309755,0.005,64,80,30,70,1,0.001,Adam
80,0.5771965980529785,0.0,0.22650539219379426,0.005,64,80,30,70,2,0.1,Adam
80,0.0013871390838176012,0.0,0.002136976672336459,0.005,64,80,30,70,2,0.01,Adam
80,0.0007861963240429759,0.0,0.002761535421013832,0.005,64,80,30,70,2,0.001,Adam
80,0.005540661048144102,0.0,0.002998679527081549,0.005,64,80,50,30,1,0.1,Adam
80,0.0010140060912817717,0.0,0.002232003528624773,0.005,64,80,50,30,1,0.01,Adam
80,0.5771965980529785,0.0,0.2265053802728653,0.005,64,80,50,30,1,0.001,Adam
80,0.004823991097509861,0.0,0.0030142789892852306,0.005,64,80,50,30,2,0.1,Adam
80,0.0011502199340611696,0.0,0.002220478537492454,0.005,64,80,50,30,2,0.01,Adam
80,0.0007910443237051368,0.0,0.0030407301988452672,0.005,64,80,50,30,2,0.001,Adam
80,0.000872602395247668,0.0,0.0037218418717384336,0.005,64,80,50,50,1,0.1,Adam
80,0.0023278305307030678,0.0,0.002482931185513735,0.005,64,80,50,50,1,0.01,Adam
80,0.0008724213694222271,0.0,0.0029572429694235325,0.005,64,80,50,50,1,0.001,Adam
80,0.5771965980529785,0.0,0.2265053778886795,0.005,64,80,50,50,2,0.1,Adam
80,0.0012354908976703882,0.0,0.002915767366066575,0.005,64,80,50,50,2,0.01,Adam
80,0.0007942889933474362,0.0,0.0027700959891080856,0.005,64,80,50,50,2,0.001,Adam
80,0.5771965980529785,0.0,0.2265053790807724,0.005,64,80,50,70,1,0.1,Adam
80,0.001340098911896348,0.0,0.0025556918606162073,0.005,64,80,50,70,1,0.01,Adam
80,0.0011566977482289076,0.0,0.0039031517319381235,0.005,64,80,50,70,1,0.001,Adam
80,0.5771965980529785,0.0,0.2265053778886795,0.005,64,80,50,70,2,0.1,Adam
80,0.0009964456548914313,0.0,0.0020936197927221654,0.005,64,80,50,70,2,0.01,Adam
80,0.0008419815567322075,0.0,0.002432899856939912,0.005,64,80,50,70,2,0.001,Adam
80,0.0009940308518707752,0.0,0.002547131758183241,0.005,64,80,70,30,1,0.1,Adam
80,0.5771965980529785,0.0,0.22650538504123688,0.005,64,80,70,30,1,0.01,Adam
80,0.0008152586524374783,0.0,0.0035560318175703286,0.005,64,80,70,30,1,0.001,Adam
80,0.005751359276473522,0.0,0.003218702543526888,0.005,64,80,70,30,2,0.1,Adam
80,0.0026123481802642345,0.0,0.0027632423304021357,0.005,64,80,70,30,2,0.01,Adam
80,0.0008213262772187591,0.0,0.002765475623309612,0.005,64,80,70,30,2,0.001,Adam
80,0.5771965980529785,0.0,0.22650538980960847,0.005,64,80,70,50,1,0.1,Adam
80,0.0014329722616821527,0.0,0.002339276955462992,0.005,64,80,70,50,1,0.01,Adam
80,0.0012000936549156904,0.0,0.003439014861360192,0.005,64,80,70,50,1,0.001,Adam
80,0.000757004483602941,0.0,0.0033342772722244262,0.005,64,80,70,50,2,0.1,Adam
80,0.002719696145504713,0.0,0.0023590010590851308,0.005,64,80,70,50,2,0.01,Adam
80,0.0008428879082202911,0.0,0.0023950420459732413,0.005,64,80,70,50,2,0.001,Adam
80,0.5771965980529785,0.0,0.22650538086891175,0.005,64,80,70,70,1,0.1,Adam
80,0.0020456481724977493,0.0,0.0024320262437686323,0.005,64,80,70,70,1,0.01,Adam
80,0.0009125089272856712,0.0,0.00294735312461853,0.005,64,80,70,70,1,0.001,Adam
80,0.5771965980529785,0.0,0.22650538086891175,0.005,64,80,70,70,2,0.1,Adam
80,0.0015054767718538642,0.0,0.0026292082108557223,0.005,64,80,70,70,2,0.01,Adam
80,0.5771965980529785,0.0,0.226505389213562,0.005,64,80,70,70,2,0.001,Adam
50,0.0026778224855661392,0.0,0.0028766202833503483,0.005,128,50,30,30,1,0.1,Adam
50,0.0008353184093721211,0.0,0.0025142097845673563,0.005,128,50,30,30,1,0.01,Adam
50,0.0033720550127327442,0.0,0.0040503633767366405,0.005,128,50,30,30,1,0.001,Adam
50,0.5771965980529785,0.0,0.2265053868293762,0.005,128,50,30,30,2,0.1,Adam
50,0.0008584346505813301,0.0,0.0025035319104790687,0.005,128,50,30,30,2,0.01,Adam
50,0.005272851325571537,0.0,0.005318249259144068,0.005,128,50,30,30,2,0.001,Adam
