round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,gru_1_model,gru_2_model,gru_layers,lr,optimizer
50,0.5803253650665283,0.0,0.5734241776350067,0.004878049,64,50,30,30,1,0.1,Adam
50,0.0001273271773243323,0.0,0.00015866059377624812,0.009756098,64,50,30,30,1,0.01,Adam
50,0.00015074371185619384,0.0,0.001311905946718847,0.009756098,64,50,30,30,1,0.001,Adam
50,0.5803253650665283,0.0,0.5734241314050628,0.004878049,64,50,30,30,2,0.1,Adam
50,0.00019560579676181078,0.0,0.00010336641874945178,0.009756098,64,50,30,30,2,0.01,Adam
50,0.005468549206852913,0.0,0.0033946336758118576,0.009756098,64,50,30,30,2,0.001,Adam
50,0.5803253650665283,0.0,0.573424161062008,0.004878049,64,50,30,50,1,0.1,Adam
50,0.5803253650665283,0.0,0.5734241593174818,0.004878049,64,50,30,50,1,0.01,Adam
50,0.005962945520877838,0.0,0.002672138653423001,0.009756098,64,50,30,50,1,0.001,Adam
50,0.0006969311507418752,0.0,0.0014128102222457529,0.009756098,64,50,30,50,2,0.1,Adam
50,0.5803253650665283,0.0,0.5734241671678496,0.004878049,64,50,30,50,2,0.01,Adam
50,0.5803253650665283,0.0,0.5734241462335354,0.004878049,64,50,30,50,2,0.001,Adam
50,0.5803253650665283,0.0,0.5734241469604213,0.004878049,64,50,30,70,1,0.1,Adam
50,0.0002265760413138196,0.0,0.00017895447938538316,0.009756098,64,50,30,70,1,0.01,Adam
50,0.003001272911205888,0.0,0.0067738825001004265,0.009756098,64,50,30,70,1,0.001,Adam
50,0.5803253650665283,0.0,0.5734241683308671,0.004878049,64,50,30,70,2,0.1,Adam
50,2.1170300897210836e-05,0.0,7.018103988673652e-05,0.009756098,64,50,30,70,2,0.01,Adam
50,0.0032814056612551212,0.0,0.0025355421495056006,0.009756098,64,50,30,70,2,0.001,Adam
50,0.5803253650665283,0.0,0.5734241686216215,0.004878049,64,50,50,30,1,0.1,Adam
50,8.177630661521107e-05,0.0,8.86150491324526e-05,0.009756098,64,50,50,30,1,0.01,Adam
50,0.5803253650665283,0.0,0.5734241596082362,0.004878049,64,50,50,30,1,0.001,Adam
50,0.5803253650665283,0.0,0.5734241314050628,0.004878049,64,50,50,30,2,0.1,Adam
50,0.00012080361921107396,0.0,6.042855237000168e-05,0.009756098,64,50,50,30,2,0.01,Adam
50,0.005135133396834135,0.0,0.0020723149861867833,0.009756098,64,50,50,30,2,0.001,Adam
50,0.5803253650665283,0.0,0.5734241487049475,0.004878049,64,50,50,50,1,0.1,Adam
50,0.0002054132055491209,0.0,0.00013884499828081305,0.009756098,64,50,50,50,1,0.01,Adam
50,0.014430686831474304,0.0,0.004301520314340185,0.009756098,64,50,50,50,1,0.001,Adam
50,0.5803253650665283,0.0,0.5734241587359731,0.004878049,64,50,50,50,2,0.1,Adam
50,9.649550338508561e-05,0.0,6.669868250865852e-05,0.009756098,64,50,50,50,2,0.01,Adam
