round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,gru_1_model,gru_2_model,gru_layers,lr,optimizer
50,0.37162327766418457,0.0,0.5020352479888172,0.004878049,64,50,30,30,1,0.1,Adam
50,0.00017126734019257128,0.0,9.985996975290884e-05,0.009756098,64,50,30,30,1,0.01,Adam
50,0.010343183763325214,0.0,0.004339340660811924,0.009756098,64,50,30,30,1,0.001,Adam
50,0.37162327766418457,0.0,0.5020352369401513,0.004878049,64,50,30,30,2,0.1,Adam
50,0.0002021549444179982,0.0,3.815577164925521e-05,0.009756098,64,50,30,30,2,0.01,Adam
50,0.004385609179735184,0.0,0.0034186847326232164,0.009756098,64,50,30,30,2,0.001,Adam
50,0.37162327766418457,0.0,0.5020352436275017,0.004878049,64,50,30,50,1,0.1,Adam
50,0.00013547620619647205,0.0,0.0001934355946127098,0.009756098,64,50,30,50,1,0.01,Adam
50,0.005404886789619923,0.0,0.0032697967253625393,0.009756098,64,50,30,50,1,0.001,Adam
50,0.37162327766418457,0.0,0.5020352196402667,0.004878049,64,50,30,50,2,0.1,Adam
50,1.96135624719318e-05,0.0,3.134949979650584e-05,0.009756098,64,50,30,50,2,0.01,Adam
50,0.002802418079227209,0.0,0.002268989605931338,0.009756098,64,50,30,50,2,0.001,Adam
50,0.37162327766418457,0.0,0.5020352225478103,0.004878049,64,50,30,70,1,0.1,Adam
50,0.00015686449478380382,0.0,0.00022760712053263333,0.009756098,64,50,30,70,1,0.01,Adam
50,0.0025339981075376272,0.0,0.0021602549652637144,0.009756098,64,50,30,70,1,0.001,Adam
50,0.37162327766418457,0.0,0.5020352472619313,0.004878049,64,50,30,70,2,0.1,Adam
50,1.936819353431929e-05,0.0,1.783723970087211e-05,0.009756098,64,50,30,70,2,0.01,Adam
50,0.002692602574825287,0.0,0.002413647389039397,0.009756098,64,50,30,70,2,0.001,Adam
50,0.37162327766418457,0.0,0.5020352383939232,0.004878049,64,50,50,30,1,0.1,Adam
50,5.949873593635857e-05,0.0,0.00012829396185158503,0.009756098,64,50,50,30,1,0.01,Adam
50,0.003584566991776228,0.0,0.002882402610578915,0.009756098,64,50,50,30,1,0.001,Adam
50,0.007406534161418676,0.0,0.062399264697621505,0.004878049,64,50,50,30,2,0.1,Adam
50,0.37162327766418457,0.0,0.5020352508963608,0.004878049,64,50,50,30,2,0.01,Adam
50,0.0024442863650619984,0.0,0.0017987740952975866,0.009756098,64,50,50,30,2,0.001,Adam
50,0.37162327766418457,0.0,0.5020352238562049,0.004878049,64,50,50,50,1,0.1,Adam
50,4.405742583912797e-05,0.0,9.346936556805925e-05,0.009756098,64,50,50,50,1,0.01,Adam
50,0.002686938736587763,0.0,0.003187415866953571,0.009756098,64,50,50,50,1,0.001,Adam
50,0.37162327766418457,0.0,0.5020352372309057,0.004878049,64,50,50,50,2,0.1,Adam
50,5.096579479868524e-05,0.0,4.487124445781441e-05,0.009756098,64,50,50,50,2,0.01,Adam
50,0.002404056256636977,0.0,0.002217171108350158,0.009756098,64,50,50,50,2,0.001,Adam
50,0.37162327766418457,0.0,0.5020352174596089,0.004878049,64,50,50,70,1,0.1,Adam
50,0.37162327766418457,0.0,0.5020352343233621,0.004878049,64,50,50,70,1,0.01,Adam
50,0.37162327766418457,0.0,0.5020352308343097,0.004878049,64,50,50,70,1,0.001,Adam
50,0.37162327766418457,0.0,0.5020352197856438,0.004878049,64,50,50,70,2,0.1,Adam
50,0.3704661726951599,0.0,0.5020352429006157,0.004878049,64,50,50,70,2,0.01,Adam
50,0.0027088604401797056,0.0,0.0018312739077728333,0.009756098,64,50,50,70,2,0.001,Adam
50,0.37162327766418457,0.0,0.5020352357771338,0.004878049,64,50,70,30,1,0.1,Adam
50,6.422208389267325e-05,0.0,0.00010096060677158942,0.009756098,64,50,70,30,1,0.01,Adam
50,0.002856070175766945,0.0,0.0026145526844008667,0.009756098,64,50,70,30,1,0.001,Adam
50,0.37162327766418457,0.0,0.5020352069924517,0.004878049,64,50,70,30,2,0.1,Adam
50,0.37162327766418457,0.0,0.5020352456627822,0.004878049,64,50,70,30,2,0.01,Adam
50,0.0013187227305024862,0.0,0.0018221498799237718,0.009756098,64,50,70,30,2,0.001,Adam
50,0.37162327766418457,0.0,0.502035243918256,0.004878049,64,50,70,50,1,0.1,Adam
50,7.587300206068903e-05,0.0,4.4287528619794854e-05,0.009756098,64,50,70,50,1,0.01,Adam
50,0.0025245409924536943,0.0,0.003251626707113734,0.009756098,64,50,70,50,1,0.001,Adam
50,0.37162327766418457,0.0,0.5020352261822398,0.004878049,64,50,70,50,2,0.1,Adam
50,2.0747098460560665e-05,0.0,2.0591869764668843e-05,0.009756098,64,50,70,50,2,0.01,Adam
50,0.37162327766418457,0.0,0.5020352244377136,0.004878049,64,50,70,50,2,0.001,Adam
50,0.37162327766418457,0.0,0.5020352242923365,0.004878049,64,50,70,70,1,0.1,Adam
50,5.838408105773851e-05,0.0,5.9443559244178554e-05,0.009756098,64,50,70,70,1,0.01,Adam
50,0.0013894683215767145,0.0,0.0019662147109601193,0.009756098,64,50,70,70,1,0.001,Adam
50,0.37162327766418457,0.0,0.502035243045993,0.004878049,64,50,70,70,2,0.1,Adam
50,3.086105061811395e-05,0.0,2.908444619650964e-05,0.009756098,64,50,70,70,2,0.01,Adam
50,0.0018142625922337174,0.0,0.0014998982064198794,0.009756098,64,50,70,70,2,0.001,Adam
80,0.37162327766418457,0.0,0.5020352287990291,0.004878049,64,80,30,30,1,0.1,Adam
80,2.6674460968934e-05,0.0,4.731408649027665e-05,0.009756098,64,80,30,30,1,0.01,Adam
80,0.0033976747654378414,0.0,0.0028361619961243577,0.009756098,64,80,30,30,1,0.001,Adam
80,1.5608593457727693e-05,0.0,7.496161986903356e-05,0.009756098,64,80,30,30,2,0.1,Adam
80,1.984453592740465e-05,0.0,1.9114308172614008e-05,0.009756098,64,80,30,30,2,0.01,Adam
80,0.0025014826096594334,0.0,0.0017197049728299423,0.009756098,64,80,30,30,2,0.001,Adam
80,0.0003652782761491835,0.0,0.0002048330336792122,0.009756098,64,80,30,50,1,0.1,Adam
80,3.2843632652657107e-05,0.0,1.8986168567896194e-05,0.009756098,64,80,30,50,1,0.01,Adam
80,0.0021876590326428413,0.0,0.0020094506959317296,0.009756098,64,80,30,50,1,0.001,Adam
80,0.37162327766418457,0.0,0.5020352289444063,0.004878049,64,80,30,50,2,0.1,Adam
80,1.8237289623357356e-05,0.0,2.036437025508792e-05,0.009756098,64,80,30,50,2,0.01,Adam
