round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,gru_1_model,gru_2_model,gru_layers,lr,optimizer
50,0.5621144771575928,0.0,0.42903333480912026,0.005050505,64,50,30,30,1,0.1,Adam
50,0.5621144771575928,0.0,0.4290333399266908,0.005050505,64,50,30,30,1,0.01,Adam
50,0.0003433995007071644,0.0,0.0014338018278581928,0.005050505,64,50,30,30,1,0.001,Adam
50,0.0001811893016565591,0.0,0.00014201477659464052,0.005050505,64,50,30,30,2,0.1,Adam
50,7.971720151545014e-06,0.0,6.75374564404289e-05,0.005050505,64,50,30,30,2,0.01,Adam
50,0.0005672909901477396,0.0,0.0011859369685290136,0.005050505,64,50,30,30,2,0.001,Adam
50,0.5621144771575928,0.0,0.4290333516669996,0.005050505,64,50,30,50,1,0.1,Adam
50,1.7128066247096285e-05,0.0,4.6855619681688644e-05,0.005050505,64,50,30,50,1,0.01,Adam
50,0.5621144771575928,0.0,0.42903333480912026,0.005050505,64,50,30,50,1,0.001,Adam
50,0.027173932641744614,0.0,0.04699554595381322,0.005050505,64,50,30,50,2,0.1,Adam
50,1.0109762115462217e-05,0.0,3.674392913429377e-05,0.005050505,64,50,30,50,2,0.01,Adam
50,0.0005501822452060878,0.0,0.0013669616589205094,0.005050505,64,50,30,50,2,0.001,Adam
50,0.5621144771575928,0.0,0.4290333287884491,0.005050505,64,50,30,70,1,0.1,Adam
50,6.524192485812819e-06,0.0,3.918133502752012e-05,0.005050505,64,50,30,70,1,0.01,Adam
50,0.00048118230188265443,0.0,0.002287513759890289,0.005050505,64,50,30,70,1,0.001,Adam
50,0.5621144771575928,0.0,0.42903333179878467,0.005050505,64,50,30,70,2,0.1,Adam
50,2.06673466891516e-05,0.0,3.5399143332206866e-05,0.005050505,64,50,30,70,2,0.01,Adam
50,0.0007150537567213178,0.0,0.0012372892524581403,0.005050505,64,50,30,70,2,0.001,Adam
50,0.5621144771575928,0.0,0.42903333390601955,0.005050505,64,50,50,30,1,0.1,Adam
50,0.5621144771575928,0.0,0.42903333721738873,0.005050505,64,50,50,30,1,0.01,Adam
50,0.0009711334714666009,0.0,0.0015390004957979075,0.005050505,64,50,50,30,1,0.001,Adam
50,0.5621144771575928,0.0,0.4290333432380599,0.005050505,64,50,50,30,2,0.1,Adam
50,1.0778817340906244e-05,0.0,2.598003797027908e-05,0.005050505,64,50,50,30,2,0.01,Adam
50,0.5621144771575928,0.0,0.4290333152419389,0.005050505,64,50,50,30,2,0.001,Adam
50,0.5621144771575928,0.0,0.4290333516669996,0.005050505,64,50,50,50,1,0.1,Adam
50,1.1204170732526109e-05,0.0,4.761399074108928e-05,0.005050505,64,50,50,50,1,0.01,Adam
50,0.0009963706834241748,0.0,0.0019906414202367417,0.005050505,64,50,50,50,1,0.001,Adam
50,0.5621144771575928,0.0,0.4290333324008518,0.005050505,64,50,50,50,2,0.1,Adam
50,5.533591320272535e-06,0.0,2.5179468253793518e-05,0.005050505,64,50,50,50,2,0.01,Adam
50,0.00039656407898291945,0.0,0.0008629883711245099,0.005050505,64,50,50,50,2,0.001,Adam
50,0.5621144771575928,0.0,0.4290333296915497,0.005050505,64,50,50,70,1,0.1,Adam
