round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,gru_1_model,gru_2_model,gru_layers,lr,optimizer
50,0.00039312499575316906,0.0,0.0003606089926324785,0.01,64,50,30,30,1,0.1,Adam
50,5.544490340980701e-05,0.0,5.430477394838817e-05,0.01,64,50,30,30,1,0.01,Adam
50,0.1989261507987976,0.0,0.365963249206543,0.005,64,50,30,30,1,0.001,Adam
50,0.0008164093596860766,0.0,0.001136218374595046,0.01,64,50,30,30,2,0.1,Adam
50,9.196090832119808e-05,0.0,6.416710413759575e-05,0.01,64,50,30,30,2,0.01,Adam
50,0.003006539773195982,0.0,0.0018287941860035061,0.01,64,50,30,30,2,0.001,Adam
50,0.1989261507987976,0.0,0.36596327543258667,0.005,64,50,30,50,1,0.1,Adam
50,0.00010860476322704926,0.0,7.994200044777245e-05,0.01,64,50,30,50,1,0.01,Adam
50,0.00352156488224864,0.0,0.0025311407912522554,0.01,64,50,30,50,1,0.001,Adam
50,0.1989261507987976,0.0,0.36596327781677246,0.005,64,50,30,50,2,0.1,Adam
50,0.1989261507987976,0.0,0.36596326231956483,0.005,64,50,30,50,2,0.01,Adam
50,0.001356997061520815,0.0,0.001084283348172903,0.01,64,50,30,50,2,0.001,Adam
50,0.1989261507987976,0.0,0.3659632563591003,0.005,64,50,30,70,1,0.1,Adam
50,5.530537964659743e-05,0.0,5.7389367138966915e-05,0.01,64,50,30,70,1,0.01,Adam
50,0.0014932474587112665,0.0,0.000791146969422698,0.01,64,50,30,70,1,0.001,Adam
50,0.1989261507987976,0.0,0.3659632444381714,0.005,64,50,30,70,2,0.1,Adam
50,4.7907822590786964e-05,0.0,2.5919740655808708e-05,0.01,64,50,30,70,2,0.01,Adam
50,0.002624168526381254,0.0,0.001423665184993297,0.01,64,50,30,70,2,0.001,Adam
50,0.1989261507987976,0.0,0.3659632730484009,0.005,64,50,50,30,1,0.1,Adam
50,4.3022264435421675e-05,0.0,2.49371824611444e-05,0.01,64,50,50,30,1,0.01,Adam
50,0.0011264056665822864,0.0,0.0014146548137068749,0.01,64,50,50,30,1,0.001,Adam
50,0.1989261507987976,0.0,0.36596325993537904,0.005,64,50,50,30,2,0.1,Adam
50,4.950008587911725e-05,0.0,2.7570839592954143e-05,0.01,64,50,50,30,2,0.01,Adam
50,0.001541611971333623,0.0,0.0007116134325042367,0.01,64,50,50,30,2,0.001,Adam
50,0.1989261507987976,0.0,0.3659632635116577,0.005,64,50,50,50,1,0.1,Adam
50,0.1989261507987976,0.0,0.3659632635116577,0.005,64,50,50,50,1,0.01,Adam
50,0.1989261507987976,0.0,0.3659632635116577,0.005,64,50,50,50,1,0.001,Adam
50,0.1989261507987976,0.0,0.3659632617235184,0.005,64,50,50,50,2,0.1,Adam
50,4.393451308715157e-05,0.0,4.591919234371744e-05,0.01,64,50,50,50,2,0.01,Adam
50,0.002059719990938902,0.0,0.0012048151833005249,0.01,64,50,50,50,2,0.001,Adam
50,0.1989261507987976,0.0,0.36596325278282166,0.005,64,50,50,70,1,0.1,Adam
50,3.9789425500202924e-05,0.0,3.0248583934735508e-05,0.01,64,50,50,70,1,0.01,Adam
50,0.1989261507987976,0.0,0.36596325993537904,0.005,64,50,50,70,1,0.001,Adam
50,0.1989261507987976,0.0,0.3659632587432861,0.005,64,50,50,70,2,0.1,Adam
50,7.865257794037461e-05,0.0,3.023555073013995e-05,0.01,64,50,50,70,2,0.01,Adam
50,0.0007029713597148657,0.0,0.0005756106763146817,0.01,64,50,50,70,2,0.001,Adam
50,0.1989261507987976,0.0,0.36596325755119324,0.005,64,50,70,30,1,0.1,Adam
50,4.8670168325770646e-05,0.0,2.9418701451504603e-05,0.01,64,50,70,30,1,0.01,Adam
50,0.001587146194651723,0.0,0.0014801644044928253,0.01,64,50,70,30,1,0.001,Adam
50,0.1989261507987976,0.0,0.36596325159072873,0.005,64,50,70,30,2,0.1,Adam
50,6.88687723595649e-05,0.0,2.6265202832291836e-05,0.01,64,50,70,30,2,0.01,Adam
50,0.1989261507987976,0.0,0.3659632658958435,0.005,64,50,70,30,2,0.001,Adam
50,0.1989261507987976,0.0,0.3659632587432861,0.005,64,50,70,50,1,0.1,Adam
50,0.1989261507987976,0.0,0.3659632539749145,0.005,64,50,70,50,1,0.01,Adam
50,0.1989261507987976,0.0,0.36596325159072873,0.005,64,50,70,50,1,0.001,Adam
50,0.1989261507987976,0.0,0.3659632587432861,0.005,64,50,70,50,2,0.1,Adam
50,9.400778799317777e-05,0.0,1.9991605731775054e-05,0.01,64,50,70,50,2,0.01,Adam
50,0.0011235012207180262,0.0,0.0009204828832298517,0.01,64,50,70,50,2,0.001,Adam
50,0.1989261507987976,0.0,0.3659632539749145,0.005,64,50,70,70,1,0.1,Adam
50,6.52418821118772e-05,0.0,2.6949971579597333e-05,0.01,64,50,70,70,1,0.01,Adam
50,0.0011883388506248593,0.0,0.0011366055859252811,0.01,64,50,70,70,1,0.001,Adam
50,0.1989261507987976,0.0,0.3659632569551468,0.005,64,50,70,70,2,0.1,Adam
50,0.1989261507987976,0.0,0.36596325755119324,0.005,64,50,70,70,2,0.01,Adam
50,0.1989261507987976,0.0,0.3659632682800293,0.005,64,50,70,70,2,0.001,Adam
