round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,gru_1_model,gru_2_model,gru_layers,lr,optimizer
50,0.002467950340360403,0.0,0.0017161651568722378,0.004854369,64,50,30,30,1,0.1,Adam
50,9.407519974047318e-05,0.0,5.8032721285290056e-05,0.004854369,64,50,30,30,1,0.01,Adam
50,0.0009199116611853242,0.0,0.0009635677080809419,0.004854369,64,50,30,30,1,0.001,Adam
50,0.00039246497908607125,0.0,0.0003218595043064357,0.004854369,64,50,30,30,2,0.1,Adam
50,0.0001807641237974167,0.0,4.980679892751759e-05,0.004854369,64,50,30,30,2,0.01,Adam
50,0.0019763116724789143,0.0,0.00149398738319434,0.004854369,64,50,30,30,2,0.001,Adam
50,0.00030477705877274275,0.0,0.00014899662671524815,0.004854369,64,50,30,50,1,0.1,Adam
50,0.00022347571211867034,0.0,7.556087068435781e-05,0.004854369,64,50,30,50,1,0.01,Adam
50,0.0007090527797117829,0.0,0.001049480918632115,0.004854369,64,50,30,50,1,0.001,Adam
50,0.03932890295982361,0.0,0.021206063869436388,0.0,64,50,30,50,2,0.1,Adam
50,3.201696017640643e-05,0.0,2.3806788430219172e-05,0.004854369,64,50,30,50,2,0.01,Adam
50,0.00103292940184474,0.0,0.0008393649675304667,0.004854369,64,50,30,50,2,0.001,Adam
50,0.001009249361231923,0.0,0.00044757766605047416,0.004854369,64,50,30,70,1,0.1,Adam
50,7.980596274137497e-05,0.0,4.526880758083245e-05,0.004854369,64,50,30,70,1,0.01,Adam
50,0.0007726886542513967,0.0,0.0010498180551436341,0.004854369,64,50,30,70,1,0.001,Adam
50,0.03239501640200615,0.0,0.021731847490283472,0.0,64,50,30,70,2,0.1,Adam
50,9.809574294195045e-06,0.0,4.740933172356166e-05,0.004854369,64,50,30,70,2,0.01,Adam
50,0.000839328218717128,0.0,0.000935581153331017,0.004854369,64,50,30,70,2,0.001,Adam
50,0.000999915529973805,0.0,0.0011317506671297698,0.004854369,64,50,50,30,1,0.1,Adam
50,0.00014114342047832906,0.0,5.83374860017782e-05,0.004854369,64,50,50,30,1,0.01,Adam
50,0.0011990743223577738,0.0,0.0008953272441890344,0.004854369,64,50,50,30,1,0.001,Adam
50,2.9149978217901662e-05,0.0,0.00022385961156297764,0.004854369,64,50,50,30,2,0.1,Adam
50,3.0068011255934834e-05,0.0,2.6050974006422127e-05,0.004854369,64,50,50,30,2,0.01,Adam
50,0.0016581385862082243,0.0,0.0007951836818286661,0.004854369,64,50,50,30,2,0.001,Adam
50,0.0019639600068330765,0.0,0.0008664647554097137,0.004854369,64,50,50,50,1,0.1,Adam
50,0.0001280523865716532,0.0,6.014345995335867e-05,0.004854369,64,50,50,50,1,0.01,Adam
50,0.0006796409725211561,0.0,0.0006048627900190253,0.004854369,64,50,50,50,1,0.001,Adam
50,0.021912124007940292,0.0,0.022571769949880617,0.0,64,50,50,50,2,0.1,Adam
50,3.4792086808010936e-05,0.0,3.639029226673019e-05,0.004854369,64,50,50,50,2,0.01,Adam
50,0.0008006204152479768,0.0,0.0006677088411344052,0.004854369,64,50,50,50,2,0.001,Adam
50,0.0006609634147025645,0.0,0.0004681069028080052,0.004854369,64,50,50,70,1,0.1,Adam
50,7.348682265728712e-05,0.0,4.150298587173716e-05,0.004854369,64,50,50,70,1,0.01,Adam
50,0.0013078770134598017,0.0,0.0010090577715637108,0.004854369,64,50,50,70,1,0.001,Adam
50,0.028780072927474976,0.0,0.02136490645917874,0.0,64,50,50,70,2,0.1,Adam
50,8.667554538988043e-06,0.0,1.8745302255516894e-05,0.004854369,64,50,50,70,2,0.01,Adam
50,0.0005094130174256861,0.0,0.0004945664841216058,0.004854369,64,50,50,70,2,0.001,Adam
50,0.00018070123041979969,0.0,0.00015881586274826105,0.004854369,64,50,70,30,1,0.1,Adam
50,0.00010203116107732058,0.0,3.800904619531792e-05,0.004854369,64,50,70,30,1,0.01,Adam
50,0.0005204603658057749,0.0,0.00043124371876225814,0.004854369,64,50,70,30,1,0.001,Adam
50,0.04265313595533371,0.0,0.022519285962419602,0.0,64,50,70,30,2,0.1,Adam
50,0.000105692794022616,0.0,2.8003986213679507e-05,0.004854369,64,50,70,30,2,0.01,Adam
50,0.001192328054457903,0.0,0.0007589185744347683,0.004854369,64,50,70,30,2,0.001,Adam
50,0.0017435166519135237,0.0,0.0008911170705122132,0.004854369,64,50,70,50,1,0.1,Adam
50,5.7552890211809427e-05,0.0,3.74214673728187e-05,0.004854369,64,50,70,50,1,0.01,Adam
50,0.0006069442606531084,0.0,0.000844083908940801,0.004854369,64,50,70,50,1,0.001,Adam
50,5.600786971626803e-05,0.0,0.0005765432962080807,0.004854369,64,50,70,50,2,0.1,Adam
50,3.639755959738977e-05,0.0,1.5770879259629138e-05,0.004854369,64,50,70,50,2,0.01,Adam
50,0.00039232909330166876,0.0,0.00032403762028462174,0.004854369,64,50,70,50,2,0.001,Adam
50,0.001868197345174849,0.0,0.0010496376170460316,0.004854369,64,50,70,70,1,0.1,Adam
50,2.7778121875599027e-05,0.0,4.294254390471412e-05,0.004854369,64,50,70,70,1,0.01,Adam
50,0.0007394336862489581,0.0,0.0006343976479222618,0.004854369,64,50,70,70,1,0.001,Adam
50,0.030048782005906105,0.0,0.022447718759474246,0.0,64,50,70,70,2,0.1,Adam
50,7.3453911682008766e-06,0.0,3.0995391903911915e-05,0.004854369,64,50,70,70,2,0.01,Adam
50,0.0008088420145213604,0.0,0.0005378946701507763,0.004854369,64,50,70,70,2,0.001,Adam
80,0.0005464299465529621,0.0,0.00024361344400761667,0.004854369,64,80,30,30,1,0.1,Adam
80,6.694297189824283e-05,0.0,8.412415676838402e-05,0.004854369,64,80,30,30,1,0.01,Adam
80,0.0008880443638190627,0.0,0.00048069506731038026,0.004854369,64,80,30,30,1,0.001,Adam
80,0.0001420037733623758,0.0,0.00016452158754352408,0.004854369,64,80,30,30,2,0.1,Adam
80,8.63529639900662e-05,0.0,2.5841262064663947e-05,0.004854369,64,80,30,30,2,0.01,Adam
80,0.0002532802755013108,0.0,0.0002758829273482405,0.004854369,64,80,30,30,2,0.001,Adam
80,0.00019497828907333314,0.0,9.595796813989437e-05,0.004854369,64,80,30,50,1,0.1,Adam
