round_epochs,loss,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
20,0.002652391,64,20,0.1,30,30,1,Adam
20,0.00693137,64,20,0.1,30,30,2,Adam
20,0.003907507,64,20,0.1,30,50,1,Adam
20,0.002534166,64,20,0.1,30,50,2,Adam
20,0.002131888,64,20,0.1,30,70,1,Adam
20,0.003141893,64,20,0.1,30,70,2,Adam
20,0.004956834,64,20,0.1,50,30,1,Adam
20,0.00232228,64,20,0.1,50,30,2,Adam
20,0.001745276,64,20,0.1,50,50,1,Adam
20,0.007855305,64,20,0.1,50,50,2,Adam
20,0.001497221,64,20,0.1,50,70,1,Adam
20,0.004048313,64,20,0.1,50,70,2,Adam
20,0.002556688,64,20,0.1,70,30,1,Adam
20,0.009850183,64,20,0.1,70,30,2,Adam
20,0.001371583,64,20,0.1,70,50,1,Adam
20,0.013698788,64,20,0.1,70,50,2,Adam
20,0.002141189,64,20,0.1,70,70,1,Adam
20,0.022217258,64,20,0.1,70,70,2,Adam
20,0.004815442,64,20,0.01,30,30,1,Adam
20,0.00338592,64,20,0.01,30,30,2,Adam
20,0.003726902,64,20,0.01,30,50,1,Adam
20,0.00278736,64,20,0.01,30,50,2,Adam
20,0.0029553,64,20,0.01,30,70,1,Adam
20,0.003050369,64,20,0.01,30,70,2,Adam
20,0.001947507,64,20,0.01,50,30,1,Adam
20,0.001809137,64,20,0.01,50,30,2,Adam
20,0.002872942,64,20,0.01,50,50,1,Adam
20,0.001953932,64,20,0.01,50,50,2,Adam
20,0.002243527,64,20,0.01,50,70,1,Adam
20,0.002926517,64,20,0.01,50,70,2,Adam
20,0.001698315,64,20,0.01,70,30,1,Adam
20,0.002646267,64,20,0.01,70,30,2,Adam
20,0.001511982,64,20,0.01,70,50,1,Adam
20,0.001661249,64,20,0.01,70,50,2,Adam
20,0.001360766,64,20,0.01,70,70,1,Adam
20,0.001499499,64,20,0.01,70,70,2,Adam
20,0.01518186,64,20,0.001,30,30,1,Adam
20,0.016634349,64,20,0.001,30,30,2,Adam
20,0.016533986,64,20,0.001,30,50,1,Adam
20,0.015741119,64,20,0.001,30,50,2,Adam
20,0.016188892,64,20,0.001,30,70,1,Adam
20,0.016442133,64,20,0.001,30,70,2,Adam
20,0.014242306,64,20,0.001,50,30,1,Adam
20,0.015853639,64,20,0.001,50,30,2,Adam
20,0.013737133,64,20,0.001,50,50,1,Adam
20,0.014066215,64,20,0.001,50,50,2,Adam
20,0.014857421,64,20,0.001,50,70,1,Adam
20,0.014532502,64,20,0.001,50,70,2,Adam
20,0.012857487,64,20,0.001,70,30,1,Adam
20,0.013937888,64,20,0.001,70,30,2,Adam
20,0.012316552,64,20,0.001,70,50,1,Adam
20,0.013366691,64,20,0.001,70,50,2,Adam
20,0.013237742,64,20,0.001,70,70,1,Adam
20,0.012923296,64,20,0.001,70,70,2,Adam
50,0.00147194,64,50,0.1,30,30,1,Adam
50,0.001442076,64,50,0.1,30,30,2,Adam
50,0.001588781,64,50,0.1,30,50,1,Adam
50,0.001764036,64,50,0.1,30,50,2,Adam
50,0.001672957,64,50,0.1,30,70,1,Adam
50,0.001489148,64,50,0.1,30,70,2,Adam
50,0.002292693,64,50,0.1,50,30,1,Adam
50,0.000980773,64,50,0.1,50,30,2,Adam
50,0.00104235,64,50,0.1,50,50,1,Adam
50,0.002194915,64,50,0.1,50,50,2,Adam
50,0.001228103,64,50,0.1,50,70,1,Adam
50,0.003470467,64,50,0.1,50,70,2,Adam
50,0.000494991,64,50,0.1,70,30,1,Adam
50,0.001435177,64,50,0.1,70,30,2,Adam
50,0.001073814,64,50,0.1,70,50,1,Adam
50,0.001187174,64,50,0.1,70,50,2,Adam
50,0.000677824,64,50,0.1,70,70,1,Adam
50,0.022197742,64,50,0.1,70,70,2,Adam
50,0.000822271,64,50,0.01,30,30,1,Adam
50,0.000880526,64,50,0.01,30,30,2,Adam
50,0.00083534,64,50,0.01,30,50,1,Adam
50,0.000978966,64,50,0.01,30,50,2,Adam
50,0.000973873,64,50,0.01,30,70,1,Adam
50,0.001057314,64,50,0.01,30,70,2,Adam
50,0.000686159,64,50,0.01,50,30,1,Adam
50,0.001288815,64,50,0.01,50,30,2,Adam
50,0.000485049,64,50,0.01,50,50,1,Adam
50,0.000821116,64,50,0.01,50,50,2,Adam
