round_epochs,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
20,0.002710234826798139,0.006802721,64,20,0.1,30,30,30,1,Adam
20,0.0002308168163805009,0.006802721,64,20,0.1,30,30,30,2,Adam
20,0.0006027987110428512,0.006802721,64,20,0.1,30,30,50,1,Adam
20,0.0009522570240102252,0.006802721,64,20,0.1,30,30,50,2,Adam
20,0.0008006926877804253,0.006802721,64,20,0.1,30,30,70,1,Adam
20,0.00037813575072752527,0.006802721,64,20,0.1,30,30,70,2,Adam
20,0.0016727796557745864,0.006802721,64,20,0.1,30,50,30,1,Adam
20,0.0011170019006014479,0.006802721,64,20,0.1,30,50,30,2,Adam
20,0.00041057664261921783,0.006802721,64,20,0.1,30,50,50,1,Adam
20,0.002426159077127572,0.006802721,64,20,0.1,30,50,50,2,Adam
20,0.003538822931424417,0.006802721,64,20,0.1,30,50,70,1,Adam
20,0.0003927522246863655,0.006802721,64,20,0.1,30,50,70,2,Adam
20,0.00042557858800211425,0.006802721,64,20,0.1,30,70,30,1,Adam
20,0.0006638938100964186,0.006802721,64,20,0.1,30,70,30,2,Adam
20,0.00045282532283592793,0.006802721,64,20,0.1,30,70,50,1,Adam
20,0.0019920251330639532,0.006802721,64,20,0.1,30,70,50,2,Adam
20,0.000897414313128763,0.006802721,64,20,0.1,30,70,70,1,Adam
20,0.0026616998520508713,0.006802721,64,20,0.1,30,70,70,2,Adam
20,0.0056627764917758045,0.006802721,64,20,0.1,50,30,30,1,Adam
20,0.0011486645675498714,0.006802721,64,20,0.1,50,30,30,2,Adam
20,0.005043685119472394,0.006802721,64,20,0.1,50,30,50,1,Adam
20,0.00043958751326363506,0.006802721,64,20,0.1,50,30,50,2,Adam
20,0.003479141604193315,0.006802721,64,20,0.1,50,30,70,1,Adam
20,0.0008659823314559196,0.006802721,64,20,0.1,50,30,70,2,Adam
20,0.004020399748201982,0.006802721,64,20,0.1,50,50,30,1,Adam
20,0.00048406253118213696,0.006802721,64,20,0.1,50,50,30,2,Adam
20,0.011811410640778185,0.006802721,64,20,0.1,50,50,50,1,Adam
20,0.0011194142541486997,0.006802721,64,20,0.1,50,50,50,2,Adam
20,0.023595941233999874,0.0,64,20,0.1,50,50,70,1,Adam
20,0.0008086072891589482,0.006802721,64,20,0.1,50,50,70,2,Adam
20,0.007138350205559309,0.006802721,64,20,0.1,50,70,30,1,Adam
