round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
80,3.53E-06,0,0.000471683,0.004975124,64,80,0.001,30,30,50,2,Adam
20,0.000488144,0,0.001446385,0.004975124,64,20,0.1,30,30,30,1,Adam
20,0.002778209,0,0.00246713,0.004975124,64,20,0.1,30,30,30,2,Adam
20,0.000202145,0,0.000302702,0.004975124,64,20,0.1,30,30,50,1,Adam
20,0.000366851,0,0.001375657,0.004975124,64,20,0.1,30,30,50,2,Adam
20,0.000182713,0,0.000423371,0.004975124,64,20,0.1,30,30,70,1,Adam
20,0.000107395,0,0.000427735,0.004975124,64,20,0.1,30,30,70,2,Adam
20,0.000878835,0,0.00051901,0.004975124,64,20,0.1,30,50,30,1,Adam
20,0.000180064,0,0.000499832,0.004975124,64,20,0.1,30,50,30,2,Adam
20,0.002797223,0,0.001096692,0.004975124,64,20,0.1,30,50,50,1,Adam
20,0.000241052,0,0.000153614,0.004975124,64,20,0.1,30,50,50,2,Adam
20,0.000222318,0,0.000797422,0.004975124,64,20,0.1,30,50,70,1,Adam
20,0.000227878,0,0.001058784,0.004975124,64,20,0.1,30,50,70,2,Adam
20,0.000423359,0,0.000708267,0.004975124,64,20,0.1,30,70,30,1,Adam
20,9.24E-05,0,0.000294443,0.004975124,64,20,0.1,30,70,30,2,Adam
20,0.000379977,0,0.000513886,0.004975124,64,20,0.1,30,70,50,1,Adam
20,0.000126426,0,0.000553736,0.004975124,64,20,0.1,30,70,50,2,Adam
20,0.000486921,0,0.003189434,0.004975124,64,20,0.1,30,70,70,1,Adam
20,0.000452057,0,0.000353931,0.004975124,64,20,0.1,30,70,70,2,Adam
20,0.000374822,0,0.001114,0.004975124,64,20,0.1,50,30,30,1,Adam
20,0.000577092,0,0.000648879,0.004975124,64,20,0.1,50,30,30,2,Adam
20,0.000200994,0,0.000980711,0.004975124,64,20,0.1,50,30,50,1,Adam
20,0.002414429,0,0.004619425,0.004975124,64,20,0.1,50,30,50,2,Adam
20,0.000256825,0,0.002920138,0.004975124,64,20,0.1,50,30,70,1,Adam
20,0.000448056,0,0.001487668,0.004975124,64,20,0.1,50,30,70,2,Adam
20,0.007401387,0,0.007806555,0.004975124,64,20,0.1,50,50,30,1,Adam
20,0.003449182,0,0.000989174,0.004975124,64,20,0.1,50,50,30,2,Adam
20,0.011323466,0,0.014964238,0.004975124,64,20,0.1,50,50,50,1,Adam
20,0.000299296,0,0.000589933,0.004975124,64,20,0.1,50,50,50,2,Adam
20,0.025693571,0,0.021477801,0,64,20,0.1,50,50,70,1,Adam
20,0.003745532,0,0.001068826,0.004975124,64,20,0.1,50,50,70,2,Adam
20,0.000541842,0,0.00213272,0.004975124,64,20,0.1,50,70,30,1,Adam
20,0.001932207,0,0.002315503,0.004975124,64,20,0.1,50,70,30,2,Adam
20,0.001618665,0,0.001857199,0.004975124,64,20,0.1,50,70,50,1,Adam
20,0.000182161,0,0.000163293,0.004975124,64,20,0.1,50,70,50,2,Adam
20,0.002581496,0,0.001715374,0.004975124,64,20,0.1,50,70,70,1,Adam
20,0.000204508,0,0.00021062,0.004975124,64,20,0.1,50,70,70,2,Adam
20,0.011715585,0,0.01007422,0.004975124,64,20,0.1,70,30,30,1,Adam
20,0.000182906,0,0.0002333,0.004975124,64,20,0.1,70,30,30,2,Adam
20,0.000807868,0,0.001222688,0.004975124,64,20,0.1,70,30,50,1,Adam
20,0.001679493,0,0.001104435,0.004975124,64,20,0.1,70,30,50,2,Adam
20,0.021732783,0,0.021477095,0,64,20,0.1,70,30,70,1,Adam
20,0.000138269,0,0.000384862,0.004975124,64,20,0.1,70,30,70,2,Adam
20,0.003268802,0,0.022703567,0.004975124,64,20,0.1,70,50,30,1,Adam
20,0.017510301,0,0.012872733,0.004975124,64,20,0.1,70,50,30,2,Adam
20,0.011759488,0,0.010533745,0.004975124,64,20,0.1,70,50,50,1,Adam
20,0.007732095,0,0.009852877,0.004975124,64,20,0.1,70,50,50,2,Adam
20,0.022147605,0,0.0219819,0,64,20,0.1,70,50,70,1,Adam
20,0.0082456,0,0.005091263,0.004975124,64,20,0.1,70,50,70,2,Adam
20,0.024524048,0,0.021478875,0,64,20,0.1,70,70,30,1,Adam
20,0.000261721,0,0.001600516,0.004975124,64,20,0.1,70,70,30,2,Adam
20,0.011079652,0,0.007257697,0.004975124,64,20,0.1,70,70,50,1,Adam
20,0.020102421,0,0.021694902,0,64,20,0.1,70,70,50,2,Adam
20,0.000416422,0,0.005812266,0.004975124,64,20,0.1,70,70,70,1,Adam
