round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
50,3.417051266296767e-05,0.0,0.0002133255608004599,0.004854369,64,50,0.1,30,30,1,Adam
50,0.0008110832422971725,0.0,0.0001919763818981117,0.004854369,64,50,0.1,30,30,2,Adam
50,0.00039254355942830443,0.0,7.20559596409004e-05,0.004854369,64,50,0.1,30,50,1,Adam
50,0.0004177806549705565,0.0,0.0001424971488428763,0.004854369,64,50,0.1,30,50,2,Adam
50,8.777106995694339e-05,0.0,9.33429014499444e-05,0.004854369,64,50,0.1,50,30,1,Adam
50,7.004554208833724e-05,0.0,0.00043453496329269364,0.004854369,64,50,0.1,50,30,2,Adam
50,0.00039659635513089597,0.0,0.00011379334036355784,0.004854369,64,50,0.1,50,50,1,Adam
50,5.2629970014095306e-05,0.0,6.504613335088384e-05,0.004854369,64,50,0.1,50,50,2,Adam
50,7.728374475846067e-05,0.0,0.00016471383444969406,0.004854369,64,50,0.01,30,30,1,Adam
50,1.755632365529891e-05,0.0,4.310123503918237e-05,0.004854369,64,50,0.01,30,30,2,Adam
50,0.0002085075539071113,0.0,0.00027974005404281097,0.004854369,64,50,0.01,30,50,1,Adam
50,3.1666550057707354e-05,0.0,0.00011420320346216825,0.004854369,64,50,0.01,30,50,2,Adam
50,0.00018964448827318847,0.0,0.0001512276656073473,0.004854369,64,50,0.01,50,30,1,Adam
50,0.00013916959869675338,0.0,4.6781307759975055e-05,0.004854369,64,50,0.01,50,30,2,Adam
50,0.00014641403686255217,0.0,0.00023832923938402707,0.004854369,64,50,0.01,50,50,1,Adam
50,2.549804594309535e-05,0.0,5.326550576815526e-05,0.004854369,64,50,0.01,50,50,2,Adam
50,0.0038580310065299273,0.0,0.003193962964165992,0.004854369,64,50,0.001,30,30,1,Adam
50,0.0021316255442798138,0.0,0.001730133433491715,0.004854369,64,50,0.001,30,30,2,Adam
50,0.000641089747659862,0.0,0.001642547771605907,0.004854369,64,50,0.001,30,50,1,Adam
50,0.0007458630716428161,0.0,0.0020311619788046602,0.004854369,64,50,0.001,30,50,2,Adam
50,0.004569609649479389,0.0,0.0020923900544571068,0.004854369,64,50,0.001,50,30,1,Adam
50,0.0011446030111983418,0.0,0.0015988656414618481,0.004854369,64,50,0.001,50,30,2,Adam
50,0.003007011953741312,0.0,0.001238902596738732,0.004854369,64,50,0.001,50,50,1,Adam
50,0.000911861949134618,0.0,0.0008605636350552832,0.004854369,64,50,0.001,50,50,2,Adam
80,4.6378070692298934e-05,0.0,0.00010019175505414786,0.004854369,64,80,0.1,30,30,1,Adam
80,6.184473022585735e-05,0.0,9.418567936433461e-05,0.004854369,64,80,0.1,30,30,2,Adam
80,9.606983803678304e-05,0.0,0.00010383757677842475,0.004854369,64,80,0.1,30,50,1,Adam
80,0.00041516771307215095,0.0,5.7126024471781245e-05,0.004854369,64,80,0.1,30,50,2,Adam
80,6.01620467932662e-06,0.0,0.0001514886153547672,0.004854369,64,80,0.1,50,30,1,Adam
80,0.0009875177638605237,0.0,0.0002693419414092063,0.004854369,64,80,0.1,50,30,2,Adam
80,6.509326340164989e-05,0.0,5.47558500205994e-05,0.004854369,64,80,0.1,50,50,1,Adam
80,5.349368439055979e-05,0.0,9.405911153858275e-05,0.004854369,64,80,0.1,50,50,2,Adam
80,0.00016095367027446628,0.0,4.5214790712563925e-05,0.004854369,64,80,0.01,30,30,1,Adam
80,4.820591493626125e-05,0.0,2.7988912186682004e-05,0.004854369,64,80,0.01,30,30,2,Adam
80,5.3179555834503844e-05,0.0,7.693950719487157e-05,0.004854369,64,80,0.01,30,50,1,Adam
80,4.791371975443326e-05,0.0,2.8333505998462783e-05,0.004854369,64,80,0.01,30,50,2,Adam
80,2.678148121049162e-05,0.0,4.646603788519888e-05,0.004854369,64,80,0.01,50,30,1,Adam
80,9.901532393996604e-06,0.0,3.3070830539551575e-05,0.004854369,64,80,0.01,50,30,2,Adam
80,0.00010229984764009714,0.0,5.5845338280156746e-05,0.004854369,64,80,0.01,50,50,1,Adam
80,1.1652748980850447e-05,0.0,2.7749250257682752e-05,0.004854369,64,80,0.01,50,50,2,Adam
80,0.0014837166527286172,0.0,0.000949851327091998,0.004854369,64,80,0.001,30,30,1,Adam
80,0.0005316497990861535,0.0,0.0006481582401727227,0.004854369,64,80,0.001,30,30,2,Adam
80,0.0024098637513816357,0.0,0.001462327007281151,0.004854369,64,80,0.001,30,50,1,Adam
80,0.0004990157322026789,0.0,0.0006211712821929272,0.004854369,64,80,0.001,30,50,2,Adam
80,0.0026390855200588703,0.0,0.0011659913359535405,0.004854369,64,80,0.001,50,30,1,Adam
80,0.0009618604672141373,0.0,0.00041726444244895636,0.004854369,64,80,0.001,50,30,2,Adam
80,0.001475617871619761,0.0,0.0006650597839254561,0.004854369,64,80,0.001,50,50,1,Adam
80,0.0009137337910942733,0.0,0.00041294732250869996,0.004854369,64,80,0.001,50,50,2,Adam
50,0.0005293741705827415,0.0,0.0002700032864683715,0.004854369,128,50,0.1,30,30,1,Adam
