round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm_1_nodes,lstm_2_nodes,lstm_3_nodes,lstm_layers,optimizer
50,0.0004175085632596165,0.0,0.0002771548729602392,0.004854369,64,50,0.1,30,30,30,1,Adam
50,0.0007217428064905107,0.0,0.0002640472603956174,0.004854369,64,50,0.1,30,30,30,2,Adam
50,0.0006920559681020677,0.0,0.00027245841906247754,0.004854369,64,50,0.1,30,30,30,3,Adam
50,0.0025771360378712416,0.0,0.0016583521665046806,0.004854369,64,50,0.1,30,30,50,1,Adam
50,0.00018217309843748808,0.0,0.0001770848961031625,0.004854369,64,50,0.1,30,30,50,2,Adam
50,0.0007345022168010473,0.0,0.00020208713913322834,0.004854369,64,50,0.1,30,30,50,3,Adam
50,3.766129520954564e-05,0.0,6.354198914989874e-05,0.004854369,64,50,0.1,30,30,70,1,Adam
50,0.00011205019836779684,0.0,0.00010715034337956187,0.004854369,64,50,0.1,30,30,70,2,Adam
50,0.0011844099499285221,0.0,0.00022741372916605594,0.004854369,64,50,0.1,30,30,70,3,Adam
50,0.0069872671738266945,0.0,0.0025226230511568412,0.004854369,64,50,0.1,30,50,30,1,Adam
50,0.0001101401139749214,0.0,5.633466306551658e-05,0.004854369,64,50,0.1,30,50,30,2,Adam
50,0.00013274011143948883,0.0,0.00036245601031888565,0.004854369,64,50,0.1,30,50,30,3,Adam
50,0.0010419976897537708,0.0,0.0005720407748368831,0.004854369,64,50,0.1,30,50,50,1,Adam
50,0.00014670459495391697,0.0,0.00015827154065934418,0.004854369,64,50,0.1,30,50,50,2,Adam
50,0.00023370848794002086,0.0,0.0002437289419936613,0.004854369,64,50,0.1,30,50,50,3,Adam
50,0.011325799860060215,0.0,0.008262872415621883,0.004854369,64,50,0.1,30,50,70,1,Adam
50,0.00023028533905744553,0.0,0.0001565379099649133,0.004854369,64,50,0.1,30,50,70,2,Adam
50,0.0005326514947228134,0.0,0.00018010446654849696,0.004854369,64,50,0.1,30,50,70,3,Adam
50,6.407639011740685e-05,0.0,0.0009712613825188968,0.004854369,64,50,0.1,30,70,30,1,Adam
50,0.00015715644985903054,0.0,0.0002372732541543088,0.004854369,64,50,0.1,30,70,30,2,Adam
50,0.00010534045577514917,0.0,0.000252544792460558,0.004854369,64,50,0.1,30,70,30,3,Adam
50,0.008457126095890999,0.0,0.003564700798484162,0.004854369,64,50,0.1,30,70,50,1,Adam
50,3.29326321661938e-05,0.0,0.0001620383542827873,0.004854369,64,50,0.1,30,70,50,2,Adam
50,0.00014907610602676868,0.0,0.00012753380222915156,0.004854369,64,50,0.1,30,70,50,3,Adam
50,2.5492248823866248e-05,0.0,0.00023363460115557175,0.004854369,64,50,0.1,30,70,70,1,Adam
50,0.0001193786520161666,0.0,0.00011265472045848689,0.004854369,64,50,0.1,30,70,70,2,Adam
50,0.0006065223133191466,0.0,0.00030524239765742376,0.004854369,64,50,0.1,30,70,70,3,Adam
50,0.0005540643469430506,0.0,0.0006294645650484102,0.004854369,64,50,0.1,50,30,30,1,Adam
50,0.0009515958954580128,0.0,0.0006128020492185685,0.004854369,64,50,0.1,50,30,30,2,Adam
50,0.0020381177309900522,0.0,0.0005347445478337338,0.004854369,64,50,0.1,50,30,30,3,Adam
50,0.00288939755409956,0.0,0.0014643502609297922,0.004854369,64,50,0.1,50,30,50,1,Adam
50,0.001144622452557087,0.0,0.0002588520812105785,0.004854369,64,50,0.1,50,30,50,2,Adam
50,3.914049011655152e-05,0.0,0.0020249404045086334,0.004854369,64,50,0.1,50,30,50,3,Adam
50,1.882811375253368e-05,0.0,0.0001505251375684804,0.004854369,64,50,0.1,50,30,70,1,Adam
50,0.0013149746228009462,0.0,0.0008659729648164465,0.004854369,64,50,0.1,50,30,70,2,Adam
50,0.0012073067482560873,0.0,0.00023073202860315594,0.004854369,64,50,0.1,50,30,70,3,Adam
50,6.277159263845533e-05,0.0,0.00010231824846626305,0.004854369,64,50,0.1,50,50,30,1,Adam
50,0.0086591187864542,0.0,0.002301766148325309,0.004854369,64,50,0.1,50,50,30,2,Adam
50,0.0002969249617308378,0.0,0.00019731922558332494,0.004854369,64,50,0.1,50,50,30,3,Adam
50,0.0017075451323762536,0.0,0.001756870872747985,0.004854369,64,50,0.1,50,50,50,1,Adam
50,3.178030965500511e-05,0.0,0.00020326440602889086,0.004854369,64,50,0.1,50,50,50,2,Adam
50,0.06483012437820435,0.0,0.020538864729618564,0.004854369,64,50,0.1,50,50,50,3,Adam
50,0.010175415314733982,0.0,0.006413590330268862,0.004854369,64,50,0.1,50,50,70,1,Adam
50,0.0031764835584908724,0.0,0.0009784007883513147,0.004854369,64,50,0.1,50,50,70,2,Adam
50,0.005020373035222292,0.0,0.005700792647102504,0.004854369,64,50,0.1,50,50,70,3,Adam
50,0.0025440340396016836,0.0,0.0012176805848337132,0.004854369,64,50,0.1,50,70,30,1,Adam
50,0.0024214524310082197,0.0,0.0005129325524022242,0.004854369,64,50,0.1,50,70,30,2,Adam
50,0.030339758843183517,0.0,0.021435676395748424,0.0,64,50,0.1,50,70,30,3,Adam
50,0.0004456155002117157,0.0,0.00025337682138377966,0.004854369,64,50,0.1,50,70,50,1,Adam
50,0.0003734513302333653,0.0,0.0016047965330569056,0.004854369,64,50,0.1,50,70,50,2,Adam
50,0.024559620767831802,0.0,0.021530404686927795,0.0,64,50,0.1,50,70,50,3,Adam
50,0.00810555275529623,0.0,0.00478957372817021,0.004854369,64,50,0.1,50,70,70,1,Adam
50,0.0013021680060774088,0.0,0.0003663188803577072,0.004854369,64,50,0.1,50,70,70,2,Adam
50,0.02766762301325798,0.0,0.021362504080950636,0.0,64,50,0.1,50,70,70,3,Adam
50,0.007745774928480387,0.0,0.0057588041967992646,0.004854369,64,50,0.1,70,30,30,1,Adam
50,0.06837431341409683,0.0,0.02708931748294136,0.0,64,50,0.1,70,30,30,2,Adam
50,0.00020343033247627318,0.0,0.0005426392619253941,0.004854369,64,50,0.1,70,30,30,3,Adam
50,0.0034817501436918974,0.0,0.0017561845354808188,0.004854369,64,50,0.1,70,30,50,1,Adam
50,0.03056199848651886,0.0,0.0215995133519896,0.0,64,50,0.1,70,30,50,2,Adam
50,0.0003131847479380667,0.0,0.0001341048547561796,0.004854369,64,50,0.1,70,30,50,3,Adam
50,0.0005882277037017047,0.0,0.00045179995624529363,0.004854369,64,50,0.1,70,30,70,1,Adam
50,0.00027722501545213163,0.0,0.0005921297960968923,0.004854369,64,50,0.1,70,30,70,2,Adam
50,0.009296906180679798,0.0,0.016928659137157562,0.004854369,64,50,0.1,70,30,70,3,Adam
50,0.011144651100039482,0.0,0.006733922518391922,0.004854369,64,50,0.1,70,50,30,1,Adam
50,0.0334903784096241,0.0,0.02322034373228411,0.0,64,50,0.1,70,50,30,2,Adam
50,0.013108590617775917,0.0,0.009419680179720655,0.004854369,64,50,0.1,70,50,30,3,Adam
50,0.0008331696735695004,0.0,0.0006327919774458211,0.004854369,64,50,0.1,70,50,50,1,Adam
50,0.010731634683907032,0.0,0.008174690399861451,0.004854369,64,50,0.1,70,50,50,2,Adam
50,0.04550284892320633,0.0,0.021536466005502394,0.0,64,50,0.1,70,50,50,3,Adam
50,0.0034693791531026363,0.0,0.0015105765767268909,0.004854369,64,50,0.1,70,50,70,1,Adam
50,0.0008377085323445499,0.0,0.003781365870398659,0.004854369,64,50,0.1,70,50,70,2,Adam
50,3.5760247556027025e-05,0.0,0.0015955698965750274,0.004854369,64,50,0.1,70,50,70,3,Adam
50,0.001602128497324884,0.0,0.0008334863317217135,0.004854369,64,50,0.1,70,70,30,1,Adam
50,0.01590849831700325,0.0,0.022147503600103185,0.0,64,50,0.1,70,70,30,2,Adam
50,0.03738182410597801,0.0,0.02232504929008993,0.0,64,50,0.1,70,70,30,3,Adam
50,0.0029047217685729265,0.0,0.0016118048665394048,0.004854369,64,50,0.1,70,70,50,1,Adam
50,0.028026854619383812,0.0,0.022347008393516818,0.0,64,50,0.1,70,70,50,2,Adam
50,0.03291613981127739,0.0,0.021475834988997976,0.0,64,50,0.1,70,70,50,3,Adam
50,0.0020732907578349113,0.0,0.0009803511558362798,0.004854369,64,50,0.1,70,70,70,1,Adam
50,0.001983944559469819,0.0,0.007778977817014873,0.004854369,64,50,0.1,70,70,70,2,Adam
50,0.008206948637962341,0.0,0.023340484733214078,0.0,64,50,0.1,70,70,70,3,Adam
50,5.2807037718594074e-05,0.0,5.639637247529288e-05,0.004854369,64,50,0.01,30,30,30,1,Adam
50,7.658511094632559e-06,0.0,5.8742498058740397e-05,0.004854369,64,50,0.01,30,30,30,2,Adam
50,1.8776427168631926e-05,0.0,7.132409531179503e-05,0.004854369,64,50,0.01,30,30,30,3,Adam
50,1.3659681826538872e-05,0.0,4.343231752129425e-05,0.004854369,64,50,0.01,30,30,50,1,Adam
50,1.3815704733133316e-05,0.0,5.1249233294884194e-05,0.004854369,64,50,0.01,30,30,50,2,Adam
50,0.00018861198623199016,0.0,7.245430915468955e-05,0.004854369,64,50,0.01,30,30,50,3,Adam
50,1.2699699254881125e-05,0.0,2.012899854112794e-05,0.004854369,64,50,0.01,30,30,70,1,Adam
50,1.6405661881435663e-05,0.0,4.681980294442184e-05,0.004854369,64,50,0.01,30,30,70,2,Adam
50,5.684482857759576e-06,0.0,8.881754872419655e-05,0.004854369,64,50,0.01,30,30,70,3,Adam
50,6.63506070850417e-05,0.0,5.633697591054319e-05,0.004854369,64,50,0.01,30,50,30,1,Adam
50,1.4393883247976191e-05,0.0,4.5918776786228354e-05,0.004854369,64,50,0.01,30,50,30,2,Adam
50,1.0486309292900842e-05,0.0,6.182040728233614e-05,0.004854369,64,50,0.01,30,50,30,3,Adam
50,3.837780968751758e-05,0.0,5.900217206765518e-05,0.004854369,64,50,0.01,30,50,50,1,Adam
50,2.007657712965738e-05,0.0,3.703896757021707e-05,0.004854369,64,50,0.01,30,50,50,2,Adam
50,7.732764061074704e-05,0.0,6.563684337821029e-05,0.004854369,64,50,0.01,30,50,50,3,Adam
50,0.00011800284119090065,0.0,9.475556556564909e-05,0.004854369,64,50,0.01,30,50,70,1,Adam
50,2.751314923443715e-06,0.0,5.462000522526881e-05,0.004854369,64,50,0.01,30,50,70,2,Adam
50,2.3448606953024864e-05,0.0,5.448869698951066e-05,0.004854369,64,50,0.01,30,50,70,3,Adam
50,0.00012172112474218011,0.0,9.874952508467793e-05,0.004854369,64,50,0.01,30,70,30,1,Adam
50,1.9383904145797715e-05,0.0,5.7288954990635654e-05,0.004854369,64,50,0.01,30,70,30,2,Adam
50,6.871627556392923e-05,0.0,5.1802540485050924e-05,0.004854369,64,50,0.01,30,70,30,3,Adam
50,0.00011296062439214438,0.0,7.133328970278685e-05,0.004854369,64,50,0.01,30,70,50,1,Adam
50,7.731353252893314e-05,0.0,7.892871621399394e-05,0.004854369,64,50,0.01,30,70,50,2,Adam
50,2.6200974389212206e-05,0.0,5.699922300302152e-05,0.004854369,64,50,0.01,30,70,50,3,Adam
50,6.955509161343798e-05,0.0,5.822319635450026e-05,0.004854369,64,50,0.01,30,70,70,1,Adam
50,3.1194554139801767e-06,0.0,6.403958807655303e-05,0.004854369,64,50,0.01,30,70,70,2,Adam
50,8.759206684771925e-05,0.0,6.973108713847395e-05,0.004854369,64,50,0.01,30,70,70,3,Adam
50,4.6927791117923334e-05,0.0,2.844941132334321e-05,0.004854369,64,50,0.01,50,30,30,1,Adam
50,3.384014416951686e-05,0.0,5.5631051897930286e-05,0.004854369,64,50,0.01,50,30,30,2,Adam
50,6.919129373272881e-05,0.0,7.87168318514251e-05,0.004854369,64,50,0.01,50,30,30,3,Adam
50,0.00010876605665544048,0.0,6.071457586215031e-05,0.004854369,64,50,0.01,50,30,50,1,Adam
50,8.617892490292434e-06,0.0,4.020336758542028e-05,0.004854369,64,50,0.01,50,30,50,2,Adam
50,9.19724625418894e-05,0.0,3.5973360301566187e-05,0.004854369,64,50,0.01,50,30,50,3,Adam
50,3.1853494874667376e-05,0.0,5.606454688302937e-05,0.004854369,64,50,0.01,50,30,70,1,Adam
