round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm_1_nodes,lstm_2_nodes,lstm_layers,optimizer
50,0.001776063465513289,0.0,0.00044536996659375185,0.004854369,64,50,0.1,30,30,1,Adam
50,0.000757984584197402,0.0,8.347343686782728e-05,0.004854369,64,50,0.1,30,30,2,Adam
50,0.0005591604276560247,0.0,8.2189963878476e-05,0.004854369,64,50,0.1,30,50,1,Adam
50,0.000348779431078583,0.0,4.5270912239872805e-05,0.004854369,64,50,0.1,30,50,2,Adam
50,0.0003859350399579853,0.0,5.4071528264332686e-05,0.004854369,64,50,0.1,30,70,1,Adam
50,0.0003049211227335036,0.0,6.0344706583334116e-05,0.004854369,64,50,0.1,30,70,2,Adam
50,0.0006360192783176899,0.0,9.35100804922822e-05,0.004854369,64,50,0.1,50,30,1,Adam
50,0.0004634185170289129,0.0,0.00015336951637613468,0.004854369,64,50,0.1,50,30,2,Adam
50,0.0004909386625513434,0.0,7.773370742549197e-05,0.004854369,64,50,0.1,50,50,1,Adam
50,0.0016822671750560403,0.0,0.0004742340189269156,0.004854369,64,50,0.1,50,50,2,Adam
50,0.0013388782972469926,0.0,0.00016572638016388506,0.004854369,64,50,0.1,50,70,1,Adam
50,0.0051001375541090965,0.0,0.0006346559749342031,0.004854369,64,50,0.1,50,70,2,Adam
50,0.00029560193070210516,0.0,7.102190792669082e-05,0.004854369,64,50,0.1,70,30,1,Adam
50,0.0012705099070444703,0.0,0.00029766593310412345,0.004854369,64,50,0.1,70,30,2,Adam
50,0.000933332194108516,0.0,7.888608150414725e-05,0.004854369,64,50,0.1,70,50,1,Adam
50,0.0011166094336658716,0.0,0.000776081418311133,0.004854369,64,50,0.1,70,50,2,Adam
50,0.0005543747101910412,0.0,8.858287207119945e-05,0.004854369,64,50,0.1,70,70,1,Adam
50,0.0006723899277858436,0.0,0.0001593018220500225,0.004854369,64,50,0.1,70,70,2,Adam
50,9.865901665762067e-05,0.0,4.937768731835904e-05,0.004854369,64,50,0.01,30,30,1,Adam
50,0.00015274525503627956,0.0,8.034561310038061e-05,0.004854369,64,50,0.01,30,30,2,Adam
50,0.00011003090912709013,0.0,7.14330873378661e-05,0.004854369,64,50,0.01,30,50,1,Adam
50,5.043002965976484e-05,0.0,9.368794517904109e-05,0.004854369,64,50,0.01,30,50,2,Adam
50,2.733775181695819e-05,0.0,5.763502800283339e-05,0.004854369,64,50,0.01,30,70,1,Adam
50,0.0001533819449832663,0.0,7.962856564085333e-05,0.004854369,64,50,0.01,30,70,2,Adam
50,0.00012255778710823506,0.0,5.607787558969418e-05,0.004854369,64,50,0.01,50,30,1,Adam
50,4.262241782271303e-05,0.0,6.494496833025568e-05,0.004854369,64,50,0.01,50,30,2,Adam
50,7.149385783122852e-05,0.0,5.893725332480774e-05,0.004854369,64,50,0.01,50,50,1,Adam
50,6.473341636592522e-05,0.0,5.4523099818661386e-05,0.004854369,64,50,0.01,50,50,2,Adam
50,6.949888484086841e-05,0.0,4.686168024827301e-05,0.004854369,64,50,0.01,50,70,1,Adam
50,0.0001526749401818961,0.0,6.372445233017026e-05,0.004854369,64,50,0.01,50,70,2,Adam
50,3.1755749660078436e-05,0.0,6.519282781756348e-05,0.004854369,64,50,0.01,70,30,1,Adam
50,9.62086342042312e-05,0.0,7.677677167874526e-05,0.004854369,64,50,0.01,70,30,2,Adam
50,5.9453923313412815e-05,0.0,6.1017617836732474e-05,0.004854369,64,50,0.01,70,50,1,Adam
50,8.073643402894959e-05,0.0,4.672487670424602e-05,0.004854369,64,50,0.01,70,50,2,Adam
50,6.543051858898252e-05,0.0,4.60670963345091e-05,0.004854369,64,50,0.01,70,70,1,Adam
50,0.0001502978557255119,0.0,4.3699202684118203e-05,0.004854369,64,50,0.01,70,70,2,Adam
50,0.003061993047595024,0.0,0.0014569359109284882,0.004854369,64,50,0.001,30,30,1,Adam
50,0.0030537224374711514,0.0,0.0014017304706215425,0.004854369,64,50,0.001,30,30,2,Adam
50,0.002413663547486067,0.0,0.0006956713482086519,0.004854369,64,50,0.001,30,50,1,Adam
50,0.0010353324469178915,0.0,0.0008965982847566744,0.004854369,64,50,0.001,30,50,2,Adam
50,0.0028200747910887003,0.0,0.0014156926348715007,0.004854369,64,50,0.001,30,70,1,Adam
50,0.0014824471436440945,0.0,0.0008458123357008094,0.004854369,64,50,0.001,30,70,2,Adam
50,0.0012971186079084873,0.0,0.0006637570020986848,0.004854369,64,50,0.001,50,30,1,Adam
50,0.0018436514073982835,0.0,0.0011212948638520846,0.004854369,64,50,0.001,50,30,2,Adam
50,0.0011179145658388734,0.0,0.0007596385472530987,0.004854369,64,50,0.001,50,50,1,Adam
50,0.0007950235158205032,0.0,0.000928682394922503,0.004854369,64,50,0.001,50,50,2,Adam
50,0.0009260725346393883,0.0,0.0006836033657925583,0.004854369,64,50,0.001,50,70,1,Adam
50,0.0004744810867123306,0.0,0.0007790518552743043,0.004854369,64,50,0.001,50,70,2,Adam
50,0.0014715141151100397,0.0,0.0009914210537511818,0.004854369,64,50,0.001,70,30,1,Adam
50,0.0012135219294577837,0.0,0.0007211501431511263,0.004854369,64,50,0.001,70,30,2,Adam
50,0.0015900142025202513,0.0,0.0009159713755226106,0.004854369,64,50,0.001,70,50,1,Adam
50,0.0008789341081865132,0.0,0.0007356106585063475,0.004854369,64,50,0.001,70,50,2,Adam
50,0.0018609242979437113,0.0,0.0008635984106979432,0.004854369,64,50,0.001,70,70,1,Adam
50,0.000495944928843528,0.0,0.0006643932180488211,0.004854369,64,50,0.001,70,70,2,Adam
80,0.0001900776260299608,0.0,2.982028330098702e-05,0.004854369,64,80,0.1,30,30,1,Adam
80,0.0005547920009121299,0.0,3.936478884338833e-05,0.004854369,64,80,0.1,30,30,2,Adam
80,0.00024220607883762568,0.0,2.158471175189157e-05,0.004854369,64,80,0.1,30,50,1,Adam
80,0.0010698086116462946,0.0,0.00024070296806986307,0.004854369,64,80,0.1,30,50,2,Adam
80,0.00018810816982295364,0.0,2.968962048858549e-05,0.004854369,64,80,0.1,30,70,1,Adam
80,0.0002924386062659323,0.0,7.769552892180232e-05,0.004854369,64,80,0.1,30,70,2,Adam
80,0.0004985718405805528,0.0,4.137059101056154e-05,0.004854369,64,80,0.1,50,30,1,Adam
80,0.00135856494307518,0.0,0.00025013813102455103,0.004854369,64,80,0.1,50,30,2,Adam
80,0.0003113633138127625,0.0,3.676600006885953e-05,0.004854369,64,80,0.1,50,50,1,Adam
80,0.00016942682850640267,0.0,6.23334326695999e-05,0.004854369,64,80,0.1,50,50,2,Adam
80,0.0011766529642045498,0.0,8.73736232446814e-05,0.004854369,64,80,0.1,50,70,1,Adam
80,0.0002698891912586987,0.0,9.9106942445042e-05,0.004854369,64,80,0.1,50,70,2,Adam
80,0.0004131418536417186,0.0,7.2246892071155e-05,0.004854369,64,80,0.1,70,30,1,Adam
80,0.0009495128178969026,0.0,0.0001801670043225156,0.004854369,64,80,0.1,70,30,2,Adam
80,0.0004084971151314676,0.0,6.43576321220907e-05,0.004854369,64,80,0.1,70,50,1,Adam
80,0.0008466764120385051,0.0,0.000116098129068438,0.004854369,64,80,0.1,70,50,2,Adam
80,0.00038130543543957174,0.0,4.513592930997776e-05,0.004854369,64,80,0.1,70,70,1,Adam
80,0.001621078117750585,0.0,0.0006625691363226297,0.004854369,64,80,0.1,70,70,2,Adam
80,7.122130773495883e-05,0.0,5.960225917961792e-05,0.004854369,64,80,0.01,30,30,1,Adam
80,0.00010365946218371391,0.0,5.869605684866541e-05,0.004854369,64,80,0.01,30,30,2,Adam
80,6.242199742700905e-05,0.0,5.5363223015147634e-05,0.004854369,64,80,0.01,30,50,1,Adam
80,9.48236120166257e-05,0.0,4.3534673079317074e-05,0.004854369,64,80,0.01,30,50,2,Adam
80,6.0703423514496535e-05,0.0,4.7450286711484776e-05,0.004854369,64,80,0.01,30,70,1,Adam
