round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
50,0.0003365363518241793,0.0,0.0003094171011115162,0.004854369,64,50,0.1,30,30,1,Adam
50,2.0002007659059018e-05,0.0,0.00011525094870520864,0.004854369,64,50,0.1,30,30,2,Adam
50,5.6784250773489475e-05,0.0,7.210147142686058e-05,0.004854369,64,50,0.1,30,50,1,Adam
50,8.423861436313018e-05,0.0,7.571892631161072e-05,0.004854369,64,50,0.1,30,50,2,Adam
50,0.007028111722320318,0.0,0.0024949214918520844,0.004854369,64,50,0.1,50,30,1,Adam
50,0.0003739643725566566,0.0,0.0005084912171722977,0.004854369,64,50,0.1,50,30,2,Adam
50,0.005292239133268595,0.0,0.00322445104287449,0.004854369,64,50,0.1,50,50,1,Adam
50,0.00027838480309583247,0.0,0.000515718365684875,0.004854369,64,50,0.1,50,50,2,Adam
50,3.59144396497868e-05,0.0,4.9072188895717895e-05,0.004854369,64,50,0.01,30,30,1,Adam
50,3.937545625376515e-05,0.0,6.84831603808844e-05,0.004854369,64,50,0.01,30,30,2,Adam
50,2.8565042157424614e-05,0.0,6.798859070735029e-05,0.004854369,64,50,0.01,30,50,1,Adam
50,2.5779936549952254e-05,0.0,6.686088065921953e-05,0.004854369,64,50,0.01,30,50,2,Adam
50,8.025164424907416e-05,0.0,4.009894129339248e-05,0.004854369,64,50,0.01,50,30,1,Adam
50,1.1056356925109867e-05,0.0,5.212318731016407e-05,0.004854369,64,50,0.01,50,30,2,Adam
50,1.1619285032793414e-05,0.0,3.785372482702019e-05,0.004854369,64,50,0.01,50,50,1,Adam
50,4.47594675279106e-06,0.0,3.140498898856713e-05,0.004854369,64,50,0.01,50,50,2,Adam
50,0.0004240825364831835,0.0,0.0007670255376758434,0.004854369,64,50,0.001,30,30,1,Adam
50,0.0012680630898103118,0.0,0.0013014187124214197,0.004854369,64,50,0.001,30,30,2,Adam
50,0.001038876362144947,0.0,0.001213257130940707,0.004854369,64,50,0.001,30,50,1,Adam
50,0.0004948712885379791,0.0,0.0009534013874657018,0.004854369,64,50,0.001,30,50,2,Adam
50,0.0010525851976126432,0.0,0.0009397233992326752,0.004854369,64,50,0.001,50,30,1,Adam
50,0.0008751732530072331,0.0,0.0008630949181043407,0.004854369,64,50,0.001,50,30,2,Adam
50,0.0004464220255613327,0.0,0.000542055377770595,0.004854369,64,50,0.001,50,50,1,Adam
50,0.00027090005460195243,0.0,0.0005270861167216547,0.004854369,64,50,0.001,50,50,2,Adam
80,3.054680200875737e-05,0.0,0.00018847552246811973,0.004854369,64,80,0.1,30,30,1,Adam
80,3.410777571843937e-05,0.0,0.00028024774097873677,0.004854369,64,80,0.1,30,30,2,Adam
80,0.00021605417714454234,0.0,0.00012870497893636992,0.004854369,64,80,0.1,30,50,1,Adam
80,0.0010313198436051607,0.0,0.0002147614816316738,0.004854369,64,80,0.1,30,50,2,Adam
80,0.00033173366682603955,0.0,9.550783729581366e-05,0.004854369,64,80,0.1,50,30,1,Adam
80,0.00040559330955147743,0.0,0.0003082669563015055,0.004854369,64,80,0.1,50,30,2,Adam
80,6.946701614651829e-05,0.0,0.00022278055766240232,0.004854369,64,80,0.1,50,50,1,Adam
80,1.660014459048398e-05,0.0,0.00012275112936390762,0.004854369,64,80,0.1,50,50,2,Adam
80,7.503821052523563e-06,0.0,2.7071702806476856e-05,0.004854369,64,80,0.01,30,30,1,Adam
80,1.542300742585212e-05,0.0,3.536197834267299e-05,0.004854369,64,80,0.01,30,30,2,Adam
80,5.957646408205619e-06,0.0,2.5916552031667025e-05,0.004854369,64,80,0.01,30,50,1,Adam
80,9.597905773262028e-06,0.0,2.7512740213477654e-05,0.004854369,64,80,0.01,30,50,2,Adam
80,1.150928801507689e-05,0.0,2.4665330898836684e-05,0.004854369,64,80,0.01,50,30,1,Adam
80,4.425703809829429e-05,0.0,2.3878992278608087e-05,0.004854369,64,80,0.01,50,30,2,Adam
80,1.7338603356620297e-05,0.0,2.7167632387079598e-05,0.004854369,64,80,0.01,50,50,1,Adam
80,1.8933369574369863e-05,0.0,2.7894522460079774e-05,0.004854369,64,80,0.01,50,50,2,Adam
80,0.0008676124853082001,0.0,0.000601230844181682,0.004854369,64,80,0.001,30,30,1,Adam
80,0.00019903978682123125,0.0,0.0003254568422986285,0.004854369,64,80,0.001,30,30,2,Adam
80,0.00021738866053055972,0.0,0.00020784897208711114,0.004854369,64,80,0.001,30,50,1,Adam
80,0.0001505676336819306,0.0,0.0002655426469220084,0.004854369,64,80,0.001,30,50,2,Adam
80,0.0002841782115865499,0.0,0.000340803899464324,0.004854369,64,80,0.001,50,30,1,Adam
80,0.00011212085519218817,0.0,0.00026803636158821036,0.004854369,64,80,0.001,50,30,2,Adam
80,0.0002819270303007215,0.0,0.00039826965556272024,0.004854369,64,80,0.001,50,50,1,Adam
80,0.00013051179121248424,0.0,0.00025577159517657156,0.004854369,64,80,0.001,50,50,2,Adam
50,0.0006249722791835666,0.0,0.0003115566711854732,0.004854369,128,50,0.1,30,30,1,Adam
50,0.0006332363118417561,0.0,0.0003134994722396425,0.004854369,128,50,0.1,30,30,2,Adam
