round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm_1_nodes,lstm_2_nodes,lstm_layers,optimizer
50,0.000541648012585938,0.0,6.631660309234044e-05,0.004878049,64,50,0.1,30,30,1,Adam
50,9.165914525510743e-05,0.0,7.472384512344965e-05,0.004878049,64,50,0.1,30,30,2,Adam
50,0.00016674883954692632,0.0,6.37877653722038e-05,0.004878049,64,50,0.1,30,50,1,Adam
50,0.00012700977094937116,0.0,0.0002045119375774137,0.004878049,64,50,0.1,30,50,2,Adam
50,5.526997847482562e-05,0.0,5.309418161121401e-05,0.004878049,64,50,0.1,30,70,1,Adam
50,9.636798495193943e-05,0.0,5.101388360788228e-05,0.004878049,64,50,0.1,30,70,2,Adam
50,7.741509762126952e-05,0.0,5.714499097737688e-05,0.004878049,64,50,0.1,50,30,1,Adam
50,0.0005233961855992675,0.0,0.00015800668859411394,0.004878049,64,50,0.1,50,30,2,Adam
50,0.0007503179367631674,0.0,0.00012875194632925275,0.004878049,64,50,0.1,50,50,1,Adam
50,0.006314735859632492,0.0,0.0009761525031247335,0.004878049,64,50,0.1,50,50,2,Adam
50,0.00020852021407335997,0.0,0.0001202264410250525,0.004878049,64,50,0.1,50,70,1,Adam
50,0.0008553272346034646,0.0,0.00018303651524503238,0.004878049,64,50,0.1,50,70,2,Adam
50,0.0002568890049587935,0.0,9.146041416764691e-05,0.004878049,64,50,0.1,70,30,1,Adam
50,0.007417213171720505,0.0,0.0011392287398892932,0.004878049,64,50,0.1,70,30,2,Adam
50,0.001371097518131137,0.0,0.00014309280742919527,0.004878049,64,50,0.1,70,50,1,Adam
50,0.0005296783638186753,0.0,0.00017584219650172334,0.004878049,64,50,0.1,70,50,2,Adam
50,0.0004078896308783442,0.0,0.00012349042503401728,0.004878049,64,50,0.1,70,70,1,Adam
50,0.003072673687711358,0.0,0.0016701086708230943,0.004878049,64,50,0.1,70,70,2,Adam
50,3.746683069039136e-05,0.0,6.379804511131468e-05,0.004878049,64,50,0.01,30,30,1,Adam
50,5.7122244470519945e-05,0.0,6.418847148846153e-05,0.004878049,64,50,0.01,30,30,2,Adam
50,2.3516260625910945e-05,0.0,4.7588685194524457e-05,0.004878049,64,50,0.01,30,50,1,Adam
50,5.89243027206976e-05,0.0,4.961159661988637e-05,0.004878049,64,50,0.01,30,50,2,Adam
50,2.5842489776550792e-05,0.0,4.67373068670163e-05,0.004878049,64,50,0.01,30,70,1,Adam
50,6.646521796938032e-05,0.0,5.481172947173302e-05,0.004878049,64,50,0.01,30,70,2,Adam
50,7.300148718059063e-05,0.0,6.721350107066583e-05,0.004878049,64,50,0.01,50,30,1,Adam
50,9.815534576773643e-05,0.0,5.905632860958576e-05,0.004878049,64,50,0.01,50,30,2,Adam
50,3.566746454453096e-05,0.0,5.615307919669715e-05,0.004878049,64,50,0.01,50,50,1,Adam
50,2.8468650270951912e-05,0.0,3.889384115165917e-05,0.004878049,64,50,0.01,50,50,2,Adam
50,3.785643639275804e-05,0.0,5.196510610403493e-05,0.004878049,64,50,0.01,50,70,1,Adam
50,5.7099601690424606e-05,0.0,4.8791813144528464e-05,0.004878049,64,50,0.01,50,70,2,Adam
50,5.000081000616774e-05,0.0,4.972034230155348e-05,0.004878049,64,50,0.01,70,30,1,Adam
50,0.00015436820103786886,0.0,5.688079021993184e-05,0.004878049,64,50,0.01,70,30,2,Adam
50,5.66022536077071e-05,0.0,5.597375315030548e-05,0.004878049,64,50,0.01,70,50,1,Adam
50,2.9814953450113535e-05,0.0,4.458410076040309e-05,0.004878049,64,50,0.01,70,50,2,Adam
50,3.8890062569407746e-05,0.0,4.0792253542061124e-05,0.004878049,64,50,0.01,70,70,1,Adam
50,4.527653072727844e-05,0.0,4.6851022950538276e-05,0.004878049,64,50,0.01,70,70,2,Adam
50,0.0010546909179538488,0.0,0.0012982818400260152,0.004878049,64,50,0.001,30,30,1,Adam
50,0.0013859960017725825,0.0,0.000910795078805943,0.004878049,64,50,0.001,30,30,2,Adam
50,0.00012518932635430247,0.0,0.0005072091623754581,0.004878049,64,50,0.001,30,50,1,Adam
