round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
50,0.00036499384441412985,0.0,0.00013879581127944175,0.004854369,64,50,0.1,30,30,1,Adam
50,4.624424400390126e-05,0.0,9.105201766518786e-05,0.004854369,64,50,0.1,30,30,2,Adam
50,0.0010516706388443708,0.0,0.0003250519572971931,0.004854369,64,50,0.1,30,50,1,Adam
50,0.00010678649414330721,0.0,0.0001548626744109251,0.004854369,64,50,0.1,30,50,2,Adam
50,0.000788878824096173,0.0,0.00022195469027439367,0.004854369,64,50,0.1,50,30,1,Adam
50,0.0002966931206174195,0.0,7.819820576046765e-05,0.004854369,64,50,0.1,50,30,2,Adam
50,0.014227551408112049,0.0,0.0035903699881424315,0.004854369,64,50,0.1,50,50,1,Adam
50,0.0012350862380117178,0.0,0.00031067343788714264,0.004854369,64,50,0.1,50,50,2,Adam
50,3.9007722079986706e-05,0.0,2.850465276883237e-05,0.004854369,64,50,0.01,30,30,1,Adam
50,3.068119622184895e-05,0.0,4.761023899722275e-05,0.004854369,64,50,0.01,30,30,2,Adam
50,0.00010053526057163253,0.0,4.475547693889064e-05,0.004854369,64,50,0.01,30,50,1,Adam
50,1.2616394087672234e-05,0.0,3.765474494040302e-05,0.004854369,64,50,0.01,30,50,2,Adam
50,1.1901272046088707e-05,0.0,2.9321122303937373e-05,0.004854369,64,50,0.01,50,30,1,Adam
50,3.831980939139612e-05,0.0,2.8578993620718852e-05,0.004854369,64,50,0.01,50,30,2,Adam
50,1.9269024051027372e-05,0.0,3.609732310491099e-05,0.004854369,64,50,0.01,50,50,1,Adam
50,6.638059858232737e-06,0.0,3.0864896579816244e-05,0.004854369,64,50,0.01,50,50,2,Adam
50,0.0019483413780108094,0.0,0.001057211266156937,0.004854369,64,50,0.001,30,30,1,Adam
50,0.00100512127391994,0.0,0.0008321292664475956,0.004854369,64,50,0.001,30,30,2,Adam
50,0.0014624504838138819,0.0,0.0011667363555848743,0.004854369,64,50,0.001,30,50,1,Adam
50,0.0012139418395236135,0.0,0.0007962042830875415,0.004854369,64,50,0.001,30,50,2,Adam
50,0.0013180822134017944,0.0,0.0006199982186815548,0.004854369,64,50,0.001,50,30,1,Adam
50,0.000681116187479347,0.0,0.0005886595525543738,0.004854369,64,50,0.001,50,30,2,Adam
50,0.0007600843673571944,0.0,0.00041008002810786,0.004854369,64,50,0.001,50,50,1,Adam
50,0.0005901817348785698,0.0,0.000644607559294051,0.004854369,64,50,0.001,50,50,2,Adam
80,0.0009483971516601741,0.0,8.438550245505079e-05,0.004854369,64,80,0.1,30,30,1,Adam
80,1.0944973837467842e-05,0.0,0.0002574190525371961,0.004854369,64,80,0.1,30,30,2,Adam
80,0.000326338253216818,0.0,7.484431113783288e-05,0.004854369,64,80,0.1,30,50,1,Adam
80,0.00015013248776085675,0.0,0.00046819733575583227,0.004854369,64,80,0.1,30,50,2,Adam
80,0.00047906016698107123,0.0,6.994601631270342e-05,0.004854369,64,80,0.1,50,30,1,Adam
80,0.0011478386586531997,0.0,0.0002863436815265602,0.004854369,64,80,0.1,50,30,2,Adam
80,0.0007968853460624814,0.0,7.37421226589398e-05,0.004854369,64,80,0.1,50,50,1,Adam
80,0.00047814156278036535,0.0,3.0249044392653515e-05,0.004854369,64,80,0.1,50,50,2,Adam
80,1.9614719349192455e-05,0.0,2.508721291695075e-05,0.004854369,64,80,0.01,30,30,1,Adam
80,7.216034282464534e-05,0.0,3.767313460539122e-05,0.004854369,64,80,0.01,30,30,2,Adam
80,3.756643127417192e-05,0.0,1.920952836901528e-05,0.004854369,64,80,0.01,30,50,1,Adam
80,2.0883102479274385e-05,0.0,3.605459105264106e-05,0.004854369,64,80,0.01,30,50,2,Adam
80,1.0369445590185933e-05,0.0,1.4614074158107012e-05,0.004854369,64,80,0.01,50,30,1,Adam
80,3.26511035382282e-05,0.0,1.8321688082668188e-05,0.004854369,64,80,0.01,50,30,2,Adam
80,1.5510619050473906e-05,0.0,1.8377822643124445e-05,0.004854369,64,80,0.01,50,50,1,Adam
80,2.146079896192532e-05,0.0,1.6990036474630118e-05,0.004854369,64,80,0.01,50,50,2,Adam
80,0.00045690234401263297,0.0,0.00038721815098610534,0.004854369,64,80,0.001,30,30,1,Adam
80,0.00044143758714199066,0.0,0.00047750523564229423,0.004854369,64,80,0.001,30,30,2,Adam
80,0.00014602445298805833,0.0,0.0002912226151697591,0.004854369,64,80,0.001,30,50,1,Adam
80,0.000341449718689546,0.0,0.000348286933516541,0.004854369,64,80,0.001,30,50,2,Adam
80,0.00042044915608130395,0.0,0.000399735712421407,0.004854369,64,80,0.001,50,30,1,Adam
80,7.314737013075501e-05,0.0,0.0002498775171720676,0.004854369,64,80,0.001,50,30,2,Adam
80,0.0001001579366857186,0.0,0.00016021150069930637,0.004854369,64,80,0.001,50,50,1,Adam
80,6.350329203996807e-05,0.0,0.00020560692234000968,0.004854369,64,80,0.001,50,50,2,Adam
50,0.002494421321898699,0.0,0.0005194567544024113,0.004854369,128,50,0.1,30,30,1,Adam
50,4.77936482639052e-05,0.0,0.00017550279365432023,0.004854369,128,50,0.1,30,30,2,Adam
50,0.0075304871425032616,0.0,0.0036602314737923807,0.004854369,128,50,0.1,30,50,1,Adam
50,0.00653429701924324,0.0,0.0013115910385979466,0.004854369,128,50,0.1,30,50,2,Adam
50,0.00981020089238882,0.0,0.00245409111438084,0.004854369,128,50,0.1,50,30,1,Adam
50,0.0005314395530149341,0.0,0.0006020004489205922,0.004854369,128,50,0.1,50,30,2,Adam
50,0.014696205034852028,0.0,0.005907120716586275,0.004854369,128,50,0.1,50,50,1,Adam
50,0.048384763300418854,0.0,0.022361626631571253,0.0,128,50,0.1,50,50,2,Adam
50,0.0012715284246951342,0.0,0.0006256680670013488,0.004854369,128,50,0.01,30,30,1,Adam
50,0.001324809854850173,0.0,0.0004056994531990834,0.004854369,128,50,0.01,30,30,2,Adam
50,0.0011557568795979023,0.0,0.0002967699668799681,0.004854369,128,50,0.01,30,50,1,Adam
50,0.0005988324992358685,0.0,0.0003611628224426718,0.004854369,128,50,0.01,30,50,2,Adam
50,0.00013522992958314717,0.0,0.00011833522862130866,0.004854369,128,50,0.01,50,30,1,Adam
50,0.00030479906126856804,0.0,0.00023371947265808806,0.004854369,128,50,0.01,50,30,2,Adam
50,0.000865036272443831,0.0,0.0003964584868952849,0.004854369,128,50,0.01,50,50,1,Adam
50,0.0006695657502859831,0.0,0.00026821060141761,0.004854369,128,50,0.01,50,50,2,Adam
50,0.0036228846292942762,0.0,0.0023733722927609404,0.004854369,128,50,0.001,30,30,1,Adam
50,0.0034207992721349,0.0,0.0024016167475724394,0.004854369,128,50,0.001,30,30,2,Adam
50,0.008775418624281883,0.0,0.005030414125728376,0.004854369,128,50,0.001,30,50,1,Adam
50,0.005146306939423084,0.0,0.0033474085893192627,0.004854369,128,50,0.001,30,50,2,Adam
50,0.003432548837736249,0.0,0.001183592046394004,0.004854369,128,50,0.001,50,30,1,Adam
50,0.004872261546552181,0.0,0.002619305119207762,0.004854369,128,50,0.001,50,30,2,Adam
50,0.0027613684069365263,0.0,0.0026331937315792423,0.004854369,128,50,0.001,50,50,1,Adam
50,0.0036713567096740007,0.0,0.002415927160911045,0.004854369,128,50,0.001,50,50,2,Adam
80,0.014955458231270313,0.0,0.002700175576870447,0.004854369,128,80,0.1,30,30,1,Adam
80,0.0001228793989866972,0.0,0.00010344632734540054,0.004854369,128,80,0.1,30,30,2,Adam
80,0.000437973445514217,0.0,8.885975157417068e-05,0.004854369,128,80,0.1,30,50,1,Adam
80,0.0001398006861563772,0.0,8.751613410637326e-05,0.004854369,128,80,0.1,30,50,2,Adam
80,0.007052024360746145,0.0,0.0018382496370038795,0.004854369,128,80,0.1,50,30,1,Adam
80,0.0009601876372471452,0.0,0.0004353237692131073,0.004854369,128,80,0.1,50,30,2,Adam
80,0.024818003177642822,0.0,0.007129698078536872,0.004854369,128,80,0.1,50,50,1,Adam
80,0.0009806787129491568,0.0,0.00039144320971811717,0.004854369,128,80,0.1,50,50,2,Adam
80,4.986642306903377e-05,0.0,6.709551125469852e-05,0.004854369,128,80,0.01,30,30,1,Adam
80,5.439371307147667e-05,0.0,5.9890725291887914e-05,0.004854369,128,80,0.01,30,30,2,Adam
80,7.645270670764148e-05,0.0,6.182014829709729e-05,0.004854369,128,80,0.01,30,50,1,Adam
80,1.8909877326223068e-05,0.0,7.640281610204432e-05,0.004854369,128,80,0.01,30,50,2,Adam
80,2.4350147214136086e-05,0.0,3.324505864265058e-05,0.004854369,128,80,0.01,50,30,1,Adam
80,3.85026287403889e-05,0.0,4.275216840309864e-05,0.004854369,128,80,0.01,50,30,2,Adam
80,5.443885311251506e-05,0.0,8.519889009230346e-05,0.004854369,128,80,0.01,50,50,1,Adam
80,1.907279875013046e-05,0.0,4.4024975527331086e-05,0.004854369,128,80,0.01,50,50,2,Adam
80,0.0013819641899317503,0.0,0.001181281541329492,0.004854369,128,80,0.001,30,30,1,Adam
80,0.0009657148038968444,0.0,0.0007571868479220215,0.004854369,128,80,0.001,30,30,2,Adam
80,0.003178472863510251,0.0,0.0015227233943556553,0.004854369,128,80,0.001,30,50,1,Adam
80,0.0019049232359975576,0.0,0.0010350973280915286,0.004854369,128,80,0.001,30,50,2,Adam
80,0.0018083332106471062,0.0,0.0010177176315744308,0.004854369,128,80,0.001,50,30,1,Adam
80,0.0016548389103263617,0.0,0.0010993757694326702,0.004854369,128,80,0.001,50,30,2,Adam
80,0.001875167479738593,0.0,0.0010817587461539554,0.004854369,128,80,0.001,50,50,1,Adam
80,0.000856829050462693,0.0,0.0007655556060518454,0.004854369,128,80,0.001,50,50,2,Adam
