round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
50,9.101679461309686e-05,0.0,0.00014159929589368402,0.01,64,50,0.1,30,30,1,Adam
50,0.00012343344860710204,0.0,9.166984615148977e-05,0.01,64,50,0.1,30,30,2,Adam
50,5.125731695443392e-05,0.0,0.00019910052767954767,0.01,64,50,0.1,30,50,1,Adam
50,2.8077785827917978e-05,0.0,6.118875200627371e-05,0.01,64,50,0.1,30,50,2,Adam
50,9.448564378544688e-05,0.0,0.0004730215319432318,0.01,64,50,0.1,50,30,1,Adam
50,3.5538014344638214e-05,0.0,0.0002245420790859498,0.01,64,50,0.1,50,30,2,Adam
50,0.0009735324420034885,0.0,0.0002722989991889335,0.01,64,50,0.1,50,50,1,Adam
50,0.0009197859326377511,0.0,0.0004926474392414093,0.01,64,50,0.1,50,50,2,Adam
50,0.00010271187784383073,0.0,5.43694787484128e-05,0.01,64,50,0.01,30,30,1,Adam
50,0.00012875412357971072,0.0,7.240458973683416e-05,0.01,64,50,0.01,30,30,2,Adam
50,1.7355283489450812e-05,0.0,5.960086185950786e-05,0.01,64,50,0.01,30,50,1,Adam
50,0.00012240020441822708,0.0,4.85190434847027e-05,0.01,64,50,0.01,30,50,2,Adam
50,8.530880222679116e-06,0.0,0.00010400463128462434,0.01,64,50,0.01,50,30,1,Adam
50,0.00010363266483182088,0.0,5.0090641561837404e-05,0.01,64,50,0.01,50,30,2,Adam
50,6.0525933804456145e-05,0.0,5.1050047914031894e-05,0.01,64,50,0.01,50,50,1,Adam
50,7.388721860479563e-05,0.0,4.0580856730230156e-05,0.01,64,50,0.01,50,50,2,Adam
50,0.0005985039751976728,0.0,0.0021058557601645587,0.01,64,50,0.001,30,30,1,Adam
50,0.00012226025864947587,0.0,0.0023874690616503356,0.01,64,50,0.001,30,30,2,Adam
50,0.0007758462452329695,0.0,0.0024554863572120666,0.01,64,50,0.001,30,50,1,Adam
50,0.00014898678637109697,0.0,0.0015607472916599364,0.01,64,50,0.001,30,50,2,Adam
50,0.0002761750656645745,0.0,0.0014269209676422178,0.01,64,50,0.001,50,30,1,Adam
50,0.00021945592015981674,0.0,0.0016311568766832353,0.01,64,50,0.001,50,30,2,Adam
50,0.0005496717640198767,0.0,0.001620661560446024,0.01,64,50,0.001,50,50,1,Adam
50,0.00013002411287743598,0.0,0.0012515278765931725,0.01,64,50,0.001,50,50,2,Adam
80,8.644385161460377e-06,0.0,5.4039580863900486e-05,0.01,64,80,0.1,30,30,1,Adam
80,0.0002021529508056119,0.0,4.782118630828336e-05,0.01,64,80,0.1,30,30,2,Adam
80,1.5081655874382704e-05,0.0,4.683872015448287e-05,0.01,64,80,0.1,30,50,1,Adam
80,4.715372597274836e-06,0.0,6.735070259310305e-05,0.01,64,80,0.1,30,50,2,Adam
80,0.00018029811326414347,0.0,0.0002029908999975305,0.01,64,80,0.1,50,30,1,Adam
80,5.74899822822772e-05,0.0,5.1970327622257176e-05,0.01,64,80,0.1,50,30,2,Adam
80,0.0002698352618608624,0.0,0.0004742980864830315,0.01,64,80,0.1,50,50,1,Adam
80,1.5346897271228954e-05,0.0,9.990205522626638e-05,0.01,64,80,0.1,50,50,2,Adam
80,9.754281200002879e-05,0.0,3.52486020710785e-05,0.01,64,80,0.01,30,30,1,Adam
80,9.688970749266446e-05,0.0,4.2472624918445946e-05,0.01,64,80,0.01,30,30,2,Adam
80,9.096112626139075e-05,0.0,4.920982348266989e-05,0.01,64,80,0.01,30,50,1,Adam
80,0.0001619666290935129,0.0,4.832786798942834e-05,0.01,64,80,0.01,30,50,2,Adam
80,2.479804061294999e-05,0.0,2.9866017357562668e-05,0.01,64,80,0.01,50,30,1,Adam
80,3.6667050153482705e-05,0.0,3.7535261908487884e-05,0.01,64,80,0.01,50,30,2,Adam
80,2.1555508283199742e-05,0.0,3.40414245147258e-05,0.01,64,80,0.01,50,50,1,Adam
80,3.7276589864632115e-05,0.0,3.3359776571160184e-05,0.01,64,80,0.01,50,50,2,Adam
80,0.00017109562759287655,0.0,0.0010932438168674708,0.01,64,80,0.001,30,30,1,Adam
80,7.682677824050188e-05,0.0,0.0008337188768200576,0.01,64,80,0.001,30,30,2,Adam
80,0.0005382481031119823,0.0,0.0016402347013354302,0.01,64,80,0.001,30,50,1,Adam
80,3.64168627129402e-05,0.0,0.0006644205795601011,0.01,64,80,0.001,30,50,2,Adam
80,0.00020518191740848124,0.0,0.0008073107618838548,0.01,64,80,0.001,50,30,1,Adam
80,3.312229455332272e-05,0.0,0.000609437245875597,0.01,64,80,0.001,50,30,2,Adam
80,0.0002169302897527814,0.0,0.0006974552432075143,0.01,64,80,0.001,50,50,1,Adam
80,4.8680452891858295e-05,0.0,0.0006220482592470944,0.01,64,80,0.001,50,50,2,Adam
50,0.000430907413829118,0.0,0.0003180951392278075,0.01,128,50,0.1,30,30,1,Adam
50,1.921006969496375e-06,0.0,0.00016125715395901352,0.01,128,50,0.1,30,30,2,Adam
50,4.430608169059269e-05,0.0,0.0011643732665106653,0.01,128,50,0.1,30,50,1,Adam
50,1.7615959222894162e-05,0.0,0.00013546054222388193,0.01,128,50,0.1,30,50,2,Adam
50,0.001956363907083869,0.0,0.005524642411619425,0.01,128,50,0.1,50,30,1,Adam
50,0.001286806771531701,0.0,0.0008622307726182044,0.01,128,50,0.1,50,30,2,Adam
50,0.0007938602939248085,0.0,0.0005178326671011746,0.01,128,50,0.1,50,50,1,Adam
50,4.2192790715489537e-05,0.0,0.0012706647114828229,0.01,128,50,0.1,50,50,2,Adam
50,2.280001535837073e-05,0.0,0.00020119814376812428,0.01,128,50,0.01,30,30,1,Adam
50,3.423483940423466e-05,0.0,0.000365079800831154,0.01,128,50,0.01,30,30,2,Adam
50,0.00011625946353888139,0.0,0.00046189693035557865,0.01,128,50,0.01,30,50,1,Adam
50,9.133915227721445e-06,0.0,0.00012737184879370035,0.01,128,50,0.01,30,50,2,Adam
