round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
20,4.3318679672665894e-05,0.0,0.0006615767220500856,0.01,64,20,0.1,30,30,30,1,Adam
20,0.00028722520801238716,0.0,0.0003071378287859261,0.01,64,20,0.1,30,30,30,2,Adam
20,0.00015230642748065293,0.0,0.0011148158507421613,0.01,64,20,0.1,30,30,50,1,Adam
20,2.126464096363634e-05,0.0,0.0006186179193900898,0.01,64,20,0.1,30,30,50,2,Adam
20,0.0021117038559168577,0.0,0.0016693264152854682,0.01,64,20,0.1,30,30,70,1,Adam
20,7.355472007475328e-06,0.0,0.0026454676035791635,0.01,64,20,0.1,30,30,70,2,Adam
20,0.0011101452400907874,0.0,0.0020363712962716816,0.01,64,20,0.1,30,50,30,1,Adam
20,8.23761583887972e-05,0.0,0.000531102973036468,0.01,64,20,0.1,30,50,30,2,Adam
20,0.0003550720284692943,0.0,0.0008957858150824904,0.01,64,20,0.1,30,50,50,1,Adam
20,0.0002504755393601954,0.0,0.000858528995886445,0.01,64,20,0.1,30,50,50,2,Adam
20,0.0001900479692267254,0.0,0.0010276881931349634,0.01,64,20,0.1,30,50,70,1,Adam
20,2.4597084120614454e-05,0.0,0.0013407345162704588,0.01,64,20,0.1,30,50,70,2,Adam
20,0.0002516068343538791,0.0,0.0013091846974566579,0.01,64,20,0.1,30,70,30,1,Adam
20,0.00010579430090729147,0.0,0.000763254202902317,0.01,64,20,0.1,30,70,30,2,Adam
20,0.0005309992702677846,0.0,0.0012839500047266484,0.01,64,20,0.1,30,70,50,1,Adam
20,0.00038113349000923336,0.0,0.0007883818401023746,0.01,64,20,0.1,30,70,50,2,Adam
20,0.00024400388065259904,0.0,0.0018379325047135353,0.01,64,20,0.1,30,70,70,1,Adam
20,3.393161023268476e-05,0.0,0.0005697066965512931,0.01,64,20,0.1,30,70,70,2,Adam
20,0.0031324769370257854,0.0,0.004125086143612861,0.01,64,20,0.1,50,30,30,1,Adam
20,0.00026631398941390216,0.0,0.0008804525760933757,0.01,64,20,0.1,50,30,30,2,Adam
20,0.0004929618444293737,0.0,0.0009837676910683512,0.01,64,20,0.1,50,30,50,1,Adam
20,0.000561548862606287,0.0,0.000476327498909086,0.01,64,20,0.1,50,30,50,2,Adam
20,0.0004124536644667387,0.0,0.0012967623467557133,0.01,64,20,0.1,50,30,70,1,Adam
20,0.0008011109312064946,0.0,0.002910864586010575,0.01,64,20,0.1,50,30,70,2,Adam
20,0.0008610958466306329,0.0,0.0014682043087668717,0.01,64,20,0.1,50,50,30,1,Adam
20,5.407257776823826e-05,0.0,0.002011860916391015,0.01,64,20,0.1,50,50,30,2,Adam
20,0.00021508955978788435,0.0,0.0010019905306398868,0.01,64,20,0.1,50,50,50,1,Adam
20,0.00011379818897694349,0.0,0.0005567850335501134,0.01,64,20,0.1,50,50,50,2,Adam
20,0.00019064245861954987,0.0,0.0010528781916946174,0.01,64,20,0.1,50,50,70,1,Adam
20,0.0018936207052320242,0.0,0.0007705067307688296,0.01,64,20,0.1,50,50,70,2,Adam
20,0.00020318148017395288,0.0,0.0029582470655441285,0.01,64,20,0.1,50,70,30,1,Adam
20,0.00016505568055436015,0.0,0.0015696166083216667,0.01,64,20,0.1,50,70,30,2,Adam
20,2.9256194466142915e-05,0.0,0.0006532029900699854,0.01,64,20,0.1,50,70,50,1,Adam
20,0.0018355397041887045,0.0,0.0015902910428121685,0.01,64,20,0.1,50,70,50,2,Adam
20,0.00018049849313683808,0.0,0.000705003933981061,0.01,64,20,0.1,50,70,70,1,Adam
20,3.6803900002269074e-05,0.0,0.0010769091872498394,0.01,64,20,0.1,50,70,70,2,Adam
20,0.00016660081746522337,0.0,0.0005671340355183929,0.01,64,20,0.1,70,30,30,1,Adam
20,0.003737187013030052,0.0,0.0017603108193725348,0.01,64,20,0.1,70,30,30,2,Adam
20,0.000828841351903975,0.0,0.002873264215886593,0.01,64,20,0.1,70,30,50,1,Adam
20,0.003232792718335986,0.0,0.0030506407283246518,0.01,64,20,0.1,70,30,50,2,Adam
20,0.0015591548290103674,0.0,0.0012230371258192462,0.01,64,20,0.1,70,30,70,1,Adam
20,0.0005209140363149345,0.0,0.00122449466958642,0.01,64,20,0.1,70,30,70,2,Adam
20,0.004170744679868221,0.0,0.005022868663072586,0.01,64,20,0.1,70,50,30,1,Adam
20,0.00013796670828014612,0.0,0.0009674963261932135,0.01,64,20,0.1,70,50,30,2,Adam
20,0.0012031892547383904,0.0,0.004672314655035734,0.01,64,20,0.1,70,50,50,1,Adam
20,0.00028035754803568125,0.0,0.000338516163174063,0.01,64,20,0.1,70,50,50,2,Adam
20,4.569794782582903e-06,0.0,0.0020102278122794814,0.01,64,20,0.1,70,50,70,1,Adam
20,2.1410322005976923e-05,0.0,0.0010123564768582582,0.01,64,20,0.1,70,50,70,2,Adam
20,0.0010299601126462221,0.0,0.0018270193040370942,0.01,64,20,0.1,70,70,30,1,Adam
20,0.00018099838052876294,0.0,0.0034587330743670462,0.01,64,20,0.1,70,70,30,2,Adam
20,0.02797487936913967,0.0,0.06782500475645065,0.0,64,20,0.1,70,70,50,1,Adam
20,9.604697697795928e-05,0.0,0.0014619745919480919,0.01,64,20,0.1,70,70,50,2,Adam
20,2.9948301744298078e-05,0.0,0.0006459546461701393,0.01,64,20,0.1,70,70,70,1,Adam
20,0.004085804335772991,0.0,0.003798178918659687,0.01,64,20,0.1,70,70,70,2,Adam
20,0.00045375581248663366,0.0,0.0013014519959688186,0.01,64,20,0.01,30,30,30,1,Adam
20,9.290788875659928e-05,0.0,0.0014975998550653459,0.01,64,20,0.01,30,30,30,2,Adam
20,0.0013083569938316941,0.0,0.0011160556180402636,0.01,64,20,0.01,30,30,50,1,Adam
20,0.0002737763861659914,0.0,0.0015960148605518043,0.01,64,20,0.01,30,30,50,2,Adam
20,0.00021846681192982942,0.0,0.001608120333403349,0.01,64,20,0.01,30,30,70,1,Adam
20,0.0010920942295342684,0.0,0.0011877289600670338,0.01,64,20,0.01,30,30,70,2,Adam
20,0.001054926891811192,0.0,0.0014904812630265952,0.01,64,20,0.01,30,50,30,1,Adam
20,0.0009267850546166301,0.0,0.0014750520326197148,0.01,64,20,0.01,30,50,30,2,Adam
20,0.00043631772859953344,0.0,0.0013197857525665312,0.01,64,20,0.01,30,50,50,1,Adam
20,0.0010184106649830937,0.0,0.0012003511236980558,0.01,64,20,0.01,30,50,50,2,Adam
20,2.240801404695958e-05,0.0,0.0012387084495276213,0.01,64,20,0.01,30,50,70,1,Adam
20,9.372495696879923e-05,0.0,0.0012227343954145909,0.01,64,20,0.01,30,50,70,2,Adam
20,0.0010519491042941809,0.0,0.0013088330952450633,0.01,64,20,0.01,30,70,30,1,Adam
20,7.382520561804995e-05,0.0,0.0008368785213679075,0.01,64,20,0.01,30,70,30,2,Adam
20,0.0013511874713003635,0.0,0.001593474829569459,0.01,64,20,0.01,30,70,50,1,Adam
20,0.000312737247440964,0.0,0.0012555749900639056,0.01,64,20,0.01,30,70,50,2,Adam
20,0.0016138221835717559,0.0,0.0013054702896624804,0.01,64,20,0.01,30,70,70,1,Adam
20,0.0005838445504195988,0.0,0.0013969850540161133,0.01,64,20,0.01,30,70,70,2,Adam
20,0.0008594215614721179,0.0,0.0013445550808683037,0.01,64,20,0.01,50,30,30,1,Adam
20,0.0007889995467849076,0.0,0.001337749967351556,0.01,64,20,0.01,50,30,30,2,Adam
20,0.0023557241074740887,0.0,0.001197351422160864,0.01,64,20,0.01,50,30,50,1,Adam
20,0.000518631306476891,0.0,0.0009014724235748872,0.01,64,20,0.01,50,30,50,2,Adam
20,0.0003427803167141974,0.0,0.0012184066884219646,0.01,64,20,0.01,50,30,70,1,Adam
20,0.00026006350526586175,0.0,0.0010815181722864508,0.01,64,20,0.01,50,30,70,2,Adam
20,0.00020060129463672638,0.0,0.0013033085223287345,0.01,64,20,0.01,50,50,30,1,Adam
20,0.0010499206837266684,0.0,0.0015015942603349686,0.01,64,20,0.01,50,50,30,2,Adam
20,0.0005267352098599076,0.0,0.0010541640489827842,0.01,64,20,0.01,50,50,50,1,Adam
20,0.000192376843187958,0.0,0.0010555719397962093,0.01,64,20,0.01,50,50,50,2,Adam
20,0.0007061461801640689,0.0,0.0011021496029570699,0.01,64,20,0.01,50,50,70,1,Adam
20,3.2766114600235596e-05,0.0,0.001193334312411025,0.01,64,20,0.01,50,50,70,2,Adam
20,0.0007718390552327037,0.0,0.0014321523159742356,0.01,64,20,0.01,50,70,30,1,Adam
20,8.628384966868907e-05,0.0,0.0007312167435884476,0.01,64,20,0.01,50,70,30,2,Adam
20,0.00023283177870325744,0.0,0.0012525225337594748,0.01,64,20,0.01,50,70,50,1,Adam
20,0.0012272640597075224,0.0,0.002650030362419784,0.01,64,20,0.01,50,70,50,2,Adam
20,0.0025151357986032963,0.0,0.001330333286896348,0.01,64,20,0.01,50,70,70,1,Adam
20,0.0005511298659257591,0.0,0.0009996559598948807,0.01,64,20,0.01,50,70,70,2,Adam
20,0.0002900340186897665,0.0,0.0016027408698573709,0.01,64,20,0.01,70,30,30,1,Adam
20,0.0002402169193373993,0.0,0.0008438320923596621,0.01,64,20,0.01,70,30,30,2,Adam
20,0.0002379028155701235,0.0,0.0012459297291934491,0.01,64,20,0.01,70,30,50,1,Adam
20,9.378478716826066e-05,0.0,0.0007112604787107557,0.01,64,20,0.01,70,30,50,2,Adam
20,0.0008784806123003364,0.0,0.0013508521486073732,0.01,64,20,0.01,70,30,70,1,Adam
20,0.001572103938087821,0.0,0.0015511967474594712,0.01,64,20,0.01,70,30,70,2,Adam
20,0.0013514861930161715,0.0,0.001498559124302119,0.01,64,20,0.01,70,50,30,1,Adam
20,0.00016118270286824554,0.0,0.000938832804095,0.01,64,20,0.01,70,50,30,2,Adam
20,0.000418295239796862,0.0,0.0012533969711512327,0.01,64,20,0.01,70,50,50,1,Adam
20,0.0002526228781789541,0.0,0.0011398372147232293,0.01,64,20,0.01,70,50,50,2,Adam
20,0.0005392449093051255,0.0,0.0012575464323163032,0.01,64,20,0.01,70,50,70,1,Adam
20,0.0009675637120380998,0.0,0.0012204564921557903,0.01,64,20,0.01,70,50,70,2,Adam
20,0.0004915500758215785,0.0,0.001376149896532297,0.01,64,20,0.01,70,70,30,1,Adam
20,0.00028258151724003255,0.0,0.000991001424845308,0.01,64,20,0.01,70,70,30,2,Adam
20,0.000561161432415247,0.0,0.0012153280433267355,0.01,64,20,0.01,70,70,50,1,Adam
20,0.0004058260819874704,0.0,0.0009541588462889195,0.01,64,20,0.01,70,70,50,2,Adam
20,0.0003923486510757357,0.0,0.0012956381076946854,0.01,64,20,0.01,70,70,70,1,Adam
20,9.412613871973008e-05,0.0,0.0009002033178694546,0.01,64,20,0.01,70,70,70,2,Adam
20,0.025427792221307755,0.0,0.03750072538852692,0.01,64,20,0.001,30,30,30,1,Adam
20,0.024028684943914413,0.0,0.035513541400432586,0.01,64,20,0.001,30,30,30,2,Adam
