round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
20,0.012048146687448025,0.0,0.002225526321253077,0.0049751243,64,20,0.1,30,30,30,1,Adam
20,0.0011432250030338764,0.0,0.0007019495158294096,0.0049751243,64,20,0.1,30,30,30,2,Adam
20,0.0007733533275313675,0.0,0.0008830673157455242,0.0049751243,64,20,0.1,30,30,50,1,Adam
20,0.0005575938266701996,0.0,0.0004525560273473795,0.0049751243,64,20,0.1,30,30,50,2,Adam
20,0.00014133143122307956,0.0,0.0006726646890854509,0.0049751243,64,20,0.1,30,30,70,1,Adam
20,0.000277543964330107,0.0,0.0014616244496309676,0.0049751243,64,20,0.1,30,30,70,2,Adam
20,0.00027174167917110026,0.0,0.0008944192186255119,0.0049751243,64,20,0.1,30,50,30,1,Adam
20,0.0021642050705850124,0.0,0.0007607392778223965,0.0049751243,64,20,0.1,30,50,30,2,Adam
20,0.0007668574107810855,0.0,0.0010993514038837836,0.0049751243,64,20,0.1,30,50,50,1,Adam
20,0.000308196380501613,0.0,0.001042571694900592,0.0049751243,64,20,0.1,30,50,50,2,Adam
20,0.00012657475599553436,0.0,0.000856153413291965,0.0049751243,64,20,0.1,30,50,70,1,Adam
20,0.0032872124575078487,0.0,0.00147984733582655,0.0049751243,64,20,0.1,30,50,70,2,Adam
20,0.0005396673805080354,0.0,0.00047175342142373434,0.0049751243,64,20,0.1,30,70,30,1,Adam
20,0.0005104206502437592,0.0,0.0005814453461832964,0.0049751243,64,20,0.1,30,70,30,2,Adam
20,0.0006145375082269311,0.0,0.0008466186119760132,0.0049751243,64,20,0.1,30,70,50,1,Adam
20,0.007481125649064779,0.0,0.003400546755173721,0.0049751243,64,20,0.1,30,70,50,2,Adam
20,0.002518724650144577,0.0,0.0011573088307869597,0.0049751243,64,20,0.1,30,70,70,1,Adam
20,0.0009902340825647116,0.0,0.0014875439645500102,0.0049751243,64,20,0.1,30,70,70,2,Adam
20,0.003780726809054613,0.0,0.0016264772750390925,0.0049751243,64,20,0.1,50,30,30,1,Adam
