round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
50,0.031403861939907074,0.0,0.001873643561684264,0.0051282053,64,50,0.1,30,30,1,Adam
50,0.000521184760145843,0.0,4.032200938523508e-05,0.0051282053,64,50,0.1,30,30,2,Adam
50,0.01320656854659319,0.0,0.0005105274023476224,0.0051282053,64,50,0.1,30,50,1,Adam
50,0.0002903520653489977,0.0,4.62160046504906e-05,0.0051282053,64,50,0.1,30,50,2,Adam
50,0.012668569572269917,0.0,0.0006020836412715606,0.0051282053,64,50,0.1,50,30,1,Adam
50,0.010902763344347477,0.0,0.0006212962634610729,0.0051282053,64,50,0.1,50,30,2,Adam
50,0.005157874431461096,0.0,0.00012501782850729516,0.0051282053,64,50,0.1,50,50,1,Adam
50,0.007682815194129944,0.0,0.0005262285667226817,0.0051282053,64,50,0.1,50,50,2,Adam
50,0.0001220892445417121,0.0,4.8549794827032694e-05,0.0051282053,64,50,0.01,30,30,1,Adam
50,0.00015600459300912917,0.0,5.267857921306784e-05,0.0051282053,64,50,0.01,30,30,2,Adam
50,0.00011080293916165829,0.0,6.199711090467201e-05,0.0051282053,64,50,0.01,30,50,1,Adam
50,0.00016507918189745396,0.0,7.201537772720584e-05,0.0051282053,64,50,0.01,30,50,2,Adam
50,2.0099483663216233e-05,0.0,3.7644713703253405e-05,0.0051282053,64,50,0.01,50,30,1,Adam
50,1.619394970475696e-05,0.0,5.387726999824503e-05,0.0051282053,64,50,0.01,50,30,2,Adam
50,1.4990390809543896e-05,0.0,6.943947716932505e-05,0.0051282053,64,50,0.01,50,50,1,Adam
50,0.00023532092745881528,0.0,5.4357636000555106e-05,0.0051282053,64,50,0.01,50,50,2,Adam
50,0.013016020879149437,0.0,0.001556324671046474,0.0051282053,64,50,0.001,30,30,1,Adam
50,0.0081755006685853,0.0,0.001132452929726778,0.0051282053,64,50,0.001,30,30,2,Adam
50,0.01739090122282505,0.0,0.00210010234791881,0.0051282053,64,50,0.001,30,50,1,Adam
50,0.0062202466651797295,0.0,0.000999417514182054,0.0051282053,64,50,0.001,30,50,2,Adam
50,0.010683625936508179,0.0,0.0010678691908908196,0.0051282053,64,50,0.001,50,30,1,Adam
50,0.0048697940073907375,0.0,0.0007418656457911055,0.0051282053,64,50,0.001,50,30,2,Adam
50,0.010155702941119671,0.0,0.001521565071426523,0.0051282053,64,50,0.001,50,50,1,Adam
50,0.0011645653285086155,0.0,0.00043815446223538273,0.0051282053,64,50,0.001,50,50,2,Adam
80,0.008834542706608772,0.0,0.00052812777665587,0.0051282053,64,80,0.1,30,30,1,Adam
80,0.0010512338485568762,0.0,2.045920615879974e-05,0.0051282053,64,80,0.1,30,30,2,Adam
80,0.002555451588705182,0.0,0.0002325457776933968,0.0051282053,64,80,0.1,30,50,1,Adam
80,0.001446094480343163,0.0,6.010931232221759e-05,0.0051282053,64,80,0.1,30,50,2,Adam
80,0.005621622316539288,0.0,0.0002637614457247158,0.0051282053,64,80,0.1,50,30,1,Adam
80,0.006029951386153698,0.0,0.00042190654442096366,0.0051282053,64,80,0.1,50,30,2,Adam
80,0.006682467646896839,0.0,0.00028871087467847154,0.0051282053,64,80,0.1,50,50,1,Adam
80,0.003481578780338168,0.0,0.0001926069163183013,0.0051282053,64,80,0.1,50,50,2,Adam
80,3.535502037266269e-05,0.0,1.3058884095092556e-05,0.0051282053,64,80,0.01,30,30,1,Adam
80,8.788134437054396e-05,0.0,3.7339007562527864e-05,0.0051282053,64,80,0.01,30,30,2,Adam
80,8.400636943406425e-06,0.0,1.2274791329102112e-05,0.0051282053,64,80,0.01,30,50,1,Adam
80,0.00018159439787268639,0.0,2.6648033770890415e-05,0.0051282053,64,80,0.01,30,50,2,Adam
80,9.423948540643323e-06,0.0,1.0261399312674678e-05,0.0051282053,64,80,0.01,50,30,1,Adam
80,7.900780474301428e-05,0.0,2.997986088396432e-05,0.0051282053,64,80,0.01,50,30,2,Adam
80,2.9881719001423335e-06,0.0,1.738158653796955e-05,0.0051282053,64,80,0.01,50,50,1,Adam
80,5.483508721226826e-05,0.0,2.757870662930938e-05,0.0051282053,64,80,0.01,50,50,2,Adam
80,0.0018869794439524412,0.0,0.0003983469935916125,0.0051282053,64,80,0.001,30,30,1,Adam
80,4.6132779971230775e-05,0.0,0.00027829897261630646,0.0051282053,64,80,0.001,30,30,2,Adam
80,0.002572340425103903,0.0,0.0005157350804298543,0.0051282053,64,80,0.001,30,50,1,Adam
80,2.332979602215346e-05,0.0,0.00021788632998672816,0.0051282053,64,80,0.001,30,50,2,Adam
80,0.0003095904248766601,0.0,0.0001396879758267926,0.0051282053,64,80,0.001,50,30,1,Adam
80,1.820792749640532e-05,0.0,0.00030022870222381196,0.0051282053,64,80,0.001,50,30,2,Adam
80,0.0024078169371932745,0.0,0.00039876307919024464,0.0051282053,64,80,0.001,50,50,1,Adam
80,0.00014688972441945225,0.0,0.00017304006999042124,0.0051282053,64,80,0.001,50,50,2,Adam
50,0.005866934545338154,0.0,0.00044429468838736797,0.0051282053,128,50,0.1,30,30,1,Adam
50,0.0006511832471005619,0.0,2.8083208533830773e-05,0.0051282053,128,50,0.1,30,30,2,Adam
50,0.003995717968791723,0.0,0.0001768750919160457,0.0051282053,128,50,0.1,30,50,1,Adam
50,1.6957772459136322e-05,0.0,7.193628269492481e-05,0.0051282053,128,50,0.1,30,50,2,Adam
50,0.10437454283237457,0.0,0.010956764679688674,0.0051282053,128,50,0.1,50,30,1,Adam
50,0.015847695991396904,0.0,0.0013250589887133966,0.0051282053,128,50,0.1,50,30,2,Adam
50,0.12818676233291626,0.0,0.01769667802712856,0.0051282053,128,50,0.1,50,50,1,Adam
50,0.03238426893949509,0.0,0.002715730850990766,0.0051282053,128,50,0.1,50,50,2,Adam
50,0.001359732123091817,0.0,0.0002420458876981567,0.0051282053,128,50,0.01,30,30,1,Adam
50,0.000250738812610507,0.0,0.00011612667029765315,0.0051282053,128,50,0.01,30,30,2,Adam
50,0.0010575701016932726,0.0,0.0002239631903835405,0.0051282053,128,50,0.01,30,50,1,Adam
50,0.00025411913520656526,0.0,0.00015784544595636617,0.0051282053,128,50,0.01,30,50,2,Adam
50,4.7201476263580844e-05,0.0,5.470299555991705e-05,0.0051282053,128,50,0.01,50,30,1,Adam
50,0.00027211487758904696,0.0,0.0001247369955914716,0.0051282053,128,50,0.01,50,30,2,Adam
50,0.0018562814220786095,0.0,0.0002482661652044417,0.0051282053,128,50,0.01,50,50,1,Adam
50,3.5166518500773236e-05,0.0,9.298969570618983e-05,0.0051282053,128,50,0.01,50,50,2,Adam
50,0.020161326974630356,0.0,0.0018930886794502537,0.0051282053,128,50,0.001,30,30,1,Adam
50,0.017268136143684387,0.0,0.002303382345976738,0.0051282053,128,50,0.001,30,30,2,Adam
50,0.0195737536996603,0.0,0.0018998656314439498,0.0051282053,128,50,0.001,30,50,1,Adam
50,0.022195177152752876,0.0,0.0028825436611301623,0.0051282053,128,50,0.001,30,50,2,Adam
