round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm_1_nodes,lstm_2_nodes,lstm_layers,optimizer
50,0.0005406038835644722,0.0,0.0012782897686776824,0.010256411,64,50,0.1,30,30,1,Adam
50,0.003460389794781804,0.0,0.0028160407804907897,0.010256411,64,50,0.1,30,30,2,Adam
50,0.0007155431085266173,0.0,0.0006128017366744386,0.010256411,64,50,0.1,30,50,1,Adam
50,0.00021099313744343817,0.0,0.001923765308963947,0.010256411,64,50,0.1,30,50,2,Adam
50,0.0015039552235975862,0.0,0.0006041593419817778,0.010256411,64,50,0.1,30,70,1,Adam
50,0.0004458632320165634,0.0,0.0012490400984787788,0.010256411,64,50,0.1,30,70,2,Adam
50,0.000761818781029433,0.0,0.0011427673896273168,0.010256411,64,50,0.1,50,30,1,Adam
50,0.00039931564242579043,0.0,0.0015443842255104428,0.010256411,64,50,0.1,50,30,2,Adam
50,0.0016548587009310722,0.0,0.001181448466825084,0.010256411,64,50,0.1,50,50,1,Adam
50,0.004319786559790373,0.0,0.001554511427037561,0.010256411,64,50,0.1,50,50,2,Adam
50,0.0028941635973751545,0.0,0.002546846465422557,0.010256411,64,50,0.1,50,70,1,Adam
50,0.0014182875165715814,0.0,0.0032887120778935077,0.010256411,64,50,0.1,50,70,2,Adam
50,0.0005977264372631907,0.0,0.0009515349312912291,0.010256411,64,50,0.1,70,30,1,Adam
50,0.00047701626317575574,0.0,0.0024625584349847393,0.010256411,64,50,0.1,70,30,2,Adam
50,0.0029519035015255213,0.0,0.0011235430144155636,0.010256411,64,50,0.1,70,50,1,Adam
50,0.0027353325858712196,0.0,0.006200648189928287,0.010256411,64,50,0.1,70,50,2,Adam
50,0.0008525520679540932,0.0,0.0009933500144726191,0.010256411,64,50,0.1,70,70,1,Adam
50,0.0009269140427932143,0.0,0.0014353085070466383,0.010256411,64,50,0.1,70,70,2,Adam
50,0.002149399369955063,0.0,0.0011116671367161848,0.010256411,64,50,0.01,30,30,1,Adam
50,0.0014311103150248528,0.0,0.001086141594285623,0.010256411,64,50,0.01,30,30,2,Adam
50,0.0008779622730799019,0.0,0.0008683833693234751,0.010256411,64,50,0.01,30,50,1,Adam
50,0.000960575242061168,0.0,0.0008645636817583672,0.010256411,64,50,0.01,30,50,2,Adam
50,0.0016219599638134241,0.0,0.0010788407030467612,0.010256411,64,50,0.01,30,70,1,Adam
50,0.001820193836465478,0.0,0.0008124974962228383,0.010256411,64,50,0.01,30,70,2,Adam
50,0.0011567818000912666,0.0,0.0008104668671969706,0.010256411,64,50,0.01,50,30,1,Adam
50,0.0014096528757363558,0.0,0.0009134449267712159,0.010256411,64,50,0.01,50,30,2,Adam
50,0.0015383248683065176,0.0,0.0009875332446730074,0.010256411,64,50,0.01,50,50,1,Adam
50,0.0007619422976858914,0.0,0.0008016382188846667,0.010256411,64,50,0.01,50,50,2,Adam
50,0.0018681343644857407,0.0,0.0012008755802153013,0.010256411,64,50,0.01,50,70,1,Adam
50,0.000942046579439193,0.0,0.0007818940740365248,0.010256411,64,50,0.01,50,70,2,Adam
50,0.0015783123672008514,0.0,0.0010043055822069828,0.010256411,64,50,0.01,70,30,1,Adam
50,0.0008699932368472219,0.0,0.0009894993771106387,0.010256411,64,50,0.01,70,30,2,Adam
50,0.0013124083634465933,0.0,0.0009115269100174116,0.010256411,64,50,0.01,70,50,1,Adam
50,0.0012792677152901888,0.0,0.0007707732625698181,0.010256411,64,50,0.01,70,50,2,Adam
50,0.0012658957857638597,0.0,0.0007693630841318876,0.010256411,64,50,0.01,70,70,1,Adam
