round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
30,0.06441392004489899,0.0,0.009505642066502201,0.005181347,64,30,0.1,30,30,30,1,Adam
30,0.3980162441730499,0.0,0.017309135937136767,0.005181347,64,30,0.1,30,30,30,2,Adam
30,0.40367111563682556,0.0,0.014909629123719709,0.005181347,64,30,0.1,30,30,50,1,Adam
30,0.43980541825294495,0.0,0.017454791235028154,0.005181347,64,30,0.1,30,30,50,2,Adam
30,0.045152075588703156,0.0,0.003980672766558266,0.005181347,64,30,0.1,30,30,70,1,Adam
30,0.7540909051895142,0.0,0.06834077713480267,0.005181347,64,30,0.1,30,30,70,2,Adam
30,0.051311176270246506,0.0,0.009219700190687427,0.005181347,64,30,0.1,30,50,30,1,Adam
30,0.4141206741333008,0.0,0.017020448241286328,0.005181347,64,30,0.1,30,50,30,2,Adam
30,0.042786769568920135,0.0,0.00652729056852778,0.005181347,64,30,0.1,30,50,50,1,Adam
30,0.4176197946071625,0.0,0.017066841849635313,0.005181347,64,30,0.1,30,50,50,2,Adam
30,0.3635329604148865,0.0,0.016082033128936055,0.005181347,64,30,0.1,30,50,70,1,Adam
30,0.7540912628173828,0.0,0.06834084305120873,0.005181347,64,30,0.1,30,50,70,2,Adam
30,0.08026643842458725,0.0,0.007524143774158905,0.005181347,64,30,0.1,30,70,30,1,Adam
30,0.41748175024986267,0.0,0.017008450401010754,0.005181347,64,30,0.1,30,70,30,2,Adam
30,0.38928142189979553,0.0,0.01714667774389445,0.005181347,64,30,0.1,30,70,50,1,Adam
30,0.7540912628173828,0.0,0.0683408457510791,0.005181347,64,30,0.1,30,70,50,2,Adam
30,0.19349369406700134,0.0,0.012566285511874473,0.005181347,64,30,0.1,30,70,70,1,Adam
30,0.7540912628173828,0.0,0.06834084273272537,0.005181347,64,30,0.1,30,70,70,2,Adam
30,0.0824890062212944,0.0,0.006543682148038299,0.005181347,64,30,0.1,50,30,30,1,Adam
30,0.39346346259117126,0.0,0.01717081813653207,0.005181347,64,30,0.1,50,30,30,2,Adam
30,0.3178353011608124,0.0,0.013134772418829288,0.005181347,64,30,0.1,50,30,50,1,Adam
30,0.4469476640224457,0.0,0.016836401958635228,0.005181347,64,30,0.1,50,30,50,2,Adam
30,0.2457161396741867,0.0,0.010196021157244481,0.005181347,64,30,0.1,50,30,70,1,Adam
30,0.4400370717048645,0.0,0.017034495863360786,0.005181347,64,30,0.1,50,30,70,2,Adam
