round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
50,0.003946144133806229,0.0,0.00024563851295424495,0.005181347,64,50,0.1,30,30,1,Adam
50,0.0030541266314685345,0.0,0.0003134422022695508,0.005181347,64,50,0.1,30,30,2,Adam
50,0.001956881722435355,0.0,0.00014457552368967393,0.005181347,64,50,0.1,30,50,1,Adam
50,0.00097840023227036,0.0,0.0006157843201690223,0.005181347,64,50,0.1,30,50,2,Adam
50,0.013286001980304718,0.0,0.0015741101192196449,0.005181347,64,50,0.1,50,30,1,Adam
50,0.005065543111413717,0.0,0.0008910653191025084,0.005181347,64,50,0.1,50,30,2,Adam
50,0.016641709953546524,0.0,0.0017482088794304454,0.005181347,64,50,0.1,50,50,1,Adam
50,0.01720949076116085,0.0,0.0009483965361066201,0.005181347,64,50,0.1,50,50,2,Adam
50,3.393904626136646e-05,0.0,6.065281452453977e-05,0.005181347,64,50,0.01,30,30,1,Adam
50,0.00047686550533398986,0.0,8.868944142360999e-05,0.005181347,64,50,0.01,30,30,2,Adam
50,0.00010908466356340796,0.0,5.8285873197803244e-05,0.005181347,64,50,0.01,30,50,1,Adam
50,0.0004301841836422682,0.0,9.712233133701526e-05,0.005181347,64,50,0.01,30,50,2,Adam
50,0.00012310349848121405,0.0,3.311876458290197e-05,0.005181347,64,50,0.01,50,30,1,Adam
50,0.0007001481717452407,0.0,4.8424902046783544e-05,0.005181347,64,50,0.01,50,30,2,Adam
50,0.00013797874271403998,0.0,4.2145475973658643e-05,0.005181347,64,50,0.01,50,50,1,Adam
50,0.00019703472207766026,0.0,5.429466083289035e-05,0.005181347,64,50,0.01,50,50,2,Adam
50,0.00012326118303462863,0.0,0.000599530430804996,0.005181347,64,50,0.001,30,30,1,Adam
50,0.0019829492084681988,0.0,0.0019516498924093079,0.005181347,64,50,0.001,30,30,2,Adam
50,0.0006920390296727419,0.0,0.0006263960331408162,0.005181347,64,50,0.001,30,50,1,Adam
50,0.0006404528394341469,0.0,0.0007982217221776593,0.005181347,64,50,0.001,30,50,2,Adam
