date,denque,MeanHumidity,Precipitations,MeanPrecipitations,MeanSunshine,HighestTemperature,LowestTemperature,MeanTemperature,NumberOfSearches
2010-1-2 00:00,0,64.65625,0,0,8.15,27.8,16.4,21.97291667,0
2010-1-2 01:00,0,65.35714286,0,0,7.914285714,26.8,15.1,20.02440476,0
2010-1-2 02:00,1,66.14285714,0,0,8.942857143,24.4,13.4,18.54404762,0
2010-1-2 03:00,0,57.16666667,0,0,8.185714286,26.6,11.1,17.46785714,0
2010-1-2 04:00,2,65.67261905,0,0,8.071428571,27.3,15.2,20.85416667,0
2010-1-2 05:00,2,71.86309524,0,0,6.442857143,28.3,18.6,23.41845238,0
2010-1-2 06:00,1,72.44642857,17,2.428571429,1.957142857,25.1,11.4,16.84285714,0
2010-1-2 07:00,1,68.55357143,2,0.285714286,8.942857143,26.2,12,19.03511905,0
2010-1-2 08:00,0,69.00595238,0,0,8.928571429,25.9,15.4,21.73988095,0
2010-1-2 09:00,0,72.56547619,0,0,5.3,25.6,17.3,21.11607143,0
2010-1-2 10:00,0,70.0297619,0,0,4.571428571,27.7,17,21.20952381,0
2010-1-2 11:00,0,70.98214286,0,0,5.814285714,28,17.9,22.49345238,0
2010-1-2 12:00,0,73.5952381,1,0.142857143,8.4,30.1,18.9,24.92619048,0
2010-1-2 13:00,1,77.63095238,87,12.42857143,4.414285714,28.6,20.5,23.88333333,0
2010-1-2 14:00,0,71.91666667,0,0,6.771428571,29.2,21.8,25.38988095,0
2010-1-2 15:00,1,73.95833333,12,1.714285714,6.9,29.6,22.8,26.14880952,0
2010-1-2 16:00,3,73.64285714,0,0,7.671428571,31.1,24.6,27.30654762,0
2010-1-2 17:00,0,72.46428571,4,0.571428571,5.357142857,30.3,23.9,26.51369048,0
2010-1-2 18:00,0,77.02380952,52,7.428571429,2.9,30.1,22.1,25.69404762,0
2010-1-2 19:00,2,79.07738095,7,1,8.985714286,31.7,25.8,28.84940476,0
2010-1-2 20:00,5,78.94047619,105,15,5.985714286,32.5,25.2,28.29345238,0
2010-1-2 21:00,6,79.67857143,46,6.571428571,8.628571429,32,26.5,29.16488095,0
2010-1-2 22:00,8,79.625,60,8.571428571,5.971428571,33.2,25.4,28.8547619,0
2010-1-2 23:00,27,82,42,6,2.414285714,31.9,25.9,28.375,0
2010-1-3 00:00,17,82.64880952,108,15.42857143,8.614285714,32,26.4,29.52678571,0
2010-1-3 01:00,33,79.85119048,40,5.714285714,8.485714286,32.1,26.8,29.84583333,0
2010-1-3 02:00,47,77.36309524,4,0.571428571,9.457142857,33.7,27.9,30.59940476,0
2010-1-3 03:00,46,77.14285714,1,0.142857143,9.728571429,33.6,28.8,30.93690476,0
2010-1-3 04:00,71,77.02380952,135,19.28571429,8.214285714,33.9,26.4,30.48630952,0
2010-1-3 05:00,103,80.73214286,179,25.57142857,6.571428571,32.7,26.2,29.56071429,0
2010-1-3 06:00,176,78.80357143,34,4.857142857,7.5,32.7,27,30.00059524,0
2010-1-3 07:00,137,81.36904762,380,54.28571429,5.828571429,32.5,25.8,28.92440476,0
2010-1-3 08:00,233,84.97619048,492,70.28571429,4.314285714,32.4,25.1,28.09166667,0
2010-1-3 09:00,226,75.70238095,24,3.428571429,8,33.4,25.5,29.23869048,0
2010-1-3 10:00,237,74.73214286,2,0.285714286,8.514285714,33.1,26.5,29.67440476,0
2010-1-3 11:00,368,74.80952381,10,1.428571429,9.385714286,32.9,26.8,29.85595238,0
2010-1-3 12:00,438,77.5297619,27,3.857142857,6.7,32.9,26.8,29.52916667,0
2010-1-3 13:00,524,77.76190476,7,1,6.9,36.9,27.2,30.34702381,0
2010-1-3 14:00,584,80.51190476,151,21.57142857,6.557142857,32.2,25.1,28.35595238,0
2010-1-3 15:00,857,74.19047619,0,0,8.114285714,32,24.8,28.86369048,0
2010-1-3 16:00,900,67.11309524,0,0,8.557142857,32.5,24,27.5672619,0
2010-1-3 17:00,1304,65.375,0,0,9.714285714,31.9,22.5,26.33392857,0
2010-1-3 18:00,1433,70.14880952,0,0,8.457142857,31.3,23.9,27.15,0
2010-1-3 19:00,1399,73.50595238,0,0,8.428571429,30.2,24.2,26.98333333,0
2010-1-3 20:00,1474,69.23809524,0,0,6.885714286,31.3,22.1,25.45178571,0
2010-1-3 21:00,1173,71.51785714,0,0,6.428571429,29.8,21.9,25.18690476,0
2010-1-3 22:00,979,71.76190476,2,0.285714286,6.014285714,27.8,20.2,24.19642857,0
2010-1-3 23:00,831,73.94642857,0,0,7.828571429,29.8,21.7,25.7,0
2010-1-4 00:00,675,72.82738095,10,1.428571429,3.114285714,29,15.1,22.17380952,0
2010-1-4 01:00,403,69.23809524,0,0,3.1,26.2,16.1,21.19940476,0
2010-1-4 02:00,201,62.6547619,1,0.142857143,4.128571429,25.5,14.3,19.44464286,0
2010-1-4 03:00,86,70.60714286,7,1,2.871428571,25.8,13.7,19.82083333,0
2010-1-4 04:00,43,67.08333333,1,0.25,6.65,23.5,14.7,18.74895833,0
2010-1-4 05:00,16,64.55555556,0,0,8.366666667,22.5,14.4,18.45833333,0
2010-1-4 06:00,22,64.32738095,0,0,5.285714286,26.4,15.6,20.52380952,0
2010-1-4 07:00,17,68.89880952,1,0.142857143,7.514285714,24,15.2,19.89285714,0
2010-1-4 08:00,6,64.32142857,0,0,6.1,24.5,14.6,19.20535714,0
2010-1-4 09:00,9,69.13690476,6,0.857142857,6.057142857,26.7,16.2,20.73511905,0
2010-1-4 10:00,3,69.27380952,0,0,6.742857143,24,14.1,18.65238095,0
2010-1-4 11:00,0,60.92857143,0,0,6.685714286,25.2,12.4,18.56011905,0
2010-1-4 12:00,1,69.52380952,16,2.285714286,6.2,28,18.2,22.425,0
2010-1-4 13:00,0,75.54166667,24,3.428571429,8.2,28.6,19.9,23.65357143,0
2010-1-4 14:00,5,72.41071429,0,0,7.685714286,27.3,18.4,22.66071429,0
2010-1-4 15:00,0,70.75595238,0,0,5.371428571,27,17,21.67559524,0
2010-1-4 16:00,2,74.58928571,0,0,7.814285714,29.2,21.4,25.54702381,0
2010-1-4 17:00,6,70.05952381,0,0,4.771428571,29.6,19.3,23.6797619,0
2010-1-4 18:00,1,75.91666667,0,0,9.714285714,29.3,22.4,26.43035714,0
2010-1-4 19:00,1,69.39285714,7,1,6.485714286,31.3,20,25.54761905,0
2010-1-4 20:00,2,62.14880952,1,0.142857143,9.671428571,31.4,18.5,25.03214286,0
2010-1-4 21:00,4,72.9047619,2,0.285714286,7.557142857,31.2,23.3,26.82738095,0
2010-1-4 22:00,3,72.57142857,0,0,10.07142857,30.8,24,27.6047619,0
2010-1-4 23:00,8,75.61904762,9,1.285714286,9.442857143,31.4,25.2,28.32380952,0
2010-1-5 00:00,3,74.86309524,9,1.285714286,7.971428571,33,25.8,28.80952381,0
2010-1-5 01:00,6,75.17261905,130,18.57142857,5.6,32.7,25,28.26666667,0
2010-1-5 02:00,12,83.4702381,157,22.42857143,4.171428571,31.8,24.8,28.00238095,0
2010-1-5 03:00,9,78.6547619,17,2.428571429,8.428571429,32.5,26.3,29.31607143,0
2010-1-5 04:00,7,75.25,0,0,12.1,32.9,27.4,30.38690476,0
