Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BBands_up_L1,BIAS_24_L1
2018/1/2,30515.31055,2442333400,29894.76836,29179.89912,30237.8914,28121.90684,100,29595.13244,29332.50439,262.6280517,130.9286536,131.6993981,1.992570472,2.376951179,3.554162305,4.360604985,0.75,0.541666667,0,100,100,5.978456659,596.1601563,29919.15039,29976.00909,2.416485885
2018/1/3,30560.94922,2309467700,30091.35625,29254.23457,30469.3361,28039.13304,100,29743.71964,29423.50031,320.2193347,168.7867898,151.4325449,0.149559913,1.850144785,3.317858657,4.38656754,0.75,0.583333333,0,100,100,4.581633857,45.63867188,30515.31055,30237.8914,4.360604985
2018/1/4,30736.48047,2995571100,30319.12031,29334.14463,30708.06265,27960.22661,100,29896.45208,29520.75809,375.6939801,210.1682279,165.5257522,0.574364522,1.780210292,3.45366463,4.828634933,0.833333333,0.625,0,100,100,5.383251412,175.53125,30560.94922,30469.3361,4.38656754
2018/1/5,30814.64063,2263930100,30509.30625,29432.73662,30929.01839,27936.45486,100,30037.71185,29616.60125,421.1106066,252.3567036,168.753903,0.254291171,1.358257921,3.147791857,4.917660968,0.916666667,0.666666667,0,100,100,6.816846208,78.16015625,30736.48047,30708.06265,4.828634933
2018/1/8,30899.5293,2004162500,30705.38203,29566.47305,31084.95642,28047.98968,100,30170.29915,29711.63295,458.6661983,293.6186025,165.0475958,0.275481622,1.063590697,2.90117453,4.95027551,0.916666667,0.708333333,0,100,100,6.365208376,84.88867188,30814.64063,30929.01839,4.917660968
2018/1/9,31011.41016,2004940800,30804.60195,29701.88408,31228.59254,28175.17562,100,30299.70084,29807.91275,491.7880985,333.2525017,158.5355968,0.362079494,0.829172295,2.772431736,5.042305493,0.916666667,0.75,0,100,100,6.008649826,111.8808594,30899.5293,31084.95642,4.95027551
2018/1/10,31073.7207,2595365800,30907.15625,29823.57764,31379.9854,28267.16987,100,30418.78082,29901.6763,517.1045244,370.0229063,147.0816182,0.200927809,0.726967865,2.458392543,4.966641507,1,0.75,0,100,100,6.292759136,62.31054688,31011.41016,31228.59254,5.042305493
2018/1/11,31120.39063,1794778900,30983.93828,29931.33271,31532.88616,28329.77927,100,30526.72079,29991.95143,534.7693587,402.9721968,131.7971619,0.150190968,0.57427225,2.120294291,4.788372268,1,0.791666667,0,100,100,5.970396919,46.66992188,31073.7207,31379.9854,4.966641507
2018/1/12,31412.53906,2327417400,31103.51797,30062.26563,31698.24693,28426.28432,100,30663.00053,30097.18015,565.8203794,435.5418333,130.2785461,0.938768543,1.150098349,2.564441586,5.301144969,1,0.833333333,0,100,100,6.202341914,292.1484375,31120.39063,31532.88616,4.788372268
2018/1/15,31338.86914,2664144600,31191.38594,30168.1041,31846.31601,28489.89219,89.03016784,30766.98031,30189.15711,577.8232037,463.9981074,113.8250963,-0.234523932,0.629764615,1.841413941,4.610630422,0.916666667,0.791666667,4.015739732,91.34913099,97.116377,5.882927823,-73.66992188,31412.53906,31698.24693,5.301144969
