,Range,std,max,min
DJI_2011,2155.24,490.41,12810.54,10655.30
DJI_2012,1508.69,319.39,13610.15,12101.46
DJI_2013,3247.81,715.71,16576.66,13328.85
DJI_2014,2680.91,552.71,18053.71,15372.80
DJI_2015,2645.95,554.69,18312.39,15666.44
DJI_2016,4314.44,942.76,19974.62,15660.18
DJI_2017,5105.11,1322.01,24837.51,19732.40
DJI_2018,5036.19,829.17,26828.39,21792.20
DJI_2019,5959.04,1073.00,28645.26,22686.22
GSPC_2011,264.38,62.55,1363.61,1099.23
GSPC_2012,188.71,46.63,1465.77,1277.06
GSPC_2013,391.21,99.24,1848.36,1457.15
GSPC_2014,348.68,79.57,2090.57,1741.89
GSPC_2015,263.21,54.89,2130.82,1867.61
GSPC_2016,442.64,101.43,2271.72,1829.08
GSPC_2017,432.33,109.42,2690.16,2257.83
GSPC_2018,579.65,100.41,2930.75,2351.10
GSPC_2019,792.13,150.67,3240.02,2447.89
HSI_2011,8169.35,2196.81,24419.62,16250.27
HSI_2012,4481.00,1085.94,22666.59,18185.59
HSI_2013,4224.57,877.13,24038.55,19813.98
HSI_2014,4135.79,912.62,25317.95,21182.16
HSI_2015,7886.15,2119.41,28442.75,20556.60
HSI_2016,5780.12,1457.07,24099.70,18319.58
HSI_2017,7869.02,2134.01,30003.49,22134.47
HSI_2018,8568.59,2208.93,33154.12,24585.53
HSI_2019,5093.13,1247.35,30157.49,25064.36
N225_2011,2697.52,738.56,10857.53,8160.01
N225_2012,2099.55,487.39,10395.18,8295.63
N225_2013,5804.32,1436.01,16291.31,10486.99
N225_2014,4025.48,998.47,17935.64,13910.16
N225_2015,4072.07,1073.36,20868.03,16795.96
N225_2016,4542.51,918.94,19494.53,14952.02
N225_2017,4603.55,1278.82,22939.18,18335.63
N225_2018,5114.88,855.80,24270.62,19155.74
N225_2019,4504.16,992.54,24066.12,19561.96
TWII_2011,2512.02,765.29,9145.35,6633.33
TWII_2012,1249.38,296.45,8144.04,6894.66
TWII_2013,1006.79,227.44,8623.43,7616.64
TWII_2014,1304.69,302.98,9569.17,8264.48
TWII_2015,2562.78,605.50,9973.12,7410.34
TWII_2016,1728.67,445.92,9392.68,7664.01
TWII_2017,1581.69,422.65,10854.57,9272.88
TWII_2018,1774.12,490.46,11253.11,9478.99
TWII_2019,2739.94,569.97,12122.45,9382.51
