Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BBands_up_L1,BIAS_24_L1
2012/1/3,12397.37988,152560000,12268.94785,12097.36348,12435.41014,11759.31682,67.46739774,12175.45649,12054.89511,120.561377,94.81575493,25.74562207,1.471818586,1.012429119,2.231558248,2.744964255,0.583333333,0.541666667,0,100,94.73223219,4.853895734,179.8203125,12217.55957,12388.40108,1.561329146
2012/1/4,12418.41992,145130000,12294.36191,12113.39297,12479.26613,11747.51981,61.34058242,12212.83548,12081.82288,131.0126029,102.0551245,28.95747834,0.169713595,1.013189185,2.019746714,2.613612455,0.583333333,0.541666667,0,100,95.17183994,4.630711684,21.04003906,12397.37988,12435.41014,2.744964255
2012/1/5,12415.7002,158440000,12347.21992,12126.67148,12515.47208,11737.87088,61.33283019,12244.04544,12106.55453,137.4909059,109.1422808,28.34862508,-0.021900746,0.821101439,1.615271483,2.460609373,0.583333333,0.5,0.417033536,98.98141307,99.66047102,4.629129526,-2.719726563,12418.41992,12479.26613,2.613612455
2012/1/6,12359.91992,131120000,12361.7959,12134.84897,12535.85746,11733.84049,72.44595453,12261.87228,12125.32234,136.549943,114.6238132,21.9261298,-0.449272071,0.08569961,0.750805589,1.88121133,0.583333333,0.5,8.970189215,78.09068898,92.35736735,5.045444925,-55.78027344,12415.7002,12515.47208,2.460609373
2012/1/9,12392.69043,122200000,12396.82207,12154.59849,12565.4295,11743.76747,64.60828,12281.99815,12145.12738,136.8707683,119.0732042,17.79756405,0.265135276,0.208179488,0.81993312,2.020543166,0.583333333,0.541666667,3.945272023,90.36383852,89.14531352,2.388635013,32.77050781,12359.91992,12535.85746,1.88121133
2012/1/10,12462.46973,141230000,12409.84004,12168.50898,12600.70002,11736.31794,83.83576725,12309.76301,12168.63422,141.1287859,123.4843206,17.64446534,0.563068183,0.440904446,1.144376069,2.466826772,0.583333333,0.541666667,0,100,89.4848425,2.929774552,69.77929688,12392.69043,12565.4295,2.020543166
2012/1/11,12449.4502,130260000,12416.04609,12189.91201,12633.09765,11746.72637,63.34387763,12331.25334,12189.4354,141.8179393,127.1510443,14.66689496,-0.104469913,0.265844791,0.847870142,2.254924958,0.5,0.5,3.670270315,94.68395617,95.01593156,2.299160581,-13.01953125,12462.46973,12600.70002,2.466826772
2012/1/12,12471.01953,128230000,12427.10996,12215.71597,12661.26293,11770.16901,63.44305011,12352.75583,12210.29349,142.4623462,130.2133047,12.24904149,0.173255329,0.368695612,0.902019704,2.33589716,0.5,0.5,0,100,98.22798539,1.439885564,21.56933594,12449.4502,12633.09765,2.254924958
2012/1/13,12422.05957,161470000,12439.53789,12245.64492,12661.18664,11830.1032,51.31457825,12363.41795,12225.97986,137.438083,131.6582603,5.779822613,-0.392589883,-0.033869049,0.417390418,1.786451038,0.5,0.5,15.31868736,55.93147338,83.53847652,1.063430503,-48.95996094,12471.01953,12661.26293,2.33589716
2012/1/17,12482.07031,148670000,12457.41387,12276.30796,12665.78511,11886.83081,74.81628151,12381.67216,12244.94953,136.7226301,132.6711343,4.051495839,0.483098168,0.28476539,0.678245113,2.174291172,0.583333333,0.5,0,100,85.31049113,2.721166943,60.01074219,12422.05957,12661.18664,1.786451038
2012/1/18,12578.9502,154170000,12480.70996,12311.93599,12674.3265,11949.54547,80.02071371,12412.02262,12269.69032,142.3323073,134.6033689,7.728938378,0.776152356,0.8116922,1.260979423,2.771880846,0.583333333,0.541666667,0,100,85.31049113,2.375756531,96.87988281,12482.07031,12665.78511,2.174291172
2012/1/19,12623.98047,148030000,12515.61602,12354.82202,12644.46298,12065.18107,78.2885937,12444.63152,12295.93403,148.6974914,137.4221934,11.27529803,0.357981173,0.954786245,1.347159899,2.905411071,0.666666667,0.583333333,0,100,100,3.326530934,45.03027344,12578.9502,12674.3265,2.771880846
2012/1/20,12720.48047,255110000,12565.5082,12385.66704,12692.59201,12078.74207,86.72992681,12487.06982,12327.38192,159.6879065,141.875336,17.81257045,0.764418166,1.360347739,1.901607293,3.377084546,0.666666667,0.625,0,100,100,2.606200576,96.5,12623.98047,12644.46298,2.905411071
