Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_6_L1,BIAS_24_L1,RDP_L1,RDP_L2,RDP_L3
2018/1/2,2695.810059,3367250000,2684.016064,2667.020032,2707.753203,2626.286861,61.89668984,2677.537404,2657.004731,20.53267268,21.86074824,-1.328075559,0.830336148,0.443632095,0.569005611,1.277533373,0.5,0.5,0,100,60.58095287,1.237770048,22.19995117,2673.610107,-0.313939902,0.592143463,-0.518315316,0.183399873,0.079094094
2018/1/3,2713.060059,3538660000,2690.528076,2670.701038,2714.023047,2627.379028,73.49033047,2683.002428,2661.156978,21.84545002,21.8576886,-0.012238575,0.639881877,0.900134551,1.020798293,1.78852988,0.583333333,0.5,0,100,66.66666667,2.302029351,17.25,2695.810059,0.443632095,1.277533373,0.830336148,-0.518315316,0.183399873
2018/1/4,2723.98999,3695260000,2698.802051,2675.422034,2720.33569,2630.508378,80.4765799,2689.308206,2665.811275,23.49693166,22.18553721,1.311394449,0.402863608,1.034267128,1.276367854,2.042399226,0.583333333,0.541666667,0,100,100,1.80057368,10.92993164,2713.060059,0.900134551,1.78852988,0.639881877,0.830336148,-0.518315316
2018/1/5,2743.149902,3236620000,2709.924023,2681.116028,2729.890625,2632.34143,84.24031333,2697.591544,2671.540062,26.05148226,22.95872622,3.092756044,0.703376744,1.365628322,1.821553589,2.607081617,0.583333333,0.541666667,0,100,100,1.969771016,19.15991211,2723.98999,1.034267128,2.042399226,0.402863608,0.639881877,0.830336148
2018/1/8,2747.709961,3242650000,2724.743994,2686.652527,2739.128258,2634.176796,84.17588818,2705.30207,2677.182277,28.11979317,23.99093961,4.12885356,0.166234393,1.159267724,1.782270289,2.608950665,0.666666667,0.583333333,0,100,100,2.470286483,4.560058594,2743.149902,1.365628322,2.607081617,0.703376744,0.402863608,0.639881877
2018/1/9,2751.290039,3453480000,2735.83999,2691.642029,2748.585715,2634.698343,100,2712.377142,2682.671741,29.70540147,25.13383198,4.57156949,0.13029316,0.810565762,1.688751111,2.564144414,0.75,0.625,0,100,100,2.688813626,3.580078125,2747.709961,1.159267724,2.608950665,0.166234393,0.703376744,0.402863608
2018/1/10,2748.22998,3576350000,2742.873975,2696.054028,2756.093926,2636.01413,94.77270832,2717.892963,2687.527907,30.36505685,26.18007695,4.184979892,-0.111222683,0.377112862,1.376875855,2.261590153,0.666666667,0.625,3.939316795,96.0606832,98.6868944,2.371326152,-3.060058594,2751.290039,0.810565762,2.564144414,0.13029316,0.166234393,0.703376744
2018/1/11,2767.560059,3641320000,2751.587988,2701.226526,2766.925157,2635.527895,94.9520741,2725.534055,2693.456214,32.07784086,27.35962974,4.718211123,0.703364648,0.748883295,1.826304174,2.76053616,0.75,0.666666667,0,100,98.6868944,3.138624548,19.33007813,2748.22998,0.377112862,2.261590153,-0.111222683,0.13029316,0.166234393
2018/1/12,2786.23999,3573970000,2760.206006,2707.396021,2780.299842,2634.492199,95.52427476,2734.87343,2700.329086,34.54434321,28.79657243,5.747770781,0.674960299,1.047256561,2.182310198,3.215783105,0.833333333,0.666666667,0,100,98.6868944,3.944786056,18.67993164,2767.560059,0.748883295,2.76053616,0.703364648,-0.111222683,0.13029316
2018/1/16,2776.419922,4325970000,2765.947998,2713.616516,2787.77531,2639.457722,78.18047215,2741.265198,2705.965445,35.29975307,30.09720856,5.202544511,-0.352448762,0.489035288,1.531113591,2.654064622,0.75,0.625,8.718883581,86.58092712,95.52697571,3.496574267,-9.820068359,2786.23999,1.047256561,3.215783105,0.674960299,0.703364648,-0.111222683
2018/1/17,2802.560059,3778050000,2776.202002,2719.954016,2801.41073,2638.497303,84.02174571,2750.695176,2713.120601,37.57457508,31.59268186,5.981893219,0.941505156,1.100631315,2.129056942,3.393466261,0.75,0.625,0,100,95.52697571,4.279750919,26.14013672,2776.419922,0.489035288,2.654064622,-0.352448762,0.674960299,0.703364648
2018/1/18,2798.030029,3681470000,2786.162012,2725.347522,2812.298494,2638.39655,78.6536395,2757.977461,2719.410188,38.5672729,32.98760007,5.579672827,-0.161638973,0.654355026,1.580170363,3.014276863,0.75,0.583333333,3.513013581,92.37499178,92.9853063,4.653629994,-4.530029297,2802.560059,1.100631315,3.393466261,0.941505156,-0.352448762,0.674960299
2018/1/19,2810.300049,3639430000,2794.71001,2731.789026,2823.728344,2639.849708,84.19075028,2766.02709,2726.142771,39.88431949,34.36694395,5.517375537,0.438523511,0.720921043,1.673454865,3.232514354,0.75,0.625,0,100,97.45833059,4.24696057,12.27001953,2798.030029,0.654355026,3.014276863,-0.161638973,0.941505156,-0.352448762
2018/1/22,2832.969971,3471780000,2804.056006,2739.475024,2838.024437,2640.925612,84.75179973,2776.325995,2734.055897,42.27009826,35.94757482,6.322523445,0.80667265,1.138247564,2.124429639,3.777827818,0.75,0.666666667,0,100,97.45833059,4.419729365,22.66992188,2810.300049,0.720921043,3.232514354,0.438523511,-0.161638973,0.941505156
2018/1/23,2839.129883,3519650000,2816.597998,2747.203015,2851.397097,2643.008933,82.41195956,2785.988131,2741.839155,44.14897663,37.58785518,6.561121451,0.217436548,1.040186968,1.993704129,3.744861866,0.75,0.666666667,0,100,100,4.226883836,6.159912109,2832.969971,1.138247564,3.777827818,0.80667265,0.438523511,-0.161638973
2018/1/24,2837.540039,4014070000,2823.593994,2754.913013,2861.847999,2647.978026,91.65773657,2793.919194,2748.928109,44.99108495,39.06850113,5.922583816,-0.05599757,0.618835255,1.649354643,3.454622486,0.666666667,0.625,1.38079315,97.77861163,99.25953721,3.440939798,-1.58984375,2839.129883,1.040186968,3.744861866,0.217436548,0.80667265,0.438523511
2018/1/25,2839.25,3835150000,2831.837988,2762.850513,2870.079995,2655.62103,87.49251557,2800.893164,2755.61862,45.27454465,40.30970983,4.964834811,0.06026209,0.461632446,1.433423223,3.269440578,0.666666667,0.666666667,0,100,99.25953721,3.331502974,1.709960938,2837.540039,0.618835255,3.454622486,-0.05599757,0.217436548,0.80667265
2018/1/26,2872.870117,3443230000,2844.352002,2772.363013,2883.131649,2661.594377,97.96225541,2811.966542,2764.303916,47.6626259,41.78029305,5.882332851,1.184119651,1.204555666,2.264361906,4.186557651,0.666666667,0.708333333,0,100,99.25953721,4.419020765,33.62011719,2839.25,0.461632446,3.269440578,0.06026209,-0.05599757,0.217436548
