Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_24_L1,BIAS_24_L2
2014/1/6,15908.87988,192700000,16112.71211,15667.91655,16343.90893,14991.92418,52.39381521,15883.25919,15621.8838,261.3753882,234.4765055,26.89888268,-2.347445955,-1.036372598,0.68646832,1.586021988,0.833333333,0.583333333,33.59363004,45.63974714,81.87991571,3.696168765,-382.4296875,16291.30957,4.137089116,3.604286414
2014/1/7,15814.37012,165900000,16073.58809,15671.15205,16349.29447,14993.00963,45.73567271,15872.66087,15636.14205,236.5188238,234.8849692,1.633854595,-0.594069264,-1.547771311,-0.128304206,0.884628606,0.75,0.583333333,41.89561653,0,48.54658238,2.669978701,-94.50976563,15908.87988,1.586021988,4.137089116
2014/1/8,16121.4502,206700000,16062.99004,15706.82754,16400.71787,15012.93721,55.23119753,15910.93615,15672.0908,238.8453527,235.6770459,3.168306861,1.941778748,0.248017471,1.294669694,2.735902663,0.833333333,0.583333333,14.92089445,64.3855475,36.67509821,6.391775765,307.0800781,15814.37012,0.884628606,1.586021988
2014/1/9,15880.33008,217400000,16003.26797,15741.96953,16395.05833,15088.88073,37.12311348,15906.22752,15687.51593,218.7115943,232.2839556,-13.57236129,-1.495647812,-0.949422677,-0.533711736,1.14066694,0.75,0.583333333,36.10152,13.82983951,26.07179567,3.93818163,-241.1201172,16121.4502,2.735902663,0.884628606
2014/1/10,15912.05957,237500000,15927.41797,15772.57949,16396.65571,15148.50328,38.58740499,15907.12476,15704.14879,202.9759698,226.4223584,-23.44638857,0.199803732,-0.475398313,-0.503372239,1.273683399,0.75,0.625,37.45014388,20.48256912,32.89931871,2.080215102,31.72949219,15880.33008,1.14066694,2.735902663
2014/1/14,15422.40039,214500000,15830.12207,15761.18901,16401.87799,15120.50003,21.90775079,15832.55178,15683.27854,149.2732416,210.992535,-61.71929349,-3.077283475,-2.656323829,-3.34516376,-1.757533843,0.666666667,0.583333333,100,0,11.43746954,-2.754355785,-489.6591797,15912.05957,1.273683399,1.14066694
2014/1/15,15808.73047,185800000,15828.99414,15771.06006,16408.28207,15133.83805,46.77026704,15828.88696,15692.57128,136.3156887,196.0571658,-59.74147709,2.504993181,-0.112635584,-0.892035899,0.596420494,0.666666667,0.625,55.53849733,44.46150267,21.64802393,-0.388707126,386.3300781,15422.40039,-1.757533843,1.273683399
2014/1/16,15747.2002,214200000,15754.14414,15782.66709,16409.18094,15156.15324,47.78674894,15816.31977,15696.61786,119.7019068,180.786114,-61.0842072,-0.389217044,-0.430983634,-1.204422019,0.053748327,0.583333333,0.625,62.61982123,37.38017877,27.28056048,-0.8944989,-61.53027344,15808.73047,0.596420494,-1.757533843
2014/1/17,15734.45996,180100000,15724.97012,15802.29907,16396.07812,15208.52003,34.18006426,15803.72595,15699.42098,104.3049717,165.4898855,-61.18491383,-0.080904759,-0.10414339,-1.141944372,-0.142092123,0.5,0.583333333,64.08605438,44.64053465,42.1607387,-1.720989641,-12.74023438,15747.2002,0.053748327,0.596420494
2014/1/20,15641.67969,142200000,15670.89414,15814.22754,16384.57287,15243.88221,38.89760159,15778.79576,15695.14385,83.65190989,149.1222904,-65.4703805,-0.589662903,-0.44178156,-1.449977971,-0.728677893,0.416666667,0.541666667,74.76384161,31.36819371,37.79630238,-3.293843422,-92.78027344,15734.45996,-0.142092123,0.053748327
2014/1/21,15795.95996,154300000,15745.60605,15846.38003,16329.86453,15362.89552,45.15168965,15781.4364,15702.61171,78.82469627,135.0627716,-56.23807529,0.986340831,0.664180819,-0.277416768,0.201548099,0.416666667,0.583333333,57.00821455,53.43819107,43.14897315,-2.367154205,154.2802734,15641.67969,-0.728677893,-0.142092123
2014/1/22,15820.95996,185300000,15748.05195,15873.49653,16281.51276,15465.48031,77.19944818,15787.51695,15711.37825,76.13870616,123.2779585,-47.13925232,0.158268317,0.398491333,0.128179426,0.279056579,0.416666667,0.625,54.13104388,81.39530246,55.40056241,-2.887119708,25,15795.95996,0.201548099,-0.728677893
2014/1/23,15695.88965,206900000,15737.78984,15878.90103,16274.30553,15483.49652,38.03134355,15773.42044,15710.23094,63.18950145,111.2602671,-48.07076563,-0.790535548,-0.276177634,-0.551657514,-0.606626988,0.416666667,0.625,68.52498924,55.85298288,63.5621588,-1.338813518,-125.0703125,15820.95996,0.279056579,0.201548099
2014/1/24,15391.55957,221000000,15669.20977,15855.51802,16304.49522,15406.54082,25.10220936,15714.67262,15686.62566,28.04696159,94.61760598,-66.57064439,-1.93891576,-1.84007441,-2.261683991,-2.530810198,0.416666667,0.583333333,100,0,45.74942845,-2.673584491,-304.3300781,15695.88965,-0.606626988,0.279056579
2014/1/27,15005.73047,223900000,15542.01992,15812.28354,16394.07991,15230.48718,16.48872582,15605.60459,15636.18897,-30.58438072,69.57720864,-100.1615894,-2.50675768,-3.553651049,-4.145810907,-4.937209129,0.333333333,0.583333333,100,0,18.61766096,-6.920715649,-385.8291016,15391.55957,-2.530810198,-0.606626988
2014/1/28,14980.16016,183100000,15378.85996,15766.82505,16450.5792,15083.07089,17.57511761,15509.38237,15587.59425,-78.21187463,40.01939199,-118.2312666,-0.17040365,-3.030845782,-3.848412332,-5.024373233,0.333333333,0.541666667,100,0,4.26E-14,-5.668458511,-25.5703125,15005.73047,-4.937209129,-2.530810198
2014/1/29,15383.91016,164800000,15291.45,15735.52104,16429.13397,15041.90812,33.7718141,15490.07895,15572.50654,-82.42758211,15.52999717,-97.95757928,2.695231531,0.027363964,-0.977166783,-2.411997685,0.333333333,0.541666667,56.67450865,48.01975426,16.00658475,-3.319176953,403.75,14980.16016,-5.024373233,-4.937209129
2014/1/30,15007.05957,221200000,15153.68398,15677.152,16408.63835,14945.66565,24.90131385,15415.76828,15530.62158,-114.8532962,-10.5466615,-104.3066347,-2.4496411,-1.554652471,-3.187183372,-4.587649612,0.333333333,0.5,97.11348525,3.199265023,17.07300643,-2.693101008,-376.8505859,15383.91016,-2.411997685,-5.024373233
2014/1/31,14914.53027,217400000,15058.27813,15613.93149,16378.81384,14849.04915,25.41131118,15338.65474,15484.98518,-146.3304429,-37.70341778,-108.6270251,-0.616571797,-1.318625554,-3.319342165,-4.935208032,0.25,0.458333333,100,0,17.07300643,-5.656369416,-92.52929688,15007.05957,-4.587649612,-2.411997685
2014/2/3,14619.12988,202800000,14980.95801,15530.32251,16344.7186,14715.92642,25.5549347,15227.95861,15420.84775,-192.8891452,-68.74056326,-124.1485819,-1.980621483,-2.442140473,-4.65320007,-6.502675515,0.25,0.416666667,100,0,1.066421674,-7.163624635,-295.4003906,14914.53027,-4.935208032,-4.587649612
2014/2/4,14008.46973,294300000,14786.61992,15435.302,16465.67642,14404.92758,22.37138644,15040.34493,15316.22716,-275.8822248,-110.1688956,-165.7133292,-4.177130658,-5.468747203,-7.770772945,-9.927764989,0.25,0.375,100,0,4.35E-14,-10.96949141,-610.6601563,14619.12988,-6.502675515,-4.935208032
2014/2/5,14180.37988,280200000,14545.91387,15353.60249,16503.03695,14204.16803,29.50438129,14908.04262,15232.09032,-324.0477051,-152.9446575,-171.1030477,1.227187263,-3.440109519,-5.88438088,-8.332696808,0.333333333,0.375,90.51525062,12.429428,4.143142665,-9.342345796,171.9101563,14008.46973,-9.927764989,-6.502675515
2014/2/6,14155.12012,192900000,14375.52598,15255.28599,16460.22956,14050.34241,10.93151626,14792.20839,15152.31475,-360.1063653,-194.376999,-165.7293663,-0.178131798,-2.248921832,-5.191620608,-7.994450335,0.25,0.333333333,91.90890037,10.66206776,7.697165252,-10.38771843,-25.25976563,14180.37988,-8.332696808,-9.927764989
2014/2/7,14462.41016,186100000,14285.10195,15184.38999,16400.68701,13968.09297,31.8818574,14741.4702,15101.21071,-359.7405106,-227.4497013,-132.2908092,2.170875531,0.503151143,-2.393320379,-5.529198946,0.25,0.333333333,74.95487583,33.00327807,18.69825794,-8.587025111,307.2900391,14155.12012,-7.994450335,-8.332696808
2014/2/10,14718.33984,149800000,14304.94395,15124.704,16309.04717,13940.36084,44.11352256,14737.91168,15072.8499,-334.9382218,-248.9474054,-85.9908164,1.769619896,2.514618818,-0.116906306,-3.544878109,0.333333333,0.375,60.83454113,51.61038616,31.75857733,-6.22806242,255.9296875,14462.41016,-5.529198946,-7.994450335
2014/2/12,14800.05957,165100000,14463.26191,15093.58696,16277.71104,13909.46289,56.22706092,14747.4729,15052.64321,-305.1703169,-260.1919877,-44.97832917,0.555223805,2.867749151,0.774768188,-2.739959247,0.416666667,0.416666667,53.08874611,79.27076854,54.62814426,-3.84301537,81.71972656,14718.33984,-3.544878109,-5.529198946
2014/2/13,14534.74023,148400000,14534.13398,15029.88745,16190.10088,13869.67402,73.76092035,14714.74479,15014.28003,-299.5352351,-268.0606372,-31.47459788,-1.792691,0.411499461,-0.766609991,-4.066732379,0.416666667,0.375,61.94965134,58.08337088,62.98817519,-3.138735801,-265.3193359,14800.05957,-2.739959247,-3.544878109
2014/2/14,14313.03027,204200000,14565.71602,14958.17896,16109.43744,13806.92047,55.73138273,14652.94256,14962.3356,-309.3930427,-276.3271183,-33.06592439,-1.52537959,-1.2709491,-1.907978422,-5.12112688,0.416666667,0.375,77.85723465,38.47453947,58.60955963,-4.4534229,-221.7099609,14534.74023,-4.066732379,-2.739959247
2014/2/17,14393.11035,149000000,14551.85605,14891.11147,16009.47723,13772.74572,59.81768345,14612.96837,14920.17077,-307.2023952,-282.5021737,-24.70022152,0.559490734,-0.989465253,-0.797820083,-4.188323245,0.416666667,0.375,72.03509387,48.59089945,48.3829366,-6.440493962,80.08007813,14313.03027,-5.12112688,-4.066732379
2014/2/18,14843.24023,206500000,14576.83613,14851.1895,15915.21709,13787.16191,64.05392509,14648.39481,14914.47221,-266.077397,-279.2172183,13.13982133,3.127398261,1.663103858,2.400977801,-1.032930738,0.5,0.416666667,39.30885775,100,62.35514631,-1.091615151,450.1298828,14393.11035,-4.188323245,-5.12112688
2014/2/19,14766.53027,153900000,14570.13027,14799.71802,15771.55785,13827.87819,52.04948978,14666.5695,14903.51355,-236.9440489,-270.7625845,33.81853553,-0.516800643,1.082102693,1.958520867,-1.258501443,0.5,0.375,24.08689597,88.85224265,79.14771403,-0.992320893,-76.70996094,14843.24023,-1.032930738,-4.188323245
2014/2/20,14449.17969,172000000,14553.01816,14731.129,15592.31612,13869.94189,37.56891053,14633.12491,14869.85919,-236.7342754,-263.9569226,27.22264726,-2.149120884,-0.692730928,-0.135035063,-3.029880673,0.5,0.375,51.35976702,25.67839612,71.51021293,-1.162519224,-317.3505859,14766.53027,-1.258501443,-1.032930738
2014/2/21,14865.66992,138700000,14663.54609,14689.61802,15432.73189,13946.50414,60.58994856,14668.90107,14869.54887,-200.6478042,-251.295099,50.64729477,2.882448993,1.783915575,2.238759733,0.008193069,0.583333333,0.416666667,0,100,71.51021293,6.119156568,416.4902344,14449.17969,-3.029880673,-1.258501443
2014/2/24,14837.67969,159500000,14752.45996,14661.92402,15336.45383,13987.39422,69.16526173,14694.86701,14867.18819,-172.3211824,-235.5003157,63.17913321,-0.188287743,0.987651203,1.663275491,0.045362027,0.5,0.416666667,3.265308912,94.9351744,73.53785684,4.635276418,-27.99023438,14865.66992,0.008193069,-3.029880673
2014/2/25,15051.59961,139500000,14794.13184,14664.21748,15343.7013,13984.73366,71.91179558,14749.74895,14880.8483,-131.099349,-214.6201223,83.52077328,1.44173433,1.684081267,2.603794763,1.700429914,0.583333333,0.416666667,0,100,98.3117248,6.333252454,213.9199219,14837.67969,0.045362027,0.008193069
