Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_24_L1
2016/1/4,18450.98047,140200000,18821.86641,19087.72822,19812.44339,18363.01306,27.42435589,18921.41822,19087.59134,-166.1731173,-119.4671832,-46.70593416,-3.061570446,-1.94256659,-2.314565786,-4.012900426,0.416666667,0.375,100,0,27.24951882,-2.290048386,-582.7304688,19033.71094,-1.300882373
2016/1/5,18374,132300000,18742.8543,19009.4332,19685.69775,18333.16865,28.00562175,18837.20003,19034.73272,-197.5326874,-135.080284,-62.45240336,-0.417216141,-1.990812319,-2.639694881,-4.099494849,0.416666667,0.375,100,0,15.09269408,-1.033617474,-76.98046875,18450.98047,-4.012900426
2016/1/6,18191.32031,142200000,18606.44844,18943.7752,19668.30072,18219.24968,23.90610527,18737.83392,18972.25773,-234.4238049,-154.9489882,-79.47481673,-0.994229278,-2.464282506,-3.240841132,-4.730553786,0.333333333,0.375,100,0,0,-4.507054557,-182.6796875,18374,-4.099494849
2016/1/7,17767.33984,168000000,18363.47031,18847.23467,19653.85761,18040.61172,11.23976197,18588.52714,18883.00455,-294.4774096,-182.8546725,-111.6227371,-2.330674528,-3.786605411,-4.826830224,-6.492884412,0.25,0.333333333,100,0,0,-8.196014885,-423.9804688,18191.32031,-4.730553786
2016/1/8,17697.96094,184300000,18096.32031,18757.50273,19651.5386,17863.46686,3.711024946,18451.51695,18795.22354,-343.7065863,-215.0250552,-128.681531,-0.390485615,-3.038430699,-4.649899106,-6.398208662,0.25,0.333333333,100,0,0,-6.788083251,-69.37890625,17767.33984,-6.492884412
2016/1/12,17218.96094,178400000,17849.91641,18653.39727,19735.19086,17571.60368,0,18261.89295,18678.46335,-416.5703961,-255.3341234,-161.2362727,-2.706526485,-4.073142027,-6.518312372,-8.382216928,0.25,0.291666667,100,0,0,-8.971541771,-479,17697.96094,-6.398208662
2016/1/13,17715.63086,145900000,17718.24258,18586.85127,19725.94351,17447.75903,28.73100897,18177.85263,18607.14242,-429.2897929,-290.1252573,-139.1645356,2.88443608,-0.627706631,-3.309616993,-5.36425009,0.333333333,0.333333333,72.63149625,27.36850375,9.122834585,-6.200492451,496.6699219,17218.96094,-8.382216928
2016/1/14,17240.94922,178300000,17528.16836,18487.37471,19727.28903,17247.46038,23.35741684,18033.71364,18505.94293,-472.2292827,-326.5460624,-145.6832203,-2.679450957,-2.254954212,-5.23284138,-7.393480035,0.333333333,0.291666667,98.78835756,1.211642444,9.526715399,-8.242500432,-474.6816406,17715.63086,-5.36425009
2016/1/15,17147.10938,167800000,17404.12227,18400.55918,19755.22949,17045.88887,24.37583036,17897.31299,18405.28859,-507.9756023,-362.8319704,-145.1436319,-0.544284671,-1.818238548,-5.0431731,-7.411496747,0.333333333,0.291666667,100,0,9.526715399,-8.641621502,-93.83984375,17240.94922,-7.393480035
2016/1/18,16955.57031,157200000,17255.64414,18320.04268,19810.45572,16829.62963,27.51467189,17752.4295,18297.90205,-545.4725516,-399.3600866,-146.112465,-1.117034121,-2.156993775,-5.265454411,-7.960043439,0.25,0.291666667,100,0,0.403880815,-10.1613086,-191.5390625,17147.10938,-7.411496747
