,DJI,GSPC,HSI,N225,TWII,
 RMSE ,15.80248,1.91435,46.16188,33.41447,19.37877,
 MAPE ,0.1305,0.13338,0.32655,0.25176,0.31277,
 RMSE ,29.19178,3.68487,47.22676,28.14295,14.09012,
 MAPE ,0.23795,0.31477,0.31561,0.22507,0.18924,
 RMSE ,10.56618,1.85344,31.55582,9.06616,6.90592,
 MAPE ,0.07781,0.13038,0.18228,0.0653,0.09794,
 RMSE ,79.6388,10.5617,204.00371,252.01925,61.12747,
 MAPE ,0.78201,1.01296,1.19295,2.74888,1.16544,
,,,,,,
,,,,,,
,286.94008,296.4936,79.6388,987.2455,239.3492,377.933436
,35.02169,55.5183,10.5617,142.7041,31.4603,55.053218
,562.10835,528.9538,204.0037,2031.0608,462.4174,757.70881
,436.02601,388.0012,252.0193,1395.9603,306.1461,555.630582
,219.4827,265.4517,61.12747,738.4236,273.7052,311.638134
,,,,,,
