Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BBands_up_L1,BIAS_24_L1
2018/1/2,10710.73047,2375900,10565.96211,10499.42944,10661.86688,10336.99201,71.45839374,10556.38456,10562.23318,-5.848618998,-34.83599555,28.98737655,0.637705607,1.439698353,1.725709982,1.799294537,0.583333333,0.583333333,0,100,100,1.63902584,67.87011719,10642.86035,10644.84712,1.155694589
2018/1/3,10801.57031,2964800,10641.89414,10511.16548,10718.97238,10303.35858,79.05629913,10594.10545,10579.96186,14.1435892,-25.0400786,39.1836678,0.848119967,1.851352273,2.337272858,2.626901338,0.666666667,0.583333333,0,100,100,2.956027677,90.83984375,10710.73047,10661.86688,1.799294537
2018/1/4,10848.62988,3048500,10714.28613,10533.90098,10781.17256,10286.62939,100,10633.26305,10599.86319,33.39985948,-13.35209099,46.75195046,0.435673416,1.613658072,2.506255084,2.956558064,0.666666667,0.625,0,100,100,3.256172042,47.05957031,10801.57031,10718.97238,2.626901338
2018/1/5,10879.7998,3028400,10776.71816,10560.10298,10835.74659,10284.45937,100,10671.19178,10620.59924,50.59254523,-0.563163742,51.15570897,0.287316668,1.284022591,2.467987266,3.13840721,0.75,0.625,0,100,100,3.940446829,31.16992188,10848.62988,10781.17256,2.956558064
2018/1/8,10915.75,3246900,10831.29609,10585.95947,10891.55198,10280.36696,100,10708.81612,10642.46226,66.3538668,12.82024237,53.53362443,0.330430669,1.072787425,2.475828311,3.371153716,0.75,0.625,0,100,100,3.914795603,35.95019531,10879.7998,10835.74659,3.13840721
2018/1/9,10914.88965,2933100,10872.12793,10608.04946,10940.50399,10275.59493,99.68571632,10740.51974,10662.64206,77.87767911,25.83172972,52.0459494,-0.007881745,0.642322073,2.127455246,3.221253064,0.75,0.625,0.174216717,99.79948928,99.93316309,4.060645926,-0.860351563,10915.75,10891.55198,3.371153716
2018/1/10,10831.08984,3224000,10878.03184,10627.43994,10964.3994,10290.48048,70.77456242,10754.45361,10675.11968,79.33392737,36.53216925,42.80175812,-0.767756774,-0.314749173,1.111718567,2.252622762,0.666666667,0.625,17.14324134,75.68008079,91.82652336,2.788391353,-83.79980469,10914.88965,10940.50399,3.221253064
2018/1/11,10810.05957,2736200,10870.31777,10644.40791,10982.26371,10306.55211,51.93051651,10763.00837,10685.11523,77.89314362,44.80436412,33.0887795,-0.194165811,-0.521257957,0.690137542,1.872034008,0.666666667,0.625,21.40176234,61.26990148,78.91649052,2.732901904,-21.03027344,10831.08984,10964.3994,2.252622762
2018/1/12,10883.95996,2900300,10871.1498,10661.70542,11011.22316,10312.18768,57.16021723,10781.61631,10699.84447,81.77184114,52.19785952,29.57398162,0.683626118,0.104560993,1.016190759,2.373361752,0.75,0.625,6.437317577,84.49414118,73.81470782,4.433446439,73.90039063,10810.05957,10982.26371,1.872034008
2018/1/15,10956.30957,2672500,10879.26172,10684.94888,11047.66351,10322.23424,63.28799186,10808.49219,10718.84188,89.65031271,59.68835016,29.96196254,0.664736085,0.651945196,1.319653496,2.859080203,0.75,0.625,0,100,81.92134755,4.478444081,72.34960938,10883.95996,11011.22316,2.373361752
