Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG
2010/1/4,21823.2793,1006199600,,,,,,,,,,,,,,,,,,,,,,
2010/1/5,22279.58008,1965584800,,,,,,,,,,,2.090890077,,,,,,,,,,456.3007813,21823.2793
2010/1/6,22416.66992,2100234000,,,,,,,,,,,0.615316102,,,,,,,,,,137.0898438,22279.58008
2010/1/7,22269.44922,1495365300,,,,,,,,,,,-0.656746536,,,,,,,,,,-147.2207031,22416.66992
2010/1/8,22296.75,1626022600,22217.1457,,,,,,,,,,0.122592979,,,,,,,,,,27.30078125,22269.44922
2010/1/11,22411.51953,1744637600,22334.79375,,,,,,,,,,0.514736593,0.728006873,,,,,,,,,114.7695313,22296.75
2010/1/12,22326.64063,2204776800,22344.20586,,,,76.01187749,,,,,,-0.378728922,-0.03042197,,,,,,,,,-84.87890625,22411.51953
2010/1/13,21748.59961,3414190400,22210.5918,,,,25.62746314,,,,,,-2.589019214,-2.231242624,,,,,,,,,-578.0410156,22326.64063
2010/1/14,21716.94922,2338667600,22100.0918,,,,14.44007488,,,,,,-0.145528407,-1.859015287,,,,,,0,,,-31.65039063,21748.59961
2010/1/15,21654.16016,2659842200,21971.57383,,,,15.79559964,,,,,,-0.289124692,-1.687158737,,,,,,0,,,-62.7890625,21716.94922
2010/1/18,21460.00977,1867401600,21781.27188,,,,10.76355244,,,,,,-0.896596262,-1.947808123,,,,,,0,0,,-194.1503906,21654.16016
2010/1/19,21677.98047,1913397800,21651.53984,,,,18.63825083,22006.79899,,,,,1.015706449,-0.395496912,-1.494167881,,,,,22.90787872,7.635959574,,217.9707031,21460.00977
2010/1/20,21286.16992,2197552000,21559.05391,,,,14.76354073,21895.93298,,,,,-1.807412584,-1.410216957,-3.077446167,,0.416666667,,,0,7.635959574,-2.461176287,-391.8105469,21677.98047
2010/1/21,20862.66992,2465648800,21388.19805,,,,16.48955818,21736.96943,,,,,-1.989554728,-2.706338945,-4.492289526,,0.333333333,,100,0,7.635959574,-6.359680709,-423.5,21286.16992
2010/1/22,20726.17969,3220362000,21202.60195,,,,15.27784623,21581.46332,,,,,-0.654231864,-2.592750978,-4.501249192,,0.25,,100,0,0,-7.541219281,-136.4902344,20862.66992
2010/1/25,20598.55078,1909841600,21030.31016,,,,14.61369642,21430.246,,,,,-0.615785968,-2.385450307,-4.476462236,,0.25,,100,0,0,-7.503097275,-127.6289063,20726.17969
2010/1/26,20109.33008,2270009200,20716.58008,,,,12.20016398,21227.02817,,,,,-2.375024866,-3.676247811,-5.95014133,,0.166666667,,100,0,0,-9.810487725,-489.2207031,20598.55078
2010/1/27,20033.07031,1822372600,20465.96016,,,,0,21043.34235,,,,,-0.379225789,-2.764649914,-5.430153396,,0.083333333,,100,0,0,-10.61261917,-76.25976563,20109.33008
2010/1/28,20356.36914,1880647200,20364.7,,,,20.50870011,20937.65416,,,,,1.613825655,-0.446631498,-3.153315681,,0.166666667,,86.40715868,19.65449766,6.551499219,-8.82475567,323.2988281,20033.07031
2010/1/29,20121.99023,1784257400,20243.86211,21408.7959,23048.86417,19768.72763,23.30455619,20812.1674,,,,,-1.151378739,-0.995156792,-3.647015879,,0.166666667,,96.12307844,5.405761618,8.353419758,-7.479145344,-234.3789063,20356.36914
2010/2/1,20243.75,1701996800,20172.90195,21329.81943,23033.33988,19626.29899,32.42574821,20724.71857,,,,,0.605107965,-0.000461496,-2.490757728,,0.25,,87.7192603,16.8126848,13.95764802,-6.783637996,121.7597656,20121.99023
2010/2/2,20272.17969,1561642000,20205.47188,21229.44941,22933.85448,19525.04434,37.18452529,20655.0972,,,,,0.140436863,0.409775663,-1.809132355,,0.333333333,,85.8000849,28.82226225,17.01356955,-6.382055267,28.4296875,20243.75
2010/2/3,20722.08008,1922114800,20343.27383,21144.71992,22771.3319,19518.10795,74.82724565,20665.40226,,,,,2.21929954,2.121604031,0.669867001,,0.416666667,,58.11262013,99.40851913,48.34782206,-3.438626988,449.9003906,20272.17969
2010/2/4,20341.64063,1607734100,20340.32813,21048.32949,22624.61821,19472.04077,60.03019445,20615.59278,,,,,-1.83591344,-0.006690274,-0.64080574,-4.228731317,0.333333333,,81.24090174,44.78460653,57.67179597,-6.164503403,-380.4394531,20722.08008
2010/2/5,19665.08008,2515439200,20248.94609,20916.746,22493.57646,19339.91554,31.72613049,20469.36006,,,,,-3.325988102,-2.781850094,-3.307450966,-7.020416068,0.333333333,0.375,100,0,48.06437522,-7.615695307,-676.5605469,20341.64063
2010/2/8,19550.89063,1751004600,20110.37422,20773.71455,22300.41194,19247.01716,33.87889447,20328.05707,21114.28996,,,,-0.580671183,-2.889407176,-3.349421853,-7.060708284,0.333333333,0.333333333,100,0,14.92820218,-6.28768658,-114.1894531,19665.08008
2010/2/9,19790.2793,1495157300,20013.99414,20646.89648,22053.16343,19240.62953,37.99648648,20245.32203,21016.2151,,,,1.224438704,-1.329936854,-1.78733095,-5.430762509,0.416666667,0.333333333,81.75084235,20.43979061,6.813263537,-4.515547027,239.3886719,19550.89063
2010/2/10,19922.2207,1581352800,19854.02227,20555.57754,21899.64271,19211.51237,41.21774028,20195.61413,20935.17848,,,,0.66669805,-0.382414207,-0.855240739,-4.353266393,0.5,0.375,68.40521281,31.70538098,17.38172386,-3.283386707,131.9414063,19790.2793
