Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG
2010/1/4,10654.79004,104400000,,,,,,,,,,,,,,,,,,,,,,
2010/1/5,10681.83008,166200000,,,,,,,,,,,0.253782937,,,,,,,,,,27.04003906,10654.79004
2010/1/6,10731.4502,181800000,,,,,,,,,,,0.464528239,,,,,,,,,,49.62011719,10681.83008
2010/1/7,10681.66016,182600000,,,,,,,,,,,-0.463963753,,,,,,,,,,-49.79003906,10731.4502
2010/1/8,10798.32031,211800000,10709.61016,,,,,,,,,,1.09215379,,,,,,,,,,116.6601563,10681.66016
2010/1/12,10879.13965,192800000,10754.48008,,,,,,,,,,0.748443588,1.315667275,,,,,,,,,80.81933594,10798.32031
2010/1/13,10735.03027,250000000,10765.12012,,,,58.57195914,,,,,,-1.324639444,-0.150756312,,,,,,,,,-144.109375,10879.13965
2010/1/14,10907.67969,267300000,10800.36602,,,,68.40219868,,,,,,1.608280644,1.101130436,,,,,,,,,172.6494141,10735.03027
2010/1/15,10982.09961,252900000,10860.45391,,,,69.62957978,,,,,,0.682270877,1.39829643,,,,,,100,,,74.41992188,10907.67969
2010/1/18,10855.08008,186600000,10871.80586,,,,62.11578295,,,,,,-1.156605164,-0.041237314,,,,,,57.72208679,,,-127.0195313,10982.09961
2010/1/19,10764.90039,174700000,10848.95801,,,,47.57544585,,,,,,-0.830760223,-0.820784843,,,,,,27.7061596,61.80941546,,-90.1796875,10855.08008
2010/1/20,10737.51953,146400000,10849.45586,,,,38.86211881,10784.125,,,,,-0.254353114,-0.857452415,-0.432167364,,,,,18.59255648,34.67360095,,-27.38085938,10764.90039
2010/1/21,10868.41016,176900000,10841.60195,,,,60.71255457,10797.09195,,,,,1.219002439,0.14554324,0.615477977,,0.583333333,,,53.98479836,33.42783814,2.004920945,130.890625,10737.51953
2010/1/22,10590.5498,187400000,10763.29199,,,,28.21164842,10765.31623,,,,,-2.556586912,-1.937173836,-1.887753768,,0.5,,100,0,24.19245161,-0.854537778,-277.8603516,10868.41016
2010/1/25,10512.69043,139800000,10694.81406,,,,17.90103093,10726.45072,,,,,-0.735177837,-1.947807184,-2.44429637,,0.416666667,,100,0,17.99493279,-2.038492111,-77.859375,10590.5498
2010/1/26,10325.28027,175400000,10606.89004,,,,16.53534079,10664.73219,,,,,-1.782704033,-2.896062308,-3.918630755,,0.416666667,,100,0,0,-3.336371665,-187.4101563,10512.69043
2010/1/27,10252.08008,139500000,10509.80215,,,,16.89780028,10601.24725,,,,,-0.708941485,-2.803202825,-4.193972224,,0.333333333,,100,0,0,-5.05856669,-73.20019531,10325.28027
2010/1/28,10414.29004,168000000,10418.97813,,,,32.22901949,10572.4846,,,,,1.582215118,-0.758474446,-2.324526707,,0.333333333,,77.7800519,26.31868323,8.772894411,-4.272852674,162.2099609,10252.08008
2010/1/29,10198.04004,156800000,10340.47617,,,,16.30594945,10514.87775,,,,,-2.07647376,-1.77338009,-3.949606898,,0.333333333,,100,0,8.772894411,-5.002223754,-216.25,10414.29004
2010/2/1,10205.01953,161900000,10278.94199,10638.79302,11111.91294,10165.6731,23.37164079,10467.20725,,,,,0.068439545,-1.094026237,-3.350849153,,0.333333333,,99.10982629,1.041140112,9.119941115,-6.441884767,6.979492188,10198.04004
2010/2/2,10371.08984,142000000,10288.10391,10624.60801,11111.76242,10137.4536,41.28204172,10452.41996,,,,,1.627339487,0.745945587,-1.30209185,,0.333333333,,77.92899784,25.81406901,8.951736375,-5.563688068,166.0703125,10205.01953
2010/2/3,10404.33008,154300000,10318.55391,10610.73301,11106.31242,10115.15359,56.00727876,10445.02152,,,,,0.320508595,0.939659265,-0.630541845,,0.416666667,,73.68949416,52.5566641,26.47062441,-4.152433669,33.24023438,10371.08984
2010/2/4,10355.98047,164500000,10306.89199,10591.95952,11096.196,10087.72304,58.20569063,10431.32289,,,,,-0.464706608,0.302076818,-0.76936359,,0.416666667,,76.43981651,50.19552951,42.85542087,-3.798641019,-48.34960938,10404.33008
2010/2/5,10057.08984,172000000,10278.70195,10560.73101,11113.8688,10007.59321,26.79856138,10373.74858,,,,,-2.886164433,-2.027893025,-3.106882183,-4.959040238,0.416666667,,100,0,34.2507312,-6.336935505,-298.890625,10355.98047
2010/2/8,9951.820313,137400000,10228.06211,10518.40601,11119.78817,9917.023842,31.31300853,10308.83654,,,,,-1.046719607,-2.664274854,-3.410284945,-5.692811636,0.333333333,0.458333333,100,0,16.73184317,-8.433522756,-105.2695313,10057.08984
2010/2/9,9932.900391,135000000,10140.42422,10471.09404,11099.77873,9842.409359,29.71501286,10251.00021,10532.65659,,,,-0.190115188,-2.416458167,-3.078376827,-5.592928876,0.333333333,0.416666667,100,0,0,-6.209775944,-18.91992188,9951.820313
2010/2/10,9963.990234,127000000,10052.35625,10432.54204,11085.83967,9779.244412,12.00726188,10206.84483,10490.53315,,,,0.312998646,-1.454139556,-2.33928254,-5.008729479,0.416666667,0.416666667,95.27258094,6.594799728,2.198266576,-5.219407905,31.08984375,9932.900391
2010/2/12,10092.19043,136000000,9999.598242,10391.76758,11022.77016,9760.765001,25.25528097,10189.20569,10461.02629,,,,1.286635096,0.330004626,-0.894064379,-3.560722503,0.5,0.458333333,72.52625462,33.78871617,13.46117197,-2.257467474,128.2001953,9963.990234
